DATETIME,FINAL,HIGH,LOW,OPEN,VOLUME
2022-09-12 23:00:00,687.0,687.0,687.0,687.0,4.0
2022-09-14 23:00:00,678.5,681.4,678.5,681.4,2.0
2022-09-15 23:00:00,671.0,679.0,670.5,677.5,8.0
2022-09-16 23:00:00,666.0,667.0,663.8,667.0,19.0
2022-09-19 23:00:00,665.65,666.95,661.5,661.5,4.0
2022-09-20 23:00:00,659.1,669.95,658.0,669.4,9.0
2022-09-21 23:00:00,663.0,670.0,657.5,657.5,13.0
2022-09-22 23:00:00,659.0,666.95,657.0,660.5,7.0
2022-09-23 23:00:00,637.0,655.0,637.0,655.0,24.0
2022-09-26 23:00:00,640.0,646.95,634.55,637.1,16.0
2022-09-27 23:00:00,638.6,649.95,638.0,644.95,17.0
2022-09-28 23:00:00,643.0,643.0,628.0,638.0,27.0
2022-09-29 23:00:00,634.1,639.0,632.0,639.0,7.0
2022-09-30 23:00:00,633.0,641.85,633.0,637.0,22.0
2022-10-03 23:00:00,646.0,647.0,631.65,635.0,23.0
2022-10-04 23:00:00,669.0,669.0,653.0,653.0,14.0
2022-10-05 23:00:00,669.95,669.95,662.5,662.5,4.0
2022-10-06 23:00:00,661.65,667.05,660.0,667.05,9.0
2022-10-07 23:00:00,645.5,656.0,645.0,656.0,5.0
2022-10-10 23:00:00,642.95,643.0,639.0,643.0,6.0
2022-10-11 23:00:00,630.0,639.95,630.0,639.0,20.0
2022-10-12 23:00:00,630.0,635.95,630.0,635.95,5.0
2022-10-13 23:00:00,638.0,638.0,615.0,627.5,18.0
2022-10-14 23:00:00,626.8,643.85,626.0,641.0,13.0
2022-10-17 23:00:00,641.0,643.1,628.6,628.6,23.0
2022-10-18 23:00:00,644.0,649.85,643.0,643.0,8.0
2022-10-19 23:00:00,643.1,649.0,642.0,648.9,17.0
2022-10-20 23:00:00,651.5,651.5,640.9,640.9,6.0
2022-10-21 23:00:00,647.0,649.0,643.0,647.0,17.0
