DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2023-05-02 23:00:00,0.0,745.375,0.0,745.375,0.0
2023-05-03 23:00:00,0.0,745.4,0.0,745.4,0.0
2023-05-05 23:00:00,0.0,751.325,0.0,751.325,0.0
2023-05-08 23:00:00,0.0,753.45,0.0,753.45,0.0
2023-05-11 09:00:00,748.0,748.0,748.0,748.0,1.0
2023-05-11 23:00:00,748.0,752.2,748.0,752.2,1.0
2023-05-12 23:00:00,0.0,754.275,0.0,754.275,0.0
2023-05-15 23:00:00,0.0,757.575,0.0,757.575,0.0
2023-05-16 23:00:00,0.0,757.6,0.0,757.6,0.0
2023-05-17 23:00:00,0.0,759.675,0.0,759.675,0.0
2023-05-18 23:00:00,0.0,768.6,0.0,768.6,0.0
2023-05-19 23:00:00,0.0,770.5,0.0,770.5,0.0
2023-05-22 23:00:00,0.0,770.925,0.0,770.925,0.0
2023-05-23 23:00:00,0.0,769.2,0.0,769.2,0.0
2023-05-24 23:00:00,0.0,757.275,0.0,757.275,0.0
2023-05-25 23:00:00,0.0,758.15,0.0,758.15,0.0
2023-05-26 23:00:00,0.0,770.75,0.0,770.75,0.0
2023-05-29 23:00:00,0.0,767.05,0.0,767.05,0.0
2023-05-30 23:00:00,0.0,759.65,0.0,759.65,0.0
2023-05-31 23:00:00,0.0,751.7,0.0,751.7,0.0
2023-06-02 23:00:00,0.0,767.65,0.0,767.65,0.0
2023-06-08 03:00:00,761.2,761.2,761.2,761.2,1.0
2023-06-08 23:00:00,761.2,761.2,761.2,761.2,1.0
2023-06-09 23:00:00,0.0,762.1,0.0,762.1,0.0
2023-06-12 03:00:00,763.3,763.3,763.3,763.3,1.0
2023-06-12 11:00:00,763.9,764.0,763.9,764.0,2.0
2023-06-12 23:00:00,763.3,764.0,763.3,764.0,3.0
2023-06-13 02:00:00,768.0,768.0,768.0,768.0,1.0
2023-06-13 09:00:00,768.6,768.6,768.6,768.6,2.0
2023-06-13 11:00:00,769.5,769.5,769.5,769.5,1.0
2023-06-13 23:00:00,768.0,770.3,768.0,770.3,4.0
2023-06-14 03:00:00,770.4,770.4,770.4,770.4,1.0
2023-06-14 04:00:00,771.35,773.0,771.35,773.0,2.0
2023-06-14 14:00:00,771.0,771.0,771.0,771.0,1.0
2023-06-14 23:00:00,770.4,773.975,770.4,773.975,4.0
2023-06-15 03:00:00,774.7,774.7,774.7,774.7,1.0
2023-06-15 06:00:00,773.4,773.4,773.4,773.4,1.0
2023-06-15 08:00:00,771.5,771.5,771.5,771.5,1.0
2023-06-15 11:00:00,775.0,775.0,775.0,775.0,1.0
2023-06-15 23:00:00,774.7,775.0,771.5,775.0,4.0
2023-06-16 03:00:00,775.0,775.75,775.0,775.75,2.0
2023-06-16 06:00:00,776.0,776.0,776.0,776.0,1.0
2023-06-16 09:00:00,776.0,776.0,776.0,776.0,2.0
2023-06-16 10:00:00,775.95,775.95,775.95,775.95,1.0
2023-06-16 11:00:00,775.0,775.0,775.0,775.0,1.0
2023-06-16 15:00:00,774.5,774.5,774.0,774.0,2.0
2023-06-16 23:00:00,775.0,776.0,774.0,774.925,9.0
