DATETIME,FINAL,HIGH,LOW,OPEN,VOLUME
2022-11-14 23:00:00,96.165,96.165,96.165,96.165,0.0
2022-11-15 23:00:00,96.295,96.295,96.295,96.295,0.0
2022-11-16 23:00:00,96.37,96.37,96.37,96.37,0.0
2022-11-17 23:00:00,96.305,96.305,96.305,96.305,0.0
2022-11-18 23:00:00,96.225,96.225,96.225,96.225,0.0
2022-11-21 23:00:00,96.21,96.21,96.21,96.21,0.0
2022-11-22 23:00:00,96.32,96.32,96.32,96.32,0.0
2022-11-23 23:00:00,96.35,96.35,96.35,96.35,0.0
2022-11-25 23:00:00,96.34,96.34,96.34,96.34,0.0
2022-11-28 23:00:00,96.335,96.335,96.335,96.335,0.0
2022-11-29 23:00:00,96.33,96.33,96.33,96.33,0.0
2022-11-30 23:00:00,96.485,96.485,96.485,96.485,0.0
2022-12-01 23:00:00,96.64,96.64,96.64,96.64,0.0
2022-12-02 23:00:00,96.725,96.725,96.725,96.725,0.0
2022-12-05 23:00:00,96.595,96.595,96.595,96.595,0.0
2022-12-06 23:00:00,96.65,96.65,96.65,96.65,0.0
2022-12-07 23:00:00,96.77,96.77,96.77,96.77,0.0
2022-12-08 23:00:00,96.675,96.675,96.675,96.675,0.0
2022-12-09 23:00:00,96.605,96.605,96.605,96.605,0.0
2022-12-12 23:00:00,96.55,96.55,96.55,96.55,0.0
2022-12-13 23:00:00,96.7,96.7,96.7,96.7,0.0
2022-12-14 23:00:00,96.69,96.69,96.69,96.69,0.0
2022-12-15 23:00:00,96.715,96.715,96.715,96.715,0.0
2022-12-16 23:00:00,96.73,96.73,96.73,96.73,0.0
2022-12-19 23:00:00,96.695,96.695,96.695,96.695,0.0
2022-12-20 23:00:00,96.62,96.62,96.62,96.62,0.0
2022-12-21 23:00:00,96.605,96.605,96.605,96.605,0.0
2022-12-22 23:00:00,96.575,96.575,96.575,96.575,0.0
2022-12-23 23:00:00,96.5,96.5,96.5,96.5,0.0
2022-12-27 23:00:00,96.405,96.405,96.405,96.405,0.0
2022-12-28 23:00:00,96.4,96.4,96.4,96.4,0.0
2022-12-29 23:00:00,96.365,96.365,96.365,96.365,0.0
2022-12-30 23:00:00,96.44,96.44,96.44,96.44,0.0
2023-01-03 23:00:00,96.49,96.49,96.49,96.49,0.0
2023-01-04 23:00:00,96.58,96.58,96.58,96.58,0.0
2023-01-05 23:00:00,96.56,96.56,96.56,96.56,0.0
2023-01-06 23:00:00,96.8,96.8,96.8,96.8,0.0
2023-01-09 23:00:00,96.84,96.84,96.84,96.84,0.0
2023-01-10 23:00:00,96.74,96.74,96.74,96.74,0.0
