DATETIME,FINAL,HIGH,LOW,OPEN,VOLUME
2023-03-17 23:00:00,102.59,102.59,102.59,102.59,0.0
2023-03-20 23:00:00,102.57,102.57,102.57,102.57,0.0
2023-03-21 23:00:00,102.71,102.71,102.71,102.71,0.0
2023-03-22 23:00:00,102.57,102.57,102.57,102.57,0.0
2023-03-23 23:00:00,102.55,102.55,102.55,102.55,0.0
2023-03-24 23:00:00,103.02,103.02,103.02,103.02,0.0
2023-03-27 23:00:00,103.75,103.75,103.75,103.75,0.0
2023-03-28 23:00:00,104.36,104.36,104.36,104.36,0.0
2023-03-29 23:00:00,104.16,104.16,104.16,104.16,0.0
2023-03-30 23:00:00,104.39,104.39,104.39,104.39,0.0
2023-03-31 23:00:00,105.51,105.51,105.51,105.51,0.0
2023-04-03 23:00:00,106.53,106.53,106.53,106.53,0.0
2023-04-04 23:00:00,106.52,106.52,106.52,106.52,0.0
2023-04-05 23:00:00,106.63,106.63,106.63,106.63,0.0
2023-04-06 23:00:00,106.24,106.24,106.24,106.24,0.0
2023-04-10 23:00:00,106.25,106.25,106.25,106.25,0.0
2023-04-11 23:00:00,107.14,107.14,107.14,107.14,0.0
2023-04-12 23:00:00,107.62,107.62,107.62,107.62,0.0
2023-04-13 23:00:00,107.72,107.72,107.72,107.72,0.0
2023-04-14 23:00:00,107.82,107.82,107.82,107.82,0.0
2023-04-17 23:00:00,108.03,108.03,108.03,108.03,0.0
2023-04-18 23:00:00,108.75,108.75,108.75,108.75,0.0
2023-04-19 23:00:00,107.33,107.33,107.33,107.33,0.0
2023-04-20 23:00:00,106.39,106.39,106.39,106.39,0.0
2023-04-21 23:00:00,105.58,105.58,105.58,105.58,0.0
2023-04-24 23:00:00,106.0,106.0,106.0,106.0,0.0
2023-04-25 23:00:00,104.61,104.61,104.61,104.61,0.0
2023-04-26 23:00:00,103.45,103.45,103.45,103.45,0.0
2023-04-27 23:00:00,103.34,103.34,103.34,103.34,0.0
2023-04-28 23:00:00,104.31,104.31,104.31,104.31,0.0
2023-05-01 23:00:00,103.67,103.67,103.67,103.67,0.0
2023-05-02 23:00:00,102.33,102.33,102.33,102.33,0.0
2023-05-03 23:00:00,101.54,101.54,101.54,101.54,0.0
2023-05-04 23:00:00,101.65,101.65,101.65,101.65,0.0
2023-05-05 23:00:00,102.96,102.96,102.96,102.96,0.0
2023-05-08 23:00:00,103.7,103.7,103.7,103.7,0.0
2023-05-09 23:00:00,103.55,103.55,103.55,103.55,0.0
2023-05-10 23:00:00,102.73,102.73,102.73,102.73,0.0
2023-05-11 23:00:00,101.12,101.12,101.12,101.12,0.0
2023-05-12 23:00:00,101.18,101.18,101.18,101.18,0.0
2023-05-15 23:00:00,102.32,102.32,102.32,102.32,0.0
2023-05-16 23:00:00,101.17,101.17,101.17,101.17,0.0
2023-05-17 23:00:00,101.42,101.42,101.42,101.42,0.0
2023-05-18 23:00:00,100.97,100.97,100.97,100.97,0.0
2023-05-19 23:00:00,101.07,101.07,101.07,101.07,0.0
2023-05-22 23:00:00,100.87,100.87,100.87,100.87,0.0
2023-05-23 23:00:00,100.49,100.49,100.49,100.49,0.0
2023-05-24 23:00:00,100.58,100.58,100.58,100.58,0.0
2023-05-25 23:00:00,99.29,99.29,99.29,99.29,0.0
2023-05-26 23:00:00,100.08,100.08,100.08,100.08,0.0
2023-05-30 23:00:00,98.33,98.33,98.33,98.33,0.0
2023-05-31 23:00:00,97.96,97.96,97.96,97.96,0.0
2023-06-01 23:00:00,99.19,99.19,99.19,99.19,0.0
2023-06-02 23:00:00,99.82,99.82,99.82,99.82,0.0
2023-06-05 23:00:00,100.06,100.06,100.06,100.06,0.0
2023-06-06 23:00:00,100.43,100.43,100.43,100.43,0.0
2023-06-07 23:00:00,100.68,100.68,100.68,100.68,0.0
2023-06-08 23:00:00,101.39,101.39,101.39,101.39,0.0
2023-06-09 23:00:00,100.96,100.96,100.96,100.96,0.0
2023-06-12 23:00:00,99.93,99.93,99.93,99.93,0.0
2023-06-13 23:00:00,101.11,101.11,101.11,101.11,0.0
2023-06-14 23:00:00,101.28,101.28,101.28,101.28,0.0
2023-06-15 23:00:00,103.51,103.51,103.51,103.51,0.0
2023-06-16 23:00:00,105.14,105.14,105.14,105.14,0.0
2023-06-20 23:00:00,103.62,103.62,103.62,103.62,0.0
