DATETIME,FINAL,HIGH,LOW,OPEN,VOLUME
2022-04-26 23:00:00,126.75,126.9,126.55,126.65,25.0
2022-04-27 23:00:00,126.88,126.88,126.88,126.88,0.0
2022-04-28 23:00:00,126.24,126.29,126.24,126.27,8.0
2022-04-29 23:00:00,125.98,126.09,125.96,126.05,74.0
2022-05-02 23:00:00,126.07,126.11,126.02,126.02,53.0
2022-05-03 23:00:00,126.02,126.09,125.81,125.85,33.0
2022-05-04 23:00:00,125.74,126.01,125.42,125.43,19.0
2022-05-05 23:00:00,125.6,126.31,125.52,126.31,4.0
2022-05-06 23:00:00,124.87,125.19,124.84,125.19,236.0
2022-05-09 23:00:00,125.53,125.59,124.95,124.95,199.0
2022-05-10 23:00:00,126.02,126.03,125.85,125.86,32.0
2022-05-11 23:00:00,126.05,126.45,125.7,125.88,304.0
2022-05-12 23:00:00,126.92,127.16,126.57,126.57,61.0
2022-05-13 23:00:00,126.59,126.91,126.56,126.73,268.0
2022-05-16 23:00:00,126.55,126.63,126.45,126.45,8.0
2022-05-17 23:00:00,125.79,126.27,125.71,126.16,61.0
2022-05-18 23:00:00,125.87,125.89,125.38,125.76,365.0
2022-05-19 23:00:00,126.11,126.35,125.75,125.77,5726.0
2022-05-20 23:00:00,126.24,126.36,125.84,125.89,268.0
2022-05-23 23:00:00,125.82,126.36,125.72,126.17,1116.0
2022-05-24 23:00:00,126.22,126.25,125.62,125.68,434.0
2022-05-25 23:00:00,126.31,126.39,126.11,126.14,1388.0
2022-05-26 23:00:00,126.17,126.71,126.12,126.21,8766.0
2022-05-27 23:00:00,126.25,126.41,126.07,126.19,3205.0
2022-05-30 23:00:00,125.7,126.09,125.54,126.09,7415.0
2022-05-31 23:00:00,125.22,125.78,125.05,125.62,39947.0
2022-06-01 23:00:00,124.92,125.32,124.83,125.18,98134.0
2022-06-02 23:00:00,124.45,124.99,124.36,124.93,127492.0
2022-06-03 23:00:00,124.16,124.49,124.11,124.33,163778.0
2022-06-06 23:00:00,123.91,124.34,123.89,124.14,265406.0
2022-06-07 23:00:00,124.17,124.23,123.74,123.93,474325.0
2022-06-08 23:00:00,123.84,124.12,123.7,124.01,416027.0
2022-06-09 23:00:00,123.13,124.19,122.87,123.75,708876.0
2022-06-10 23:00:00,122.52,123.28,122.33,123.11,557444.0
2022-06-13 23:00:00,121.44,122.6,121.07,122.37,755344.0
2022-06-14 23:00:00,121.13,121.66,120.52,121.28,670140.0
2022-06-15 23:00:00,121.81,122.39,120.57,120.79,774410.0
2022-06-16 23:00:00,121.3,122.28,119.94,122.24,767728.0
2022-06-17 23:00:00,121.54,121.92,120.76,121.04,472995.0
2022-06-20 23:00:00,121.2,121.95,121.07,121.55,354701.0
2022-06-21 23:00:00,121.12,121.41,120.99,121.1,389960.0
