DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2022-05-13 23:00:00,93.96,93.96,93.96,93.96,0.0
2022-05-16 23:00:00,94.49,94.49,94.49,94.49,0.0
2022-05-17 23:00:00,93.33,93.33,93.33,93.33,0.0
2022-05-18 23:00:00,91.15,91.15,91.15,91.15,0.0
2022-05-19 23:00:00,92.99,92.99,92.99,92.99,0.0
2022-05-20 23:00:00,92.65,92.65,92.65,92.65,0.0
2022-05-23 23:00:00,93.61,93.61,93.61,93.61,0.0
2022-05-24 23:00:00,94.0,94.0,94.0,94.0,0.0
2022-05-25 23:00:00,94.59,94.59,94.59,94.59,0.0
2022-05-26 23:00:00,96.1,96.1,96.1,96.1,0.0
2022-05-27 23:00:00,96.63,96.63,96.63,96.63,0.0
2022-05-31 23:00:00,95.95,95.95,95.95,95.95,0.0
2022-06-01 23:00:00,96.77,96.77,96.77,96.77,0.0
2022-06-02 23:00:00,98.18,98.18,98.18,98.18,0.0
2022-06-03 23:00:00,99.37,99.37,99.37,99.37,0.0
2022-06-06 23:00:00,99.38,99.38,99.38,99.38,0.0
2022-06-07 23:00:00,101.25,101.25,101.25,101.25,0.0
2022-06-08 23:00:00,103.26,103.26,103.26,103.26,0.0
2022-06-09 23:00:00,103.57,103.57,103.57,103.57,0.0
2022-06-10 23:00:00,102.34,102.34,102.34,102.34,0.0
2022-06-13 23:00:00,102.53,102.53,102.53,102.53,0.0
2022-06-14 23:00:00,101.1,101.1,101.1,101.1,0.0
2022-06-15 23:00:00,99.77,99.77,99.77,99.77,0.0
2022-06-16 23:00:00,100.92,100.92,100.92,100.92,0.0
2022-06-17 23:00:00,96.19,96.19,96.19,96.19,0.0
2022-06-21 23:00:00,96.68,96.68,96.68,96.68,0.0
2022-06-22 23:00:00,94.57,94.57,94.57,94.57,0.0
2022-06-23 23:00:00,91.37,91.37,91.37,91.37,0.0
2022-06-24 23:00:00,93.16,93.16,93.16,93.16,0.0
2022-06-27 23:00:00,94.57,94.57,94.57,94.57,0.0
2022-06-28 23:00:00,97.13,97.13,97.13,97.13,0.0
2022-06-29 23:00:00,95.57,95.57,95.57,95.57,0.0
2022-06-30 23:00:00,92.07,92.07,92.07,92.07,0.0
2022-07-01 23:00:00,92.97,92.97,92.97,92.97,0.0
2022-07-05 23:00:00,85.33,85.33,85.33,85.33,0.0
2022-07-06 23:00:00,84.73,84.73,84.73,84.73,0.0
2022-07-07 23:00:00,87.55,87.55,87.55,87.55,0.0
2022-07-08 23:00:00,89.7,89.7,89.7,89.7,0.0
2022-07-11 23:00:00,90.77,90.77,90.77,90.77,0.0
2022-07-12 23:00:00,85.54,85.54,85.54,85.54,0.0
2022-07-13 23:00:00,86.16,86.16,86.16,86.16,0.0
2022-07-14 23:00:00,84.7,84.7,84.7,84.7,0.0
2022-07-15 23:00:00,85.85,85.85,85.85,85.85,0.0
2022-07-18 23:00:00,89.35,89.35,89.35,89.35,0.0
2022-07-19 23:00:00,89.82,89.82,89.82,89.82,0.0
2022-07-20 23:00:00,89.96,89.96,89.96,89.96,0.0
2022-07-21 23:00:00,88.35,88.35,88.35,88.35,0.0
2022-07-22 23:00:00,87.45,87.45,87.45,87.45,0.0
2022-07-25 23:00:00,89.33,89.33,89.33,89.33,0.0
2022-07-26 23:00:00,89.09,89.09,89.09,89.09,0.0
2022-07-27 23:00:00,91.33,91.33,91.33,91.33,0.0
2022-07-28 23:00:00,90.93,90.93,90.93,90.93,0.0
2022-07-29 23:00:00,93.01,93.01,93.01,93.01,1.0
2022-08-01 23:00:00,90.28,90.28,90.28,90.28,0.0
2022-08-02 23:00:00,91.0,91.0,91.0,91.0,10.0
2022-08-03 23:00:00,89.14,89.14,89.14,89.14,0.0
2022-08-04 23:00:00,86.31,86.31,86.31,86.31,1.0
2022-08-05 23:00:00,86.77,86.77,86.77,86.77,0.0
2022-08-08 23:00:00,87.95,87.95,87.95,87.95,1.0
2022-08-09 23:00:00,88.6,88.6,88.6,88.6,0.0
2022-08-10 23:00:00,90.13,90.13,90.13,90.13,0.0
2022-08-11 23:00:00,91.53,91.53,91.53,91.53,0.0
2022-08-12 23:00:00,90.36,90.36,90.36,90.36,0.0
2022-08-15 23:00:00,88.65,88.65,88.65,88.65,0.0
2022-08-16 23:00:00,86.98,86.98,86.98,86.98,0.0
2022-08-17 23:00:00,87.79,87.79,87.79,87.79,0.0
2022-08-18 23:00:00,89.13,89.13,89.13,89.13,0.0
2022-08-19 23:00:00,89.74,89.74,89.74,89.74,0.0
2022-08-22 23:00:00,89.55,89.55,89.55,89.55,0.0
2022-08-23 23:00:00,91.42,91.42,91.42,91.42,1.0
