DATETIME,FINAL,HIGH,LOW,OPEN,VOLUME
2022-04-26 23:00:00,130.58,130.58,130.58,130.58,0.0
2022-04-27 23:00:00,130.24,130.24,130.24,130.24,0.0
2022-04-28 23:00:00,128.52,128.52,128.52,128.52,0.0
2022-04-29 23:00:00,128.04,128.04,128.04,128.04,0.0
2022-05-02 23:00:00,127.48,127.48,127.48,127.48,0.0
2022-05-03 23:00:00,127.45,127.45,127.45,127.45,0.0
2022-05-04 23:00:00,126.21,126.21,126.21,126.21,0.0
2022-05-05 23:00:00,125.51,125.51,125.51,125.51,0.0
2022-05-06 23:00:00,124.08,124.08,124.08,124.08,0.0
2022-05-09 23:00:00,124.19,124.19,124.19,124.19,0.0
2022-05-10 23:00:00,125.44,125.44,125.44,125.44,0.0
2022-05-11 23:00:00,126.6,126.6,126.6,126.6,0.0
2022-05-12 23:00:00,128.66,128.66,128.66,128.66,0.0
2022-05-13 23:00:00,127.38,127.38,127.38,127.38,0.0
2022-05-16 23:00:00,127.42,127.42,127.42,127.42,0.0
2022-05-17 23:00:00,126.21,126.21,126.21,126.21,0.0
2022-05-18 23:00:00,126.49,126.49,126.49,126.49,0.0
2022-05-19 23:00:00,126.83,126.83,126.83,126.83,0.0
2022-05-20 23:00:00,126.07,126.07,126.07,126.07,0.0
2022-05-23 23:00:00,125.65,125.65,125.65,125.65,0.0
2022-05-24 23:00:00,126.16,126.16,126.16,126.16,0.0
2022-05-25 23:00:00,126.59,126.59,126.59,126.59,0.0
2022-05-26 23:00:00,126.79,126.79,126.79,126.79,0.0
2022-05-27 23:00:00,127.03,127.03,127.03,127.03,0.0
2022-05-30 23:00:00,126.1,126.1,126.1,126.1,0.0
2022-05-31 23:00:00,124.57,124.57,124.57,124.57,0.0
2022-06-01 23:00:00,123.48,123.48,123.48,123.48,0.0
2022-06-02 23:00:00,122.43,122.43,122.43,122.43,0.0
2022-06-03 23:00:00,121.54,121.54,121.54,121.54,0.0
2022-06-06 23:00:00,121.26,121.26,121.26,121.26,0.0
2022-06-07 23:00:00,123.19,123.19,123.19,123.19,0.0
2022-06-08 23:00:00,120.11,120.11,120.11,120.11,0.0
2022-06-09 23:00:00,117.63,117.63,117.63,117.63,0.0
2022-06-10 23:00:00,116.46,116.46,116.46,116.46,0.0
2022-06-13 23:00:00,113.66,113.66,113.66,113.66,0.0
2022-06-14 23:00:00,113.06,113.06,113.06,113.06,0.0
2022-06-15 23:00:00,116.26,116.26,115.25,115.25,1.0
2022-06-16 23:00:00,116.73,117.27,115.27,117.27,2.0
2022-06-17 23:00:00,118.51,119.44,117.83,117.83,3.0
2022-06-20 23:00:00,117.85,117.85,117.85,117.85,0.0
2022-06-21 23:00:00,117.42,117.42,117.42,117.42,0.0
2022-06-22 23:00:00,119.36,119.44,119.36,119.44,2.0
2022-06-23 23:00:00,121.0,121.0,121.0,121.0,0.0
2022-06-24 23:00:00,120.41,120.41,120.41,120.41,0.0
2022-06-27 23:00:00,119.32,119.32,119.32,119.32,0.0
2022-06-28 23:00:00,118.79,118.79,118.48,118.48,1.0
