DATETIME,FINAL,HIGH,LOW,OPEN,VOLUME
2022-06-13 23:00:00,158.9,158.9,158.9,158.9,0.0
2022-06-14 23:00:00,154.58,154.58,154.58,154.58,0.0
2022-06-15 23:00:00,155.36,155.36,155.36,155.36,0.0
2022-06-16 23:00:00,154.06,154.06,154.06,154.06,0.0
2022-06-17 23:00:00,153.28,153.28,153.28,153.28,0.0
2022-06-20 23:00:00,150.92,150.92,150.92,150.92,0.0
2022-06-21 23:00:00,149.56,149.56,149.56,149.56,0.0
2022-06-22 23:00:00,154.28,154.28,154.28,154.28,0.0
2022-06-23 23:00:00,159.3,159.3,159.3,159.3,0.0
2022-06-24 23:00:00,158.86,158.86,158.86,158.86,0.0
2022-06-27 23:00:00,156.58,156.58,156.58,156.58,0.0
2022-06-28 23:00:00,153.5,153.5,153.5,153.5,0.0
2022-06-29 23:00:00,157.06,157.06,157.06,157.06,0.0
2022-06-30 23:00:00,160.54,160.54,160.54,160.54,0.0
2022-07-01 23:00:00,163.34,163.34,163.34,163.34,0.0
2022-07-04 23:00:00,159.82,159.82,159.82,159.82,0.0
2022-07-05 23:00:00,164.7,164.7,164.7,164.7,0.0
2022-07-06 23:00:00,164.82,164.82,164.82,164.82,0.0
2022-07-07 23:00:00,164.16,164.16,164.16,164.16,0.0
2022-07-08 23:00:00,162.06,162.06,162.06,162.06,0.0
2022-07-11 23:00:00,164.52,164.52,164.52,164.52,0.0
2022-07-12 23:00:00,169.38,169.38,169.38,169.38,0.0
2022-07-13 23:00:00,169.84,169.84,169.84,169.84,0.0
2022-07-14 23:00:00,169.88,169.88,169.88,169.88,0.0
2022-07-15 23:00:00,170.84,170.84,170.84,170.84,0.0
2022-07-18 23:00:00,167.66,167.66,167.66,167.66,0.0
2022-07-19 23:00:00,166.6,166.6,166.6,166.6,0.0
2022-07-20 23:00:00,167.14,167.14,167.14,167.14,0.0
2022-07-21 23:00:00,170.34,170.34,170.34,170.34,0.0
2022-07-22 23:00:00,173.62,173.62,173.62,173.62,0.0
2022-07-25 23:00:00,174.26,174.26,174.26,174.26,0.0
2022-07-26 23:00:00,176.96,176.96,176.96,176.96,0.0
2022-07-27 23:00:00,177.48,177.48,177.48,177.48,0.0
2022-07-28 23:00:00,178.88,178.88,178.5,178.5,1.0
2022-07-29 23:00:00,180.18,180.18,180.18,180.18,0.0
2022-08-01 23:00:00,181.66,181.66,181.66,181.66,0.0
2022-08-02 23:00:00,182.5,182.5,182.5,182.5,0.0
2022-08-03 23:00:00,179.84,179.84,179.84,179.84,0.0
2022-08-04 23:00:00,181.06,181.06,181.06,181.06,0.0
2022-08-05 23:00:00,176.48,176.48,176.48,176.48,0.0
2022-08-08 23:00:00,178.08,178.08,178.08,178.08,0.0
