DATETIME,FINAL,HIGH,LOW,OPEN,VOLUME
2022-05-13 23:00:00,2.31,2.346,2.31,2.346,2.0
2022-05-16 23:00:00,2.38,2.38,2.32,2.32,25.0
2022-05-17 23:00:00,2.398,2.4,2.395,2.4,9.0
2022-05-18 23:00:00,2.38,2.38,2.38,2.38,0.0
2022-05-19 23:00:00,2.418,2.42,2.382,2.382,44.0
2022-05-20 23:00:00,2.394,2.409,2.394,2.409,1.0
2022-05-23 23:00:00,2.394,2.394,2.369,2.369,3.0
2022-05-24 23:00:00,2.368,2.368,2.368,2.368,0.0
2022-05-25 23:00:00,2.383,2.383,2.382,2.382,4.0
2022-05-26 23:00:00,2.374,2.383,2.374,2.383,8.0
2022-05-27 23:00:00,2.382,2.382,2.373,2.373,4.0
2022-05-31 23:00:00,2.382,2.382,2.382,2.382,0.0
2022-06-01 23:00:00,2.382,2.382,2.382,2.382,0.0
2022-06-02 23:00:00,2.375,2.403,2.366,2.403,12.0
2022-06-03 23:00:00,2.375,2.375,2.375,2.375,0.0
2022-06-06 23:00:00,2.427,2.427,2.381,2.381,128.0
2022-06-07 23:00:00,2.433,2.44,2.424,2.43,35.0
2022-06-08 23:00:00,2.425,2.43,2.424,2.426,18.0
2022-06-09 23:00:00,2.423,2.435,2.41,2.417,25.0
2022-06-10 23:00:00,2.413,2.43,2.4,2.43,103.0
2022-06-13 23:00:00,2.395,2.429,2.39,2.429,95.0
2022-06-14 23:00:00,2.38,2.415,2.375,2.415,77.0
2022-06-15 23:00:00,2.388,2.394,2.367,2.375,90.0
2022-06-16 23:00:00,2.369,2.38,2.36,2.374,76.0
2022-06-17 23:00:00,2.37,2.378,2.36,2.368,99.0
2022-06-21 23:00:00,2.35,2.372,2.35,2.354,90.0
2022-06-22 23:00:00,2.379,2.379,2.362,2.372,79.0
2022-06-23 23:00:00,2.379,2.382,2.34,2.373,120.0
2022-06-24 23:00:00,2.312,2.33,2.301,2.33,117.0
2022-06-27 23:00:00,2.283,2.301,2.278,2.3,263.0
2022-06-28 23:00:00,2.288,2.302,2.275,2.278,178.0
2022-06-29 23:00:00,2.305,2.313,2.297,2.307,70.0
2022-06-30 23:00:00,2.258,2.31,2.258,2.31,51.0
2022-07-01 23:00:00,2.215,2.242,2.2,2.242,168.0
2022-07-05 23:00:00,2.149,2.202,2.145,2.2,134.0
2022-07-06 23:00:00,2.132,2.15,2.105,2.142,133.0
2022-07-07 23:00:00,2.156,2.175,2.134,2.148,151.0
2022-07-08 23:00:00,2.145,2.17,2.145,2.156,22.0
2022-07-11 23:00:00,2.135,2.158,2.132,2.158,33.0
2022-07-12 23:00:00,2.104,2.135,2.092,2.135,31.0
2022-07-13 23:00:00,2.071,2.1,2.071,2.1,76.0
2022-07-14 23:00:00,2.035,2.09,2.02,2.09,128.0
2022-07-15 23:00:00,2.007,2.02,1.986,2.015,87.0
2022-07-18 23:00:00,2.013,2.035,2.01,2.013,93.0
2022-07-19 23:00:00,2.027,2.03,2.015,2.015,13.0
2022-07-20 23:00:00,2.054,2.054,2.025,2.025,25.0
2022-07-21 23:00:00,2.022,2.057,1.998,2.045,58.0
2022-07-22 23:00:00,2.0,2.01,1.999,2.005,23.0
2022-07-25 23:00:00,2.047,2.05,2.003,2.006,34.0
2022-07-26 23:00:00,2.086,2.091,2.06,2.067,48.0
2022-07-27 23:00:00,2.032,2.1,2.03,2.095,70.0
2022-07-28 23:00:00,1.981,1.99,1.97,1.99,50.0
2022-07-29 23:00:00,2.01,2.01,1.973,1.98,59.0
2022-08-01 23:00:00,1.995,2.012,1.995,2.005,4.0
2022-08-02 23:00:00,2.002,2.006,1.983,1.993,27.0
2022-08-03 23:00:00,1.979,1.994,1.971,1.99,7.0
2022-08-04 23:00:00,1.957,1.957,1.951,1.951,1.0
2022-08-05 23:00:00,1.97,1.97,1.97,1.97,1.0
2022-08-08 23:00:00,1.968,1.968,1.968,1.968,0.0
2022-08-09 23:00:00,1.975,1.978,1.968,1.968,35.0
2022-08-10 23:00:00,1.968,1.975,1.968,1.975,30.0
2022-08-11 23:00:00,1.97,1.97,1.97,1.97,10.0
2022-08-12 23:00:00,1.97,1.972,1.97,1.97,33.0
2022-08-15 23:00:00,1.972,1.972,1.97,1.97,1.0
2022-08-16 23:00:00,1.975,1.975,1.975,1.975,3.0
2022-08-17 23:00:00,1.975,1.984,1.975,1.982,2.0
2022-08-18 23:00:00,1.976,1.976,1.976,1.976,0.0
2022-08-19 23:00:00,1.978,1.978,1.977,1.977,51.0
2022-08-22 23:00:00,1.981,1.981,1.981,1.981,0.0
2022-08-23 23:00:00,1.975,1.979,1.975,1.976,6.0
2022-08-24 23:00:00,1.975,1.975,1.975,1.975,0.0
2022-08-25 23:00:00,1.975,1.975,1.975,1.975,0.0
2022-08-26 23:00:00,1.976,1.976,1.976,1.976,0.0
2022-08-29 23:00:00,1.976,1.976,1.976,1.976,0.0
2022-08-30 23:00:00,1.976,1.976,1.976,1.976,0.0
2022-08-31 23:00:00,1.976,1.976,1.976,1.976,0.0
