DATETIME,FINAL,HIGH,LOW,OPEN,VOLUME
2022-09-20 23:00:00,1.0537,1.0537,1.0537,1.0537,0.0
2022-09-21 23:00:00,1.0558,1.0558,1.0558,1.0558,0.0
2022-09-22 23:00:00,1.0383,1.0383,1.0383,1.0383,0.0
2022-09-23 23:00:00,1.0342,1.0342,1.0342,1.0342,10.0
2022-09-26 23:00:00,1.0221,1.0221,1.0221,1.0221,0.0
2022-09-27 23:00:00,1.0258,1.028,1.0258,1.028,4.0
2022-09-28 23:00:00,1.0423,1.0425,1.033,1.033,67.0
2022-09-29 23:00:00,1.0391,1.042,1.0391,1.0403,11.0
2022-09-30 23:00:00,1.0306,1.0306,1.0305,1.0305,2.0
2022-10-03 23:00:00,1.0239,1.0239,1.0239,1.0239,0.0
2022-10-04 23:00:00,1.0393,1.0393,1.0325,1.0325,50.0
2022-10-05 23:00:00,1.0346,1.0346,1.0346,1.0346,0.0
2022-10-06 23:00:00,1.0254,1.0254,1.0254,1.0254,0.0
2022-10-07 23:00:00,1.0217,1.0217,1.0217,1.0217,0.0
2022-10-10 23:00:00,1.017,1.0182,1.017,1.0175,7.0
2022-10-11 23:00:00,1.0196,1.025,1.0196,1.0222,13.0
2022-10-12 23:00:00,1.0192,1.0192,1.0192,1.0192,0.0
2022-10-13 23:00:00,1.019,1.02,1.011,1.011,23.0
2022-10-14 23:00:00,1.0117,1.0117,1.0117,1.0117,0.0
2022-10-17 23:00:00,1.0216,1.0225,1.0201,1.0205,17.0
2022-10-18 23:00:00,1.0221,1.0221,1.02,1.02,1.0
2022-10-19 23:00:00,1.0111,1.0111,1.0111,1.0111,0.0
2022-10-20 23:00:00,1.0124,1.0166,1.0124,1.0166,1.0
2022-10-21 23:00:00,1.0169,1.0199,1.0113,1.0113,71.0
2022-10-24 23:00:00,1.0153,1.0153,1.0153,1.0153,0.0
2022-10-25 23:00:00,1.0208,1.0215,1.0208,1.0215,1.0
2022-10-26 23:00:00,1.0302,1.0309,1.0296,1.0296,3.0
2022-10-27 23:00:00,1.0241,1.0241,1.0241,1.0241,0.0
2022-10-28 23:00:00,1.0192,1.0192,1.0192,1.0192,0.0
2022-10-31 23:00:00,1.0141,1.0141,1.0141,1.0141,0.0
2022-11-01 23:00:00,1.0155,1.0155,1.0155,1.0155,0.0
2022-11-02 23:00:00,1.0171,1.0232,1.0171,1.0208,25.0
2022-11-03 23:00:00,1.0029,1.0029,1.0029,1.0029,0.0
2022-11-04 23:00:00,1.0211,1.0211,1.0134,1.0134,67.0
2022-11-07 23:00:00,1.0278,1.028,1.0278,1.028,1.0
2022-11-08 23:00:00,1.0301,1.032,1.0268,1.0268,62.0
2022-11-09 23:00:00,1.0299,1.035,1.0299,1.035,11.0
2022-11-10 23:00:00,1.0497,1.053,1.0485,1.0485,187.0
2022-11-11 23:00:00,1.0793,1.0793,1.078,1.078,141.0
