DATETIME,FINAL,HIGH,LOW,OPEN,VOLUME
2022-05-05 23:00:00,6.6729,6.6903,6.645,6.6903,989.0
2022-05-06 23:00:00,6.7415,6.7593,6.6743,6.6743,2296.0
2022-05-07 23:00:00,6.7443,6.7456,6.7169,6.7332,204.0
2022-05-09 23:00:00,6.7914,6.7966,6.758,6.7684,608.0
2022-05-10 23:00:00,6.7652,6.7986,6.733,6.7938,1291.0
2022-05-11 23:00:00,6.7573,6.7828,6.7541,6.7733,1325.0
2022-05-12 23:00:00,6.8365,6.8455,6.75,6.7604,1382.0
2022-05-13 23:00:00,6.8336,6.8532,6.804,6.8365,1209.0
2022-05-14 23:00:00,6.8213,6.8417,6.8194,6.828,130.0
2022-05-16 23:00:00,6.8303,6.8409,6.8051,6.8078,1628.0
2022-05-17 23:00:00,6.7808,6.8334,6.766,6.8334,2187.0
2022-05-18 23:00:00,6.7692,6.7894,6.7426,6.773,2724.0
2022-05-19 23:00:00,6.7958,6.8046,6.7512,6.7673,2311.0
2022-05-20 23:00:00,6.6931,6.7954,6.6904,6.7944,3376.0
2022-05-21 23:00:00,6.7001,6.7333,6.6943,6.6943,547.0
2022-05-23 23:00:00,6.6727,6.7212,6.6708,6.7122,2510.0
2022-05-24 23:00:00,6.6957,6.7045,6.6641,6.6757,2500.0
2022-05-25 23:00:00,6.6965,6.7,6.6676,6.6917,1918.0
2022-05-26 23:00:00,6.7607,6.7817,6.694,6.6951,2807.0
2022-05-27 23:00:00,6.7464,6.7951,6.7417,6.7581,3275.0
2022-05-28 23:00:00,6.7385,6.7504,6.7188,6.747,969.0
2022-05-30 23:00:00,6.6818,6.7309,6.6663,6.7277,2330.0
2022-05-31 23:00:00,6.6806,6.7041,6.6695,6.6853,2880.0
2022-06-01 23:00:00,6.7038,6.724,6.6811,6.6831,4856.0
2022-06-02 23:00:00,6.6907,6.7245,6.6834,6.7063,3741.0
2022-06-03 23:00:00,6.64,6.6934,6.6282,6.6876,2240.0
2022-06-04 23:00:00,6.6789,6.6789,6.6426,6.6432,389.0
2022-06-06 23:00:00,6.6486,6.6721,6.6486,6.6569,3808.0
2022-06-07 23:00:00,6.6839,6.6875,6.6451,6.6521,4523.0
2022-06-08 23:00:00,6.7019,6.7094,6.6749,6.677,5233.0
2022-06-09 23:00:00,6.6789,6.7169,6.6758,6.7009,5091.0
2022-06-10 23:00:00,6.7078,6.7144,6.673,6.68,5022.0
2022-06-11 23:00:00,6.737,6.7449,6.7089,6.71,3972.0
2022-06-13 23:00:00,6.7581,6.78,6.7435,6.7435,9116.0
2022-06-14 23:00:00,6.7516,6.7939,6.7348,6.7598,12039.0
2022-06-15 23:00:00,6.7329,6.7712,6.7234,6.759,11869.0
2022-06-16 23:00:00,6.7297,6.7382,6.6772,6.7311,11431.0
2022-06-17 23:00:00,6.7172,6.7322,6.6836,6.7313,11369.0
2022-06-18 23:00:00,6.7167,6.7346,6.7108,6.7122,3081.0
2022-06-20 23:00:00,6.6942,6.7239,6.677,6.7176,7828.0
2022-06-21 23:00:00,6.6997,6.7056,6.6796,6.6933,7667.0
2022-06-22 23:00:00,6.7231,6.7381,6.6903,6.6998,9481.0
2022-06-23 23:00:00,6.7154,6.7259,6.7046,6.724,8880.0
2022-06-24 23:00:00,6.6949,6.7131,6.6901,6.7131,8716.0
2022-06-25 23:00:00,6.6877,6.6995,6.6803,6.6937,2536.0
2022-06-27 23:00:00,6.6897,6.695,6.6809,6.6878,6176.0
2022-06-28 23:00:00,6.6867,6.7031,6.6717,6.6897,6552.0
2022-06-29 23:00:00,6.7032,6.7186,6.6825,6.6892,7239.0
2022-06-30 23:00:00,6.7036,6.7116,6.6921,6.7047,6113.0
2022-07-01 23:00:00,6.7033,6.7285,6.6935,6.7033,7257.0
2022-07-02 23:00:00,6.6985,6.719,6.6968,6.7037,1847.0
2022-07-04 23:00:00,6.6901,6.707,6.6813,6.705,6492.0
2022-07-05 23:00:00,6.7084,6.711,6.683,6.6882,7158.0
2022-07-06 23:00:00,6.7092,6.7246,6.7042,6.7085,9908.0
2022-07-07 23:00:00,6.7073,6.7193,6.6975,6.7097,7601.0
2022-07-08 23:00:00,6.7037,6.7098,6.6914,6.7059,5673.0
2022-07-09 23:00:00,6.6897,6.7037,6.6841,6.7034,2381.0
2022-07-11 23:00:00,6.7055,6.7141,6.6886,6.689,5338.0
2022-07-12 23:00:00,6.7347,6.7536,6.6784,6.7076,10831.0
2022-07-13 23:00:00,6.7277,6.7431,6.7209,6.7324,8981.0
2022-07-14 23:00:00,6.7508,6.7642,6.7095,6.726,9561.0
2022-07-15 23:00:00,6.7709,6.7913,6.7483,6.7519,7684.0
2022-07-16 23:00:00,6.7548,6.7761,6.7548,6.7721,1519.0
2022-07-18 23:00:00,6.7586,6.7645,6.7558,6.7637,205.0
