DATETIME,FINAL,HIGH,LOW,OPEN,VOLUME
2022-05-03 23:00:00,4.283,4.321,4.272,4.307,28.0
2022-05-04 23:00:00,4.338,4.369,4.2505,4.275,373.0
2022-05-05 23:00:00,4.2915,4.3455,4.278,4.3455,96.0
2022-05-06 23:00:00,4.267,4.274,4.232,4.251,134.0
2022-05-09 23:00:00,4.1935,4.22,4.1375,4.177,124.0
2022-05-10 23:00:00,4.1545,4.2315,4.1355,4.2315,95.0
2022-05-11 23:00:00,4.209,4.2475,4.187,4.2265,65.0
2022-05-12 23:00:00,4.1005,4.11,4.061,4.0635,219.0
2022-05-13 23:00:00,4.175,4.1815,4.075,4.0845,194.0
2022-05-16 23:00:00,4.1915,4.218,4.1665,4.18,151.0
2022-05-17 23:00:00,4.239,4.268,4.2075,4.265,232.0
2022-05-18 23:00:00,4.1785,4.217,4.133,4.208,261.0
2022-05-19 23:00:00,4.283,4.296,4.2315,4.2315,668.0
2022-05-20 23:00:00,4.275,4.3155,4.256,4.3145,421.0
2022-05-23 23:00:00,4.3455,4.3545,4.3155,4.322,329.0
2022-05-24 23:00:00,4.305,4.3235,4.2805,4.2865,374.0
2022-05-25 23:00:00,4.2545,4.291,4.2445,4.26,531.0
2022-05-26 23:00:00,4.259,4.275,4.2445,4.2455,244.0
2022-05-27 23:00:00,4.3065,4.3265,4.288,4.2985,380.0
2022-05-31 23:00:00,4.296,4.3375,4.275,4.3365,490.0
2022-06-01 23:00:00,4.3285,4.3465,4.308,4.343,400.0
2022-06-02 23:00:00,4.5525,4.5695,4.5085,4.5165,1268.0
2022-06-03 23:00:00,4.472,4.516,4.4595,4.508,830.0
2022-06-06 23:00:00,4.435,4.4435,4.415,4.43,403.0
2022-06-07 23:00:00,4.4355,4.46,4.3795,4.38,524.0
2022-06-08 23:00:00,4.4545,4.455,4.421,4.422,414.0
2022-06-09 23:00:00,4.381,4.4,4.353,4.3845,480.0
2022-06-10 23:00:00,4.2945,4.308,4.267,4.2945,388.0
2022-06-13 23:00:00,4.2115,4.2365,4.172,4.207,646.0
2022-06-14 23:00:00,4.1565,4.202,4.118,4.1955,477.0
2022-06-15 23:00:00,4.1635,4.1925,4.118,4.1615,512.0
2022-06-16 23:00:00,4.108,4.13,4.0425,4.091,818.0
2022-06-17 23:00:00,4.0135,4.0595,3.989,4.0555,790.0
2022-06-21 23:00:00,4.039,4.0825,4.022,4.045,491.0
2022-06-22 23:00:00,3.944,3.954,3.907,3.9195,769.0
2022-06-23 23:00:00,3.739,3.8525,3.724,3.845,1405.0
2022-06-24 23:00:00,3.7405,3.785,3.6415,3.6995,1739.0
2022-06-27 23:00:00,3.7625,3.7935,3.7435,3.7665,412.0
2022-06-28 23:00:00,3.774,3.803,3.744,3.7955,81.0
2022-06-29 23:00:00,3.774,3.774,3.774,3.774,0.0
