DATETIME,FINAL,HIGH,LOW,OPEN,VOLUME
2022-05-03 23:00:00,4.277,4.28,4.27,4.27,3.0
2022-05-04 23:00:00,4.333,4.386,4.333,4.356,6.0
2022-05-05 23:00:00,4.289,4.289,4.289,4.289,0.0
2022-05-06 23:00:00,4.264,4.272,4.264,4.272,1.0
2022-05-09 23:00:00,4.192,4.192,4.152,4.152,2.0
2022-05-10 23:00:00,4.153,4.153,4.14,4.14,1.0
2022-05-11 23:00:00,4.207,4.242,4.207,4.242,1.0
2022-05-12 23:00:00,4.1,4.1,4.04,4.042,5.0
2022-05-13 23:00:00,4.174,4.174,4.13,4.13,2.0
2022-05-16 23:00:00,4.19,4.19,4.19,4.19,0.0
2022-05-17 23:00:00,4.238,4.238,4.238,4.238,0.0
2022-05-18 23:00:00,4.178,4.178,4.166,4.166,1.0
2022-05-19 23:00:00,4.281,4.281,4.264,4.264,1.0
2022-05-20 23:00:00,4.274,4.29,4.274,4.29,2.0
2022-05-23 23:00:00,4.344,4.35,4.344,4.35,1.0
2022-05-24 23:00:00,4.304,4.304,4.282,4.288,3.0
2022-05-25 23:00:00,4.257,4.268,4.257,4.266,2.0
2022-05-26 23:00:00,4.26,4.26,4.26,4.26,0.0
2022-05-27 23:00:00,4.26,4.26,4.26,4.26,0.0
