DATETIME,FINAL,HIGH,LOW,OPEN,VOLUME
2022-04-29 23:00:00,4.4135,4.452,4.375,4.433,1346.0
2022-05-02 23:00:00,4.271,4.2905,4.2085,4.27,1887.0
2022-05-03 23:00:00,4.287,4.3315,4.269,4.314,1067.0
2022-05-04 23:00:00,4.3405,4.3825,4.2565,4.279,2020.0
2022-05-05 23:00:00,4.2955,4.3525,4.281,4.3495,1785.0
2022-05-06 23:00:00,4.2745,4.2865,4.24,4.2755,1669.0
2022-05-09 23:00:00,4.2015,4.2335,4.144,4.184,1393.0
2022-05-10 23:00:00,4.1635,4.239,4.139,4.237,1579.0
2022-05-11 23:00:00,4.214,4.255,4.191,4.2275,1312.0
2022-05-12 23:00:00,4.106,4.118,4.06,4.079,1575.0
2022-05-13 23:00:00,4.178,4.1865,4.0805,4.0915,1457.0
2022-05-16 23:00:00,4.1935,4.221,4.1645,4.1745,976.0
2022-05-17 23:00:00,4.241,4.2695,4.2085,4.266,849.0
2022-05-18 23:00:00,4.18,4.222,4.134,4.209,1035.0
2022-05-19 23:00:00,4.284,4.298,4.232,4.2325,3015.0
2022-05-20 23:00:00,4.2785,4.314,4.2595,4.312,722.0
2022-05-23 23:00:00,4.348,4.3565,4.3165,4.3255,1670.0
2022-05-24 23:00:00,4.31,4.3235,4.287,4.291,795.0
2022-05-25 23:00:00,4.2615,4.2885,4.2495,4.267,816.0
2022-05-26 23:00:00,4.2665,4.283,4.249,4.25,1037.0
2022-05-27 23:00:00,4.3145,4.3345,4.3005,4.3075,1170.0
2022-05-31 23:00:00,4.3045,4.345,4.284,4.344,1442.0
2022-06-01 23:00:00,4.337,4.355,4.3155,4.351,1608.0
2022-06-02 23:00:00,4.562,4.5785,4.519,4.524,3028.0
2022-06-03 23:00:00,4.4845,4.5275,4.471,4.518,1438.0
2022-06-06 23:00:00,4.4475,4.457,4.4365,4.444,1824.0
2022-06-07 23:00:00,4.448,4.4705,4.391,4.3985,2553.0
2022-06-08 23:00:00,4.461,4.4635,4.4315,4.435,4119.0
2022-06-09 23:00:00,4.393,4.409,4.3665,4.3935,3178.0
2022-06-10 23:00:00,4.311,4.324,4.2905,4.3085,3175.0
