DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2022-04-29 23:00:00,4.414,4.414,4.414,4.414,0.0
2022-05-02 23:00:00,4.2745,4.2745,4.2745,4.2745,0.0
2022-05-03 23:00:00,4.294,4.294,4.294,4.294,0.0
2022-05-04 23:00:00,4.261,4.344,4.261,4.344,2.0
2022-05-05 23:00:00,4.325,4.325,4.3035,4.3035,5.0
2022-05-06 23:00:00,4.2935,4.2935,4.2935,4.2935,0.0
2022-05-09 23:00:00,4.2255,4.2255,4.2175,4.2175,1.0
2022-05-10 23:00:00,4.182,4.182,4.182,4.182,0.0
2022-05-11 23:00:00,4.23,4.23,4.23,4.23,0.0
2022-05-12 23:00:00,4.124,4.124,4.124,4.124,0.0
2022-05-13 23:00:00,4.191,4.191,4.191,4.191,0.0
2022-05-16 23:00:00,4.181,4.2045,4.181,4.2045,1.0
2022-05-17 23:00:00,4.2605,4.2605,4.245,4.2515,2.0
2022-05-18 23:00:00,4.19,4.19,4.19,4.19,0.0
2022-05-19 23:00:00,4.282,4.282,4.282,4.282,0.0
2022-05-20 23:00:00,4.288,4.288,4.2835,4.2835,2.0
2022-05-23 23:00:00,4.3505,4.3505,4.3505,4.3505,0.0
2022-05-24 23:00:00,4.3205,4.3205,4.3205,4.3205,0.0
2022-05-25 23:00:00,4.2825,4.2825,4.2825,4.2825,0.0
2022-05-26 23:00:00,4.286,4.286,4.286,4.286,0.0
2022-05-27 23:00:00,4.3325,4.3325,4.3325,4.3325,0.0
2022-05-31 23:00:00,4.321,4.321,4.321,4.321,0.0
2022-06-01 23:00:00,4.347,4.347,4.347,4.347,0.0
2022-06-02 23:00:00,4.567,4.567,4.567,4.567,0.0
2022-06-03 23:00:00,4.495,4.495,4.495,4.495,0.0
2022-06-06 23:00:00,4.4465,4.4465,4.4465,4.4465,0.0
2022-06-07 23:00:00,4.449,4.449,4.449,4.449,0.0
2022-06-08 23:00:00,4.452,4.452,4.452,4.452,0.0
2022-06-09 23:00:00,4.389,4.389,4.389,4.389,0.0
2022-06-10 23:00:00,4.315,4.315,4.315,4.315,0.0
2022-06-13 23:00:00,4.23,4.23,4.23,4.23,0.0
2022-06-14 23:00:00,4.18,4.1955,4.18,4.1955,2.0
