DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2022-04-26 23:00:00,610.0,610.0,610.0,610.0,0.0
2022-04-27 23:00:00,608.75,608.75,608.75,608.75,0.0
2022-04-28 23:00:00,610.5,610.5,610.5,610.5,0.0
2022-04-29 23:00:00,609.75,609.75,609.75,609.75,0.0
2022-05-02 23:00:00,605.5,605.5,605.5,605.5,0.0
2022-05-03 23:00:00,598.0,598.0,598.0,598.0,0.0
2022-05-04 23:00:00,598.5,598.5,598.5,598.5,0.0
2022-05-05 23:00:00,598.5,598.5,598.5,598.5,0.0
2022-05-06 23:00:00,590.0,590.0,587.25,587.25,1.0
2022-05-09 23:00:00,577.25,577.25,574.25,574.25,1.0
2022-05-10 23:00:00,578.25,578.25,578.25,578.25,0.0
2022-05-11 23:00:00,583.0,583.0,583.0,583.0,0.0
2022-05-12 23:00:00,586.5,586.5,586.5,586.5,0.0
2022-05-13 23:00:00,579.75,579.75,579.75,579.75,0.0
2022-05-16 23:00:00,587.5,587.5,587.5,587.5,0.0
2022-05-17 23:00:00,587.5,587.5,587.5,587.5,0.0
2022-05-18 23:00:00,578.75,578.75,578.75,578.75,0.0
2022-05-19 23:00:00,581.5,581.5,581.5,581.5,0.0
2022-05-20 23:00:00,578.5,578.5,578.5,578.5,0.0
2022-05-23 23:00:00,580.25,580.25,580.25,580.25,0.0
2022-05-24 23:00:00,577.5,577.5,577.5,577.5,0.0
2022-05-25 23:00:00,571.0,571.0,571.0,571.0,0.0
2022-05-26 23:00:00,572.5,572.5,572.5,572.5,0.0
2022-05-27 23:00:00,573.25,573.25,573.25,573.25,0.0
2022-05-31 23:00:00,572.5,572.5,572.5,572.5,0.0
2022-06-01 23:00:00,560.75,560.75,560.75,560.75,0.0
2022-06-02 23:00:00,563.75,563.75,563.75,563.75,0.0
2022-06-03 23:00:00,571.25,571.25,571.25,571.25,0.0
2022-06-06 23:00:00,573.5,573.5,573.5,573.5,0.0
2022-06-07 23:00:00,590.25,590.25,590.25,590.25,0.0
2022-06-08 23:00:00,584.0,584.0,584.0,584.0,0.0
2022-06-09 23:00:00,586.75,586.75,586.75,586.75,0.0
2022-06-10 23:00:00,592.75,592.75,592.75,592.75,0.0
2022-06-13 23:00:00,592.75,592.75,592.75,592.75,0.0
2022-06-14 23:00:00,587.25,587.25,587.25,587.25,0.0
2022-06-15 23:00:00,588.5,588.5,588.5,588.5,0.0
2022-06-16 23:00:00,591.75,591.75,591.75,591.75,0.0
2022-06-17 23:00:00,584.25,584.25,584.25,584.25,0.0
2022-06-21 23:00:00,572.75,572.75,572.75,572.75,0.0
2022-06-22 23:00:00,568.5,568.5,568.5,568.5,0.0
2022-06-23 23:00:00,552.0,552.0,552.0,552.0,0.0
2022-06-24 23:00:00,554.25,554.25,554.25,554.25,0.0
2022-06-27 23:00:00,552.75,552.75,552.75,552.75,0.0
2022-06-28 23:00:00,551.25,551.25,551.25,551.25,0.0
2022-06-29 23:00:00,553.0,553.0,553.0,553.0,0.0
2022-06-30 23:00:00,542.0,542.0,542.0,542.0,0.0
2022-07-01 23:00:00,540.0,540.0,540.0,540.0,0.0
2022-07-05 23:00:00,527.75,527.75,527.75,527.75,0.0
2022-07-06 23:00:00,532.75,532.75,532.75,532.75,0.0
2022-07-07 23:00:00,532.25,532.25,532.25,532.25,0.0
2022-07-08 23:00:00,532.25,544.5,530.0,544.5,11.0
2022-07-11 23:00:00,536.5,536.5,536.5,536.5,0.0
2022-07-12 23:00:00,521.0,521.0,521.0,521.0,0.0
2022-07-13 23:00:00,529.0,529.0,529.0,529.0,0.0
2022-07-14 23:00:00,536.75,536.75,536.75,536.75,0.0
2022-07-15 23:00:00,534.5,534.5,534.5,534.5,0.0
2022-07-18 23:00:00,540.25,540.25,540.25,540.25,0.0
2022-07-19 23:00:00,533.0,533.0,533.0,533.0,0.0
2022-07-20 23:00:00,532.5,532.5,532.5,532.5,0.0
2022-07-21 23:00:00,526.5,526.5,526.5,526.5,0.0
2022-07-22 23:00:00,522.0,522.0,522.0,522.0,0.0
2022-07-25 23:00:00,527.25,527.25,527.25,527.25,0.0
2022-07-26 23:00:00,530.5,530.5,530.5,530.5,0.0
2022-07-27 23:00:00,533.5,533.5,533.5,533.5,0.0
2022-07-28 23:00:00,543.0,543.0,543.0,543.0,0.0
2022-07-29 23:00:00,546.75,546.75,546.75,546.75,0.0
2022-08-01 23:00:00,545.5,545.5,545.5,545.5,0.0
2022-08-02 23:00:00,540.5,540.5,540.5,540.5,0.0
2022-08-03 23:00:00,540.5,540.5,540.5,540.5,0.0
2022-08-04 23:00:00,545.0,545.0,545.0,545.0,0.0
2022-08-05 23:00:00,544.5,544.5,544.5,544.5,0.0
2022-08-08 23:00:00,544.5,544.5,544.5,544.5,0.0
2022-08-09 23:00:00,546.5,546.5,546.5,546.5,0.0
2022-08-10 23:00:00,549.5,549.5,549.5,549.5,0.0
2022-08-11 23:00:00,553.5,553.5,553.5,553.5,0.0
2022-08-12 23:00:00,553.5,553.5,553.5,553.5,0.0
2022-08-15 23:00:00,553.5,553.5,553.5,553.5,0.0
2022-08-16 23:00:00,546.75,546.75,546.75,546.75,0.0
2022-08-17 23:00:00,544.0,544.0,544.0,544.0,0.0
2022-08-18 23:00:00,552.5,552.5,552.5,552.5,0.0
2022-08-19 23:00:00,554.0,554.0,554.0,554.0,0.0
2022-08-22 23:00:00,558.75,558.75,558.75,558.75,0.0
2022-08-23 23:00:00,560.0,565.5,560.0,565.5,9.0
2022-08-24 23:00:00,563.25,563.25,563.25,563.25,0.0
2022-08-25 23:00:00,561.75,561.75,561.75,561.75,0.0
2022-08-26 23:00:00,571.0,571.0,571.0,571.0,0.0
2022-08-29 23:00:00,573.75,573.75,573.75,573.75,0.0
2022-08-30 23:00:00,570.25,570.25,570.25,570.25,0.0
2022-08-31 23:00:00,567.25,567.25,567.25,567.25,0.0
2022-09-01 23:00:00,556.25,556.25,556.25,556.25,0.0
2022-09-02 23:00:00,564.75,564.75,564.75,564.75,0.0
2022-09-06 23:00:00,571.5,571.5,571.5,571.5,0.0
2022-09-07 23:00:00,570.0,570.0,570.0,570.0,0.0
2022-09-08 23:00:00,565.75,565.75,565.75,565.75,0.0
2022-09-09 23:00:00,573.25,573.25,573.25,573.25,0.0
2022-09-12 23:00:00,577.75,577.75,577.75,577.75,0.0
2022-09-13 23:00:00,578.25,578.25,578.25,578.25,0.0
2022-09-14 23:00:00,575.5,575.5,575.5,575.5,0.0
2022-09-15 23:00:00,567.0,567.0,567.0,567.0,0.0
2022-09-16 23:00:00,567.75,567.75,567.75,567.75,0.0
2022-09-19 23:00:00,570.25,570.25,570.25,570.25,0.0
2022-09-20 23:00:00,578.25,578.25,578.25,578.25,0.0
2022-09-21 23:00:00,574.0,574.0,574.0,574.0,0.0
2022-09-22 23:00:00,574.5,574.5,574.5,574.5,0.0
2022-09-23 23:00:00,564.5,564.5,564.5,564.5,0.0
2022-09-26 23:00:00,558.75,558.75,558.75,558.75,0.0
2022-09-27 23:00:00,558.75,558.75,558.75,558.75,0.0
2022-09-28 23:00:00,560.5,560.5,560.5,560.5,0.0
2022-09-29 23:00:00,563.0,563.0,563.0,563.0,0.0
2022-09-30 23:00:00,566.25,566.25,566.25,566.25,5.0
2022-10-03 23:00:00,563.75,563.75,563.75,563.75,0.0
2022-10-04 23:00:00,567.25,567.25,567.25,567.25,0.0
2022-10-05 23:00:00,569.0,569.0,569.0,569.0,0.0
2022-10-06 23:00:00,567.0,572.5,567.0,572.5,1.0
2022-10-07 23:00:00,570.75,570.75,570.75,570.75,0.0
2022-10-10 23:00:00,579.0,579.0,579.0,579.0,0.0
2022-10-11 23:00:00,578.0,578.0,578.0,578.0,0.0
2022-10-12 23:00:00,581.0,581.0,581.0,581.0,0.0
2022-10-13 23:00:00,582.5,582.5,582.5,582.5,0.0
2022-10-14 23:00:00,577.0,577.0,577.0,577.0,0.0
2022-10-17 23:00:00,573.0,573.0,573.0,573.0,0.0
2022-10-18 23:00:00,569.75,569.75,569.75,569.75,0.0
2022-10-19 23:00:00,569.0,569.0,569.0,569.0,0.0
2022-10-20 23:00:00,571.75,571.75,571.75,571.75,0.0
2022-10-21 23:00:00,571.5,571.5,571.5,571.5,0.0
2022-10-24 23:00:00,570.75,570.75,570.75,570.75,0.0
2022-10-25 23:00:00,574.0,574.0,574.0,574.0,0.0
2022-10-26 23:00:00,571.5,571.5,571.5,571.5,0.0
2022-10-27 23:00:00,569.0,569.0,569.0,569.0,0.0
2022-10-28 23:00:00,569.75,569.75,569.75,569.75,0.0
2022-10-31 23:00:00,571.0,571.0,571.0,571.0,0.0
2022-11-01 23:00:00,571.75,571.75,571.75,571.75,0.0
2022-11-02 23:00:00,571.5,571.5,571.5,571.5,0.0
2022-11-03 23:00:00,571.75,571.75,571.75,571.75,0.0
2022-11-04 23:00:00,573.5,573.5,573.5,573.5,0.0
2022-11-07 23:00:00,575.5,575.5,575.5,575.5,0.0
2022-11-08 23:00:00,573.75,573.75,573.75,573.75,0.0
2022-11-09 23:00:00,571.25,571.25,571.25,571.25,0.0
2022-11-10 23:00:00,570.25,570.25,570.25,570.25,0.0
2022-11-11 23:00:00,570.5,570.5,570.5,570.5,0.0
2022-11-14 23:00:00,569.5,569.5,569.5,569.5,0.0
2022-11-15 23:00:00,574.25,574.25,574.25,574.25,0.0
2022-11-16 23:00:00,575.0,575.0,575.0,575.0,0.0
2022-11-17 23:00:00,573.5,573.5,573.5,573.5,0.0
2022-11-18 23:00:00,572.75,572.75,572.75,572.75,0.0
2022-11-21 23:00:00,571.5,571.5,571.5,571.5,0.0
2022-11-22 23:00:00,570.5,570.5,570.5,570.5,0.0
2022-11-23 23:00:00,572.5,572.5,572.5,572.5,0.0
2022-11-25 23:00:00,573.75,573.75,573.75,573.75,0.0
2022-11-28 23:00:00,574.5,574.5,574.5,574.5,0.0
2022-11-29 23:00:00,575.25,575.25,575.25,575.25,0.0
2022-11-30 23:00:00,570.25,570.25,570.25,570.25,0.0
2022-12-01 23:00:00,569.0,569.0,569.0,569.0,0.0
2022-12-05 23:00:00,568.25,568.25,568.25,568.25,0.0
2022-12-06 23:00:00,566.75,566.75,566.75,566.75,0.0
2022-12-07 23:00:00,566.5,568.0,566.5,568.0,1.0
2022-12-08 23:00:00,566.75,566.75,566.75,566.75,0.0
2022-12-09 23:00:00,564.0,564.0,564.0,564.0,0.0
2022-12-12 23:00:00,567.75,567.75,567.75,567.75,0.0
2022-12-13 23:00:00,565.75,565.75,565.75,565.75,0.0
2022-12-14 23:00:00,565.75,565.75,565.75,565.75,0.0
2022-12-15 23:00:00,567.5,567.5,567.5,567.5,0.0
2022-12-16 23:00:00,565.75,565.75,565.75,565.75,0.0
