DATETIME,FINAL,HIGH,LOW,OPEN,VOLUME
2022-05-03 23:00:00,793.0,813.375,791.875,808.0,1597.0
2022-05-04 23:00:00,794.25,803.0,789.5,801.75,1180.0
2022-05-05 23:00:00,797.5,799.0,790.875,799.0,870.0
2022-05-06 23:00:00,784.75,791.375,776.25,791.375,2797.0
2022-05-09 23:00:00,772.0,785.0,769.0,777.0,1589.0
2022-05-10 23:00:00,775.25,778.0,769.125,772.75,774.0
2022-05-11 23:00:00,788.5,790.0,780.5,781.0,1431.0
2022-05-12 23:00:00,791.5,806.0,785.625,788.0,1802.0
2022-05-13 23:00:00,781.25,793.125,777.5,791.75,928.0
2022-05-16 23:00:00,809.5,810.0,795.875,798.0,1328.0
2022-05-17 23:00:00,800.75,809.0,798.375,806.75,955.0
2022-05-18 23:00:00,781.5,798.5,777.5,797.25,1377.0
2022-05-19 23:00:00,783.25,789.875,774.5,775.375,943.0
2022-05-20 23:00:00,778.75,781.75,775.375,776.25,503.0
2022-05-23 23:00:00,786.25,787.875,774.125,783.5,920.0
2022-05-24 23:00:00,771.75,782.375,761.875,781.0,1413.0
2022-05-25 23:00:00,772.25,772.875,755.125,757.375,995.0
2022-05-26 23:00:00,765.0,772.375,758.25,761.375,1016.0
2022-05-27 23:00:00,777.25,780.5,768.875,769.0,1084.0
2022-05-31 23:00:00,753.5,776.125,747.125,771.75,2140.0
2022-06-01 23:00:00,731.25,756.125,720.5,754.75,2136.0
2022-06-02 23:00:00,730.25,739.375,726.625,737.75,937.0
2022-06-03 23:00:00,727.0,735.625,725.125,728.375,644.0
2022-06-06 23:00:00,742.5,744.25,731.875,735.5,733.0
2022-06-07 23:00:00,757.0,764.875,743.375,746.5,1630.0
2022-06-08 23:00:00,764.5,774.125,759.625,767.125,992.0
2022-06-09 23:00:00,773.0,782.625,762.375,762.375,1361.0
2022-06-10 23:00:00,773.25,780.0,765.875,772.25,1152.0
2022-06-13 23:00:00,769.25,778.0,758.875,778.0,1116.0
2022-06-14 23:00:00,768.25,771.125,759.375,764.875,708.0
2022-06-15 23:00:00,774.0,779.375,763.625,764.0,1071.0
2022-06-16 23:00:00,788.25,791.75,779.375,782.0,1519.0
2022-06-17 23:00:00,784.5,799.625,782.375,798.125,1257.0
2022-06-21 23:00:00,760.75,773.5,752.5,768.25,670.0
2022-06-22 23:00:00,768.0,770.5,759.5,760.5,446.0
2022-06-23 23:00:00,746.75,760.0,735.0,756.75,632.0
2022-06-24 23:00:00,750.25,762.25,743.25,751.5,390.0
2022-06-27 23:00:00,744.25,745.375,731.0,744.125,549.0
2022-06-28 23:00:00,759.5,762.875,752.5,753.125,266.0
2022-06-29 23:00:00,770.25,780.0,761.0,767.125,206.0
2022-06-30 23:00:00,743.75,772.25,743.75,764.125,55.0
2022-07-01 23:00:00,754.5,761.625,752.0,752.25,28.0
2022-07-05 23:00:00,736.0,736.0,736.0,736.0,0.0
2022-07-06 23:00:00,744.25,755.5,744.25,755.5,1.0
2022-07-07 23:00:00,747.0,764.0,744.0,764.0,3.0
2022-07-08 23:00:00,778.25,778.25,778.25,778.25,0.0
2022-07-11 23:00:00,781.25,781.25,781.25,781.25,0.0
2022-07-12 23:00:00,732.75,780.25,732.75,780.25,2.0
2022-07-13 23:00:00,740.0,740.0,740.0,740.0,0.0
2022-07-14 23:00:00,695.0,695.0,695.0,695.0,0.0
