DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2022-05-03 23:00:00,681.25,681.5,681.25,681.5,2.0
2022-05-04 23:00:00,682.25,682.25,682.25,682.25,0.0
2022-05-05 23:00:00,683.5,683.5,683.5,683.5,0.0
2022-05-06 23:00:00,672.125,672.125,667.5,667.5,6.0
2022-05-09 23:00:00,656.125,657.5,656.125,657.5,1.0
2022-05-10 23:00:00,662.5,662.5,662.5,662.5,0.0
2022-05-11 23:00:00,672.0,672.0,672.0,672.0,0.0
2022-05-12 23:00:00,683.25,683.25,683.25,683.25,0.0
2022-05-13 23:00:00,674.5,674.5,674.5,674.5,0.0
2022-05-16 23:00:00,685.25,685.25,685.25,685.25,0.0
2022-05-17 23:00:00,686.0,686.0,686.0,686.0,0.0
2022-05-18 23:00:00,672.5,672.5,672.5,672.5,0.0
2022-05-19 23:00:00,672.75,672.75,672.75,672.75,0.0
2022-05-20 23:00:00,670.25,670.25,670.25,670.25,0.0
2022-05-23 23:00:00,672.5,672.5,672.5,672.5,0.0
2022-05-24 23:00:00,666.75,666.75,666.75,666.75,0.0
2022-05-25 23:00:00,661.75,661.75,661.75,661.75,0.0
2022-05-26 23:00:00,661.625,661.625,660.75,660.75,1.0
2022-05-27 23:00:00,667.75,667.75,667.75,667.75,0.0
2022-05-31 23:00:00,657.5,657.5,657.5,657.5,0.0
2022-06-01 23:00:00,643.75,643.75,643.75,643.75,0.0
2022-06-02 23:00:00,646.5,646.5,646.5,646.5,0.0
2022-06-03 23:00:00,646.25,646.25,646.25,646.25,0.0
2022-06-06 23:00:00,651.5,651.5,651.5,651.5,0.0
2022-06-07 23:00:00,668.5,668.5,668.5,668.5,0.0
2022-06-08 23:00:00,667.25,667.25,667.25,667.25,0.0
2022-06-09 23:00:00,669.0,669.0,669.0,669.0,0.0
2022-06-10 23:00:00,664.0,674.75,663.75,674.75,3.0
2022-06-13 23:00:00,674.0,674.0,674.0,674.0,0.0
2022-06-14 23:00:00,670.5,670.5,670.5,670.5,0.0
2022-06-15 23:00:00,671.0,671.0,671.0,671.0,0.0
2022-06-16 23:00:00,682.0,682.0,677.5,677.5,3.0
2022-06-17 23:00:00,669.75,669.75,669.75,669.75,0.0
