DATETIME,FINAL,HIGH,LOW,OPEN,VOLUME
2023-03-01 23:00:00,0.8139,0.8139,0.8139,0.8139,0.0
2023-03-02 23:00:00,0.8013,0.8013,0.8013,0.8013,0.0
2023-03-03 23:00:00,0.8046,0.8046,0.8046,0.8046,0.0
2023-03-06 23:00:00,0.8107,0.8107,0.8107,0.8107,0.0
2023-03-07 23:00:00,0.798,0.798,0.798,0.798,0.0
2023-03-08 23:00:00,0.7974,0.7974,0.7974,0.7974,0.0
2023-03-09 23:00:00,0.797,0.797,0.797,0.797,0.0
2023-03-10 23:00:00,0.7762,0.7762,0.7762,0.7762,0.0
2023-03-13 23:00:00,0.7808,0.7808,0.7808,0.7808,0.0
2023-03-14 23:00:00,0.7847,0.7847,0.7847,0.7847,0.0
2023-03-15 23:00:00,0.7757,0.7757,0.7757,0.7757,0.0
2023-03-16 23:00:00,0.7705,0.7705,0.7705,0.7705,0.0
2023-03-17 23:00:00,0.763,0.763,0.763,0.763,0.0
2023-03-20 23:00:00,0.7652,0.7652,0.7652,0.7652,0.0
2023-03-21 23:00:00,0.7731,0.7731,0.7731,0.7731,0.0
2023-03-22 23:00:00,0.7678,0.7678,0.7678,0.7678,0.0
2023-03-23 23:00:00,0.77,0.77,0.77,0.77,0.0
2023-03-24 23:00:00,0.769,0.769,0.769,0.769,0.0
2023-03-27 23:00:00,0.7811,0.7811,0.7811,0.7811,0.0
2023-03-28 23:00:00,0.7945,0.7945,0.7945,0.7945,0.0
2023-03-29 23:00:00,0.7869,0.7869,0.7869,0.7869,0.0
2023-03-30 23:00:00,0.7908,0.7908,0.7908,0.7908,0.0
2023-03-31 23:00:00,0.7905,0.7905,0.7905,0.7905,0.0
2023-04-03 23:00:00,0.7902,0.7902,0.7902,0.7902,0.0
2023-04-04 23:00:00,0.7888,0.7888,0.7888,0.7888,0.0
2023-04-05 23:00:00,0.7903,0.7903,0.7903,0.7903,0.0
2023-04-06 23:00:00,0.7945,0.7945,0.7945,0.7945,0.0
2023-04-10 23:00:00,0.793,0.793,0.793,0.793,0.0
2023-04-11 23:00:00,0.7951,0.7951,0.7951,0.7951,0.0
2023-04-12 23:00:00,0.7924,0.7924,0.7924,0.7924,0.0
2023-04-13 23:00:00,0.7886,0.7886,0.7886,0.7886,0.0
2023-04-14 23:00:00,0.7881,0.7881,0.7881,0.7881,0.0
2023-04-17 23:00:00,0.7899,0.7899,0.7899,0.7899,0.0
2023-04-18 23:00:00,0.7947,0.7947,0.7947,0.7947,0.0
2023-04-19 23:00:00,0.7925,0.7925,0.7925,0.7925,0.0
2023-04-20 23:00:00,0.7792,0.7792,0.7792,0.7792,0.0
2023-04-21 23:00:00,0.777,0.777,0.777,0.777,0.0
2023-04-24 23:00:00,0.7846,0.7846,0.7846,0.7846,0.0
2023-04-25 23:00:00,0.7678,0.7678,0.7678,0.7678,0.0
2023-04-26 23:00:00,0.7647,0.7647,0.7647,0.7647,0.0
2023-04-27 23:00:00,0.7713,0.7713,0.7713,0.7713,0.0
2023-04-28 23:00:00,0.776,0.776,0.776,0.776,0.0
2023-05-01 23:00:00,0.7766,0.7766,0.7766,0.7766,0.0
