DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2022-04-29 23:00:00,75.86,75.86,75.86,75.86,0.0
2022-05-02 23:00:00,76.26,76.26,76.26,76.26,0.0
2022-05-03 23:00:00,76.16,76.16,76.16,76.16,0.0
2022-05-04 23:00:00,78.36,78.36,78.36,78.36,0.0
2022-05-05 23:00:00,78.65,78.65,78.65,78.65,0.0
2022-05-06 23:00:00,78.91,78.91,78.91,78.91,0.0
2022-05-09 23:00:00,76.08,76.08,76.08,76.08,0.0
2022-05-10 23:00:00,75.6,75.6,75.6,75.6,0.0
2022-05-11 23:00:00,79.09,79.09,79.09,79.09,0.0
2022-05-12 23:00:00,78.83,78.83,78.66,78.66,2.0
2022-05-13 23:00:00,79.34,79.34,79.34,79.34,0.0
2022-05-16 23:00:00,79.6,79.6,79.6,79.6,0.0
2022-05-17 23:00:00,79.49,79.49,79.49,79.49,0.0
2022-05-18 23:00:00,78.02,78.02,78.02,78.02,0.0
2022-05-19 23:00:00,78.99,78.99,78.99,78.99,0.0
2022-05-20 23:00:00,78.56,78.56,78.56,78.56,0.0
2022-05-23 23:00:00,79.59,79.59,79.59,79.59,0.0
2022-05-24 23:00:00,79.9,79.9,79.9,79.9,0.0
2022-05-25 23:00:00,80.33,80.33,80.33,80.33,0.0
2022-05-26 23:00:00,80.96,80.96,80.96,80.96,0.0
2022-05-27 23:00:00,81.17,81.17,81.17,81.17,0.0
2022-05-31 23:00:00,80.52,80.52,80.52,80.52,0.0
2022-06-01 23:00:00,81.08,81.08,81.08,81.08,0.0
2022-06-02 23:00:00,81.96,81.96,81.96,81.96,0.0
2022-06-03 23:00:00,82.14,82.14,82.14,82.14,0.0
2022-06-06 23:00:00,81.8,81.8,81.8,81.8,0.0
2022-06-07 23:00:00,83.8,83.8,83.8,83.8,0.0
2022-06-08 23:00:00,85.03,85.03,85.03,85.03,0.0
2022-06-09 23:00:00,85.74,85.74,85.74,85.74,0.0
2022-06-10 23:00:00,85.18,85.18,85.18,85.18,0.0
