DATETIME,FINAL,HIGH,LOW,OPEN,VOLUME
2022-04-29 23:00:00,62.16,62.16,62.16,62.16,0.0
2022-05-02 23:00:00,62.36,62.36,62.36,62.36,0.0
2022-05-03 23:00:00,62.8,62.8,62.8,62.8,0.0
2022-05-04 23:00:00,64.29,64.29,64.29,64.29,0.0
2022-05-05 23:00:00,64.62,64.62,64.62,64.62,0.0
2022-05-06 23:00:00,64.5,64.5,64.5,64.5,0.0
2022-05-09 23:00:00,62.58,62.58,62.58,62.58,0.0
2022-05-10 23:00:00,62.74,62.74,62.74,62.74,0.0
2022-05-11 23:00:00,65.68,65.68,65.68,65.68,0.0
2022-05-12 23:00:00,65.1,65.1,65.1,65.1,0.0
2022-05-13 23:00:00,63.28,63.28,63.28,63.28,0.0
2022-05-16 23:00:00,63.33,63.33,63.33,63.33,0.0
2022-05-17 23:00:00,64.76,64.76,64.76,64.76,0.0
2022-05-18 23:00:00,64.42,64.42,64.42,64.42,0.0
2022-05-19 23:00:00,65.24,65.24,65.24,65.24,0.0
2022-05-20 23:00:00,64.73,64.73,64.73,64.73,0.0
2022-05-23 23:00:00,65.75,65.75,65.75,65.75,0.0
2022-05-24 23:00:00,66.16,66.16,66.16,66.16,0.0
2022-05-25 23:00:00,66.43,66.43,66.43,66.43,0.0
2022-05-26 23:00:00,66.27,66.27,66.27,66.27,0.0
2022-05-27 23:00:00,66.03,66.03,66.03,66.03,0.0
2022-05-31 23:00:00,65.49,65.49,65.49,65.49,0.0
2022-06-01 23:00:00,64.88,64.88,64.88,64.88,0.0
2022-06-02 23:00:00,65.3,65.3,65.3,65.3,0.0
2022-06-03 23:00:00,64.75,64.75,64.75,64.75,0.0
2022-06-06 23:00:00,64.23,64.23,64.23,64.23,0.0
2022-06-07 23:00:00,65.79,65.79,65.79,65.79,0.0
2022-06-08 23:00:00,65.83,65.83,65.83,65.83,0.0
2022-06-09 23:00:00,66.81,66.81,66.81,66.81,0.0
2022-06-10 23:00:00,66.31,66.31,66.31,66.31,0.0
2022-06-13 23:00:00,66.69,66.69,66.69,66.69,0.0
2022-06-14 23:00:00,65.85,65.85,65.85,65.85,0.0
2022-06-15 23:00:00,65.53,65.53,65.53,65.53,0.0
2022-06-16 23:00:00,67.14,67.14,67.14,67.14,0.0
2022-06-17 23:00:00,66.32,66.32,66.32,66.32,0.0
2022-06-21 23:00:00,66.03,66.03,66.03,66.03,0.0
2022-06-22 23:00:00,64.92,64.92,64.92,64.92,0.0
2022-06-23 23:00:00,63.28,63.28,63.28,63.28,0.0
2022-06-24 23:00:00,65.23,65.23,65.23,65.23,0.0
2022-06-27 23:00:00,66.38,66.38,66.38,66.38,0.0
2022-06-28 23:00:00,67.87,67.87,67.87,67.87,0.0
2022-06-29 23:00:00,67.54,67.54,67.54,67.54,0.0
2022-06-30 23:00:00,65.12,65.12,65.12,65.12,0.0
2022-07-01 23:00:00,64.92,64.92,64.92,64.92,0.0
2022-07-05 23:00:00,62.39,62.39,62.39,62.39,0.0
2022-07-06 23:00:00,62.7,62.7,62.7,62.7,0.0
2022-07-07 23:00:00,63.68,63.68,63.68,63.68,0.0
2022-07-08 23:00:00,63.92,63.92,63.92,63.92,0.0
2022-07-11 23:00:00,65.63,65.63,65.63,65.63,0.0
2022-07-12 23:00:00,63.63,63.63,63.63,63.63,0.0
2022-07-13 23:00:00,64.54,64.54,64.54,64.54,0.0
2022-07-14 23:00:00,63.86,63.86,63.86,63.86,0.0
2022-07-15 23:00:00,65.02,65.02,65.02,65.02,0.0
2022-07-18 23:00:00,67.33,67.33,67.33,67.33,0.0
2022-07-19 23:00:00,67.22,67.22,67.22,67.22,0.0
2022-07-20 23:00:00,66.42,66.42,66.42,66.42,0.0
2022-07-21 23:00:00,65.46,65.46,65.46,65.46,0.0
2022-07-22 23:00:00,65.21,65.21,65.21,65.21,0.0
2022-07-25 23:00:00,65.96,65.96,65.96,65.96,0.0
2022-07-26 23:00:00,66.08,66.08,66.08,66.08,0.0
2022-07-27 23:00:00,67.43,67.43,67.43,67.43,0.0
2022-07-28 23:00:00,66.15,66.15,66.15,66.15,0.0
2022-07-29 23:00:00,67.04,67.04,67.04,67.04,0.0
2022-08-01 23:00:00,65.66,65.66,65.66,65.66,0.0
2022-08-02 23:00:00,67.18,67.18,67.18,67.18,0.0
2022-08-03 23:00:00,66.99,66.99,66.99,66.99,0.0
2022-08-04 23:00:00,65.25,65.25,65.25,65.25,0.0
2022-08-05 23:00:00,65.02,65.02,65.02,65.02,0.0
2022-08-08 23:00:00,66.13,66.13,66.13,66.13,0.0
2022-08-09 23:00:00,65.55,65.55,65.55,65.55,0.0
2022-08-10 23:00:00,66.18,66.18,66.18,66.18,0.0
2022-08-17 23:00:00,63.83,63.83,63.83,63.83,0.0
2022-08-18 23:00:00,62.65,62.65,62.65,62.65,0.0
2022-08-19 23:00:00,61.23,61.23,61.23,61.23,0.0
2022-08-22 23:00:00,61.02,61.02,61.02,61.02,0.0
2022-08-23 23:00:00,60.5,60.5,60.5,60.5,0.0
2022-08-24 23:00:00,59.43,59.43,59.43,59.43,0.0
2022-08-25 23:00:00,58.79,58.79,58.79,58.79,0.0
2022-08-26 23:00:00,58.55,58.55,58.55,58.55,0.0
2022-08-29 23:00:00,58.68,58.68,58.68,58.68,0.0
2022-08-30 23:00:00,57.22,57.22,57.22,57.22,0.0
2022-08-31 23:00:00,57.85,57.85,57.85,57.85,0.0
2022-09-01 23:00:00,57.35,57.35,57.35,57.35,0.0
2022-09-02 23:00:00,57.63,57.63,57.63,57.63,0.0
2022-09-06 23:00:00,58.04,58.04,58.04,58.04,0.0
2022-09-07 23:00:00,56.78,56.78,56.78,56.78,0.0
2022-09-08 23:00:00,56.8,56.8,56.8,56.8,0.0
2022-09-09 23:00:00,58.66,58.66,58.66,58.66,0.0
2022-09-12 23:00:00,59.33,59.33,59.33,59.33,0.0
2022-09-13 23:00:00,59.12,59.12,59.12,59.12,0.0
