DATETIME,FINAL,HIGH,LOW,OPEN,VOLUME
2022-05-04 23:00:00,98.76,98.76,98.76,98.76,0.0
2022-05-05 23:00:00,99.04,99.15,99.04,99.15,1.0
2022-05-06 23:00:00,100.57,100.57,100.23,100.23,1.0
2022-05-09 23:00:00,95.07,95.07,95.07,95.07,0.0
2022-05-10 23:00:00,92.33,92.33,92.33,92.33,0.0
2022-05-11 23:00:00,96.95,96.95,96.95,96.95,8.0
2022-05-12 23:00:00,96.81,96.81,96.59,96.59,3.0
2022-05-13 23:00:00,99.66,99.66,99.3,99.3,1.0
2022-05-16 23:00:00,100.99,100.99,100.99,100.99,0.0
2022-05-17 23:00:00,99.11,100.98,99.11,100.98,3.0
2022-05-18 23:00:00,96.31,96.31,95.99,95.99,1.0
2022-05-19 23:00:00,98.61,98.61,98.61,98.61,0.0
2022-05-20 23:00:00,98.7,98.7,98.7,98.7,0.0
2022-05-23 23:00:00,99.66,99.66,99.66,99.66,0.0
2022-05-24 23:00:00,99.76,99.76,99.76,99.76,0.0
2022-05-25 23:00:00,100.42,100.42,100.42,100.42,0.0
2022-05-26 23:00:00,103.26,103.26,103.26,103.26,0.0
2022-05-27 23:00:00,104.13,104.13,103.12,103.19,2.0
2022-05-31 23:00:00,103.59,107.0,103.59,107.0,2.0
2022-06-01 23:00:00,104.93,104.93,104.93,104.93,0.0
2022-06-02 23:00:00,106.42,106.42,106.42,106.42,0.0
2022-06-03 23:00:00,108.21,108.21,108.21,108.21,0.0
2022-06-06 23:00:00,108.24,108.4,108.24,108.4,1.0
2022-06-07 23:00:00,109.74,109.74,109.74,109.74,0.0
2022-06-08 23:00:00,112.18,112.55,112.18,112.27,2.0
2022-06-09 23:00:00,111.69,112.0,111.69,112.0,1.0
2022-06-10 23:00:00,110.38,110.63,110.28,110.28,7.0
2022-06-13 23:00:00,110.25,111.28,107.49,108.95,19.0
2022-06-14 23:00:00,108.5,112.09,107.99,111.4,21.0
2022-06-15 23:00:00,106.27,107.79,106.27,107.79,3.0
2022-06-16 23:00:00,108.05,108.05,104.41,104.41,14.0
2022-06-17 23:00:00,101.56,104.8,101.0,104.8,41.0
2022-06-21 23:00:00,102.97,104.38,102.5,104.38,14.0
2022-06-22 23:00:00,99.9,100.64,96.56,96.56,34.0
2022-06-23 23:00:00,96.88,98.14,96.69,98.0,6.0
2022-06-24 23:00:00,98.97,99.68,97.54,97.58,24.0
2022-06-27 23:00:00,100.68,101.24,99.23,99.23,11.0
2022-06-28 23:00:00,103.43,103.72,102.2,102.2,12.0
2022-06-29 23:00:00,101.56,105.28,101.56,104.52,50.0
2022-06-30 23:00:00,97.75,99.84,97.5,99.84,33.0
2022-07-01 23:00:00,99.62,100.03,99.22,99.22,20.0
2022-07-05 23:00:00,90.98,95.3,89.53,95.3,91.0
2022-07-06 23:00:00,89.01,89.94,86.76,89.7,101.0
2022-07-07 23:00:00,92.84,94.27,92.34,92.34,31.0
2022-07-08 23:00:00,95.58,95.7,93.83,95.06,23.0
2022-07-11 23:00:00,95.6,95.6,93.48,94.15,41.0
2022-07-12 23:00:00,88.2,91.4,88.0,91.4,31.0
2022-07-13 23:00:00,89.0,90.15,87.94,88.9,24.0
2022-07-14 23:00:00,87.96,87.96,84.83,84.83,30.0
2022-07-15 23:00:00,89.27,90.28,88.95,90.05,218.0
2022-07-18 23:00:00,92.92,93.91,92.92,93.7,21.0
2022-07-19 23:00:00,94.81,94.81,92.5,92.5,25.0
2022-07-20 23:00:00,94.02,94.73,92.86,92.87,31.0
2022-07-21 23:00:00,91.69,92.34,90.94,91.44,46.0
2022-07-22 23:00:00,91.01,92.89,90.53,91.64,72.0
2022-07-25 23:00:00,92.52,92.66,91.0,91.6,122.0
2022-07-26 23:00:00,91.06,93.84,91.06,93.5,84.0
2022-07-27 23:00:00,94.52,94.85,91.6,92.9,365.0
2022-07-28 23:00:00,94.02,94.7,92.98,94.16,240.0
2022-07-29 23:00:00,94.87,97.9,94.87,96.26,93.0
2022-08-01 23:00:00,91.5,91.74,89.9,90.5,200.0
2022-08-02 23:00:00,91.5,94.0,91.4,92.3,88.0
2022-08-03 23:00:00,89.2,92.72,88.77,92.37,214.0
2022-08-04 23:00:00,86.0,88.99,86.0,88.0,92.0
2022-08-05 23:00:00,86.7,88.6,85.79,85.79,184.0
2022-08-08 23:00:00,88.86,89.24,86.9,86.9,234.0
2022-08-09 23:00:00,89.04,90.64,88.0,89.7,124.0
2022-08-10 23:00:00,90.06,90.78,86.5,88.3,170.0
2022-08-11 23:00:00,92.36,93.29,90.98,92.0,178.0
2022-08-12 23:00:00,90.6,91.4,90.0,91.1,133.0
2022-08-15 23:00:00,87.0,88.58,86.12,86.12,279.0
2022-08-16 23:00:00,86.19,89.13,85.15,87.89,668.0
2022-08-17 23:00:00,86.5,88.06,85.58,86.08,309.0
2022-08-18 23:00:00,89.64,90.51,88.68,88.7,397.0
2022-08-19 23:00:00,89.31,91.2,89.17,89.69,714.0
2022-08-22 23:00:00,90.13,90.33,86.08,87.72,2738.0
2022-08-23 23:00:00,93.29,93.65,91.78,91.86,2176.0
2022-08-24 23:00:00,94.89,94.89,92.36,93.37,3248.0
2022-08-25 23:00:00,92.65,95.15,91.95,95.14,2739.0
2022-08-26 23:00:00,92.33,92.6,90.7,91.58,2195.0
2022-08-29 23:00:00,96.11,96.44,93.36,93.53,1918.0
2022-08-30 23:00:00,91.79,93.54,90.06,93.32,3239.0
2022-08-31 23:00:00,88.38,91.05,88.27,89.29,2994.0
2022-09-01 23:00:00,85.94,88.01,85.61,87.18,2484.0
2022-09-02 23:00:00,86.72,88.82,86.27,88.76,1861.0
2022-09-06 23:00:00,86.53,87.55,85.91,87.52,1975.0
2022-09-07 23:00:00,81.32,84.06,81.09,83.34,3439.0
2022-09-08 23:00:00,82.29,83.72,81.64,82.8,2941.0
2022-09-09 23:00:00,85.7,86.68,84.79,85.17,1901.0
2022-09-12 23:00:00,87.71,88.62,87.01,87.89,2814.0
2022-09-13 23:00:00,87.17,88.05,84.65,87.2,12219.0
2022-09-14 23:00:00,88.53,89.66,87.6,88.05,12505.0
2022-09-15 23:00:00,84.66,86.5,84.1,86.42,16179.0
2022-09-16 23:00:00,84.99,86.17,84.34,85.46,35851.0
2022-09-19 23:00:00,85.03,85.45,81.89,82.14,50712.0
2022-09-20 23:00:00,84.3,84.54,83.01,84.46,55521.0
2022-09-21 23:00:00,83.05,85.76,82.49,85.59,68632.0
2022-09-22 23:00:00,83.48,85.89,82.98,85.35,56562.0
2022-09-23 23:00:00,79.42,79.56,78.04,79.52,49192.0
2022-09-26 23:00:00,76.35,80.31,76.25,79.19,59293.0
2022-09-27 23:00:00,77.98,79.51,77.3,77.95,55187.0
2022-09-28 23:00:00,81.88,82.34,79.08,79.55,47815.0
2022-09-29 23:00:00,81.6,82.95,80.77,82.3,48632.0
2022-09-30 23:00:00,79.71,81.22,79.15,80.23,53066.0
2022-10-03 23:00:00,83.34,84.57,82.19,84.15,42691.0
2022-10-04 23:00:00,86.28,86.97,85.07,85.97,48558.0
2022-10-05 23:00:00,88.06,88.43,85.39,87.24,61179.0
2022-10-06 23:00:00,88.96,89.19,87.56,87.73,33045.0
2022-10-07 23:00:00,93.33,93.33,89.28,89.35,55934.0
2022-10-10 23:00:00,90.82,93.65,90.54,92.59,38409.0
2022-10-11 23:00:00,88.64,90.07,87.91,89.22,37889.0
2022-10-12 23:00:00,87.1,88.4,86.27,88.16,34843.0
2022-10-13 23:00:00,89.21,89.67,86.36,86.37,37499.0
2022-10-14 23:00:00,85.6,87.84,85.21,87.43,33189.0
2022-10-17 23:00:00,85.66,87.12,85.01,86.67,22398.0
2022-10-18 23:00:00,83.73,84.72,82.08,84.27,10212.0
2022-10-19 23:00:00,85.8,86.2,83.04,83.41,242.0
