DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2022-10-20 23:00:00,75.24,75.24,75.24,75.24,0.0
2022-10-21 23:00:00,75.24,75.51,75.24,75.51,1.0
2022-10-24 23:00:00,75.6,75.6,75.6,75.6,0.0
2022-10-25 23:00:00,76.8,76.8,76.51,76.51,2.0
2022-10-26 23:00:00,77.82,77.82,77.82,77.82,0.0
2022-10-27 23:00:00,78.2,78.47,78.2,78.47,3.0
2022-10-28 23:00:00,77.37,77.37,77.37,77.37,0.0
2022-10-31 23:00:00,76.9,76.9,76.9,76.9,0.0
2022-11-01 23:00:00,78.01,78.01,78.01,78.01,0.0
2022-11-02 23:00:00,79.75,79.76,79.75,79.76,1.0
2022-11-03 23:00:00,78.7,78.7,78.7,78.7,0.0
2022-11-04 23:00:00,81.43,81.43,81.43,81.43,0.0
2022-11-07 23:00:00,81.26,81.26,81.26,81.26,0.0
2022-11-08 23:00:00,79.51,79.51,79.51,79.51,0.0
2022-11-09 23:00:00,77.2,77.2,77.2,77.2,0.0
2022-11-10 23:00:00,77.56,77.56,77.56,77.56,0.0
2022-11-11 23:00:00,79.6,79.9,79.42,79.42,2.0
2022-11-14 23:00:00,79.9,79.9,77.92,77.92,2.0
2022-11-15 23:00:00,79.37,79.37,79.37,79.37,0.0
2022-11-16 23:00:00,78.0,78.0,78.0,78.0,0.0
2022-11-17 23:00:00,76.14,76.14,76.14,76.14,0.0
2022-11-18 23:00:00,74.53,75.54,74.53,75.54,1.0
2022-11-21 23:00:00,76.38,76.38,76.38,76.38,0.0
2022-11-22 23:00:00,76.73,76.73,76.73,76.73,0.0
2022-11-23 23:00:00,75.05,75.65,75.05,75.63,2.0
2022-11-25 23:00:00,74.56,74.56,74.56,74.56,0.0
2022-11-28 23:00:00,75.14,75.14,75.14,75.14,0.0
2022-11-29 23:00:00,76.02,76.02,76.02,76.02,0.0
2022-11-30 23:00:00,78.36,78.36,78.36,78.36,0.0
2022-12-01 23:00:00,78.73,78.73,78.73,78.73,4.0
2022-12-02 23:00:00,78.22,78.22,78.22,78.22,0.0
2022-12-05 23:00:00,78.22,78.22,78.22,78.22,2.0
2022-12-06 23:00:00,73.94,73.94,73.94,73.94,0.0
2022-12-07 23:00:00,72.23,72.23,72.23,72.23,0.0
2022-12-08 23:00:00,71.57,71.57,71.57,71.57,0.0
2022-12-09 23:00:00,71.51,71.51,71.51,71.51,0.0
2022-12-12 23:00:00,73.02,73.02,73.02,73.02,0.0
2022-12-13 23:00:00,74.6,74.7,74.6,74.7,2.0
2022-12-14 23:00:00,75.44,75.44,75.44,75.44,0.0
2022-12-15 23:00:00,73.94,73.94,73.94,73.94,0.0
2022-12-16 23:00:00,72.79,72.79,72.79,72.79,0.0
2022-12-19 23:00:00,73.36,73.36,73.36,73.36,0.0
2022-12-20 23:00:00,74.02,74.02,74.02,74.02,0.0
2022-12-21 23:00:00,75.29,75.29,75.29,75.29,0.0
2022-12-22 23:00:00,74.49,74.49,74.49,74.49,0.0
2022-12-23 23:00:00,76.84,76.84,76.84,76.84,0.0
2022-12-27 23:00:00,77.07,77.07,77.07,77.07,0.0
2022-12-28 23:00:00,76.76,76.76,76.76,76.76,0.0
2022-12-29 23:00:00,76.05,76.05,76.05,76.05,0.0
2022-12-30 23:00:00,77.81,77.81,77.81,77.81,0.0
2023-01-03 23:00:00,75.39,75.39,75.39,75.39,0.0
2023-01-04 23:00:00,72.56,72.56,72.56,72.56,0.0
2023-01-05 23:00:00,73.27,73.27,73.27,73.27,0.0
2023-01-06 23:00:00,73.15,73.15,73.15,73.15,1.0
2023-01-09 23:00:00,74.49,74.49,74.49,74.49,0.0
2023-01-10 23:00:00,74.64,74.64,74.64,74.64,0.0
2023-01-11 23:00:00,76.5,76.5,76.5,76.5,0.0
2023-01-12 23:00:00,77.22,77.22,77.22,77.22,0.0
2023-01-13 23:00:00,78.25,78.37,78.25,78.37,5.0
2023-01-17 23:00:00,78.72,78.97,77.88,78.93,19.0
2023-01-18 23:00:00,79.6,79.65,78.0,78.0,5.0
2023-01-19 23:00:00,78.91,78.91,78.91,78.91,7.0
2023-01-20 23:00:00,79.56,79.56,79.56,79.56,0.0
2023-01-23 23:00:00,80.05,80.05,80.05,80.05,0.0
2023-01-24 23:00:00,79.01,79.01,78.83,78.83,3.0
2023-01-25 23:00:00,78.46,78.46,78.46,78.46,0.0
2023-01-26 23:00:00,79.76,79.76,78.46,78.99,9.0
2023-01-27 23:00:00,79.6,79.6,77.4,77.4,14.0
2023-01-30 23:00:00,76.55,76.6,76.0,76.0,3.0
2023-01-31 23:00:00,76.35,77.31,76.35,77.31,7.0
2023-02-01 23:00:00,75.45,75.6,74.9,75.6,7.0
2023-02-02 23:00:00,74.73,74.73,74.73,74.73,0.0
2023-02-03 23:00:00,76.3,76.3,72.35,72.4,18.0
2023-02-06 23:00:00,71.81,73.3,71.81,73.3,3.0
2023-02-07 23:00:00,74.26,74.26,74.26,74.26,1.0
2023-02-08 23:00:00,76.0,76.93,76.0,76.93,7.0
2023-02-09 23:00:00,76.0,76.0,76.0,76.0,1.0
2023-02-10 23:00:00,76.9,77.61,76.9,77.61,1.0
2023-02-13 23:00:00,77.5,78.06,77.5,78.06,1.0
2023-02-14 23:00:00,77.38,77.38,77.38,77.38,0.0
2023-02-15 23:00:00,77.06,77.06,77.06,77.06,0.0
2023-02-16 23:00:00,76.91,76.91,76.91,76.91,0.0
2023-02-17 23:00:00,74.98,74.98,74.98,74.98,0.0
2023-02-21 23:00:00,74.75,74.75,74.75,74.75,2.0
2023-02-22 23:00:00,73.46,73.46,73.0,73.02,6.0
2023-02-23 23:00:00,74.28,74.3,74.28,74.29,5.0
2023-02-24 23:00:00,74.87,74.87,74.87,74.87,0.0
2023-02-27 23:00:00,74.28,74.28,74.28,74.28,1.0
2023-02-28 23:00:00,75.49,75.49,75.49,75.49,2.0
2023-03-01 23:00:00,75.1,75.1,75.1,75.1,1.0
2023-03-02 23:00:00,76.38,76.38,76.38,76.38,0.0
2023-03-03 23:00:00,77.8,77.8,77.8,77.8,0.0
2023-03-06 23:00:00,78.45,78.45,78.45,78.45,0.0
2023-03-07 23:00:00,75.94,75.94,75.94,75.94,4.0
2023-03-08 23:00:00,74.86,74.92,74.86,74.92,3.0
2023-03-09 23:00:00,76.11,76.11,74.82,74.82,5.0
2023-03-10 23:00:00,75.01,75.01,75.01,75.01,0.0
2023-03-13 23:00:00,73.34,73.34,73.34,73.34,0.0
2023-03-14 23:00:00,72.32,72.32,69.93,69.93,11.0
2023-03-15 23:00:00,67.5,67.5,65.3,66.71,5.0
2023-03-16 23:00:00,65.97,66.03,65.66,65.69,8.0
2023-03-17 23:00:00,66.3,66.3,66.3,66.3,35.0
2023-03-20 23:00:00,65.93,65.93,65.93,65.93,1.0
2023-03-21 23:00:00,68.1,68.1,68.1,68.1,1.0
2023-03-22 23:00:00,68.45,68.45,68.45,68.45,1.0
2023-03-23 23:00:00,69.35,69.35,69.35,69.35,1.0
2023-03-24 23:00:00,68.39,68.39,68.39,68.39,0.0
2023-03-27 23:00:00,71.4,71.73,71.4,71.73,2.0
2023-03-28 23:00:00,72.62,72.62,72.26,72.26,6.0
2023-03-29 23:00:00,72.22,72.22,71.52,71.52,9.0
2023-03-30 23:00:00,71.66,71.68,71.66,71.68,6.0
2023-03-31 23:00:00,73.34,73.34,73.34,73.34,1.0
2023-04-03 23:00:00,77.88,77.88,77.88,77.88,1.0
2023-04-04 10:00:00,78.01,78.01,77.55,77.6,6.0
2023-04-04 11:00:00,77.6,77.6,77.6,77.6,0.0
2023-04-04 12:00:00,77.6,77.6,77.6,77.6,0.0
2023-04-04 13:00:00,77.6,77.6,77.6,77.6,0.0
2023-04-04 14:00:00,77.5,77.5,77.5,77.5,1.0
2023-04-04 15:00:00,77.5,77.5,77.5,77.5,0.0
2023-04-04 16:00:00,77.5,77.5,77.5,77.5,0.0
2023-04-04 23:00:00,78.01,78.01,77.5,77.5,7.0
2023-04-05 10:00:00,77.01,77.01,77.01,77.01,1.0
2023-04-05 11:00:00,77.01,77.01,77.01,77.01,0.0
2023-04-05 12:00:00,77.01,77.01,77.01,77.01,0.0
2023-04-05 13:00:00,77.01,77.01,77.01,77.01,0.0
2023-04-05 14:00:00,77.01,77.01,77.01,77.01,0.0
2023-04-05 15:00:00,77.01,77.01,77.01,77.01,0.0
2023-04-05 16:00:00,77.01,77.01,77.01,77.01,0.0
2023-04-05 23:00:00,77.01,77.01,77.01,77.01,1.0
2023-04-06 09:30:00,77.69,77.69,77.69,77.69,0.0
2023-04-06 10:00:00,77.69,77.69,77.69,77.69,0.0
2023-04-06 11:00:00,77.69,77.69,77.69,77.69,0.0
2023-04-06 12:00:00,77.11,77.11,77.11,77.11,1.0
2023-04-06 13:00:00,77.11,77.11,77.11,77.11,0.0
2023-04-06 14:00:00,77.11,77.11,77.11,77.11,0.0
2023-04-06 15:00:00,77.11,77.11,77.11,77.11,0.0
2023-04-06 16:00:00,77.11,77.11,77.11,77.11,0.0
2023-04-06 23:00:00,77.11,77.11,77.11,77.11,1.0
2023-04-10 09:30:00,77.11,77.11,77.11,77.11,0.0
2023-04-10 10:00:00,77.11,77.11,77.11,77.11,0.0
2023-04-10 11:00:00,77.11,77.11,77.11,77.11,0.0
2023-04-10 12:00:00,77.11,77.11,77.11,77.11,0.0
2023-04-10 13:00:00,77.11,77.11,77.11,77.11,0.0
2023-04-10 14:00:00,77.11,77.11,77.11,77.11,0.0
2023-04-10 15:00:00,77.11,77.11,77.11,77.11,0.0
2023-04-10 16:00:00,77.11,77.11,77.11,77.11,0.0
2023-04-10 23:00:00,76.91,76.91,76.91,76.91,0.0
2023-04-11 23:00:00,78.43,78.43,78.43,78.43,0.0
2023-04-12 09:30:00,78.98,78.98,78.98,78.98,0.0
2023-04-12 10:00:00,78.98,78.98,78.98,78.98,0.0
2023-04-12 11:00:00,78.98,78.98,78.98,78.98,0.0
2023-04-12 12:00:00,79.64,79.64,79.64,79.64,1.0
2023-04-12 13:00:00,79.64,79.64,79.64,79.64,0.0
2023-04-12 14:00:00,79.64,79.64,79.64,79.64,0.0
2023-04-12 15:00:00,79.64,79.64,79.64,79.64,1.0
2023-04-12 16:00:00,79.64,79.64,79.64,79.64,0.0
2023-04-12 23:00:00,79.64,79.64,79.64,79.64,2.0
2023-04-13 09:30:00,79.45,79.45,79.45,79.45,1.0
2023-04-13 10:00:00,79.45,79.45,79.45,79.45,0.0
2023-04-13 11:00:00,79.45,79.45,79.45,79.45,0.0
2023-04-13 12:00:00,79.45,79.45,79.45,79.45,0.0
2023-04-13 13:00:00,79.25,79.25,79.25,79.25,1.0
2023-04-13 14:00:00,79.25,79.25,79.25,79.25,0.0
2023-04-13 15:00:00,79.25,79.25,79.25,79.25,0.0
2023-04-13 16:00:00,79.25,79.25,79.25,79.25,0.0
2023-04-13 23:00:00,79.45,79.45,79.25,79.25,2.0
2023-04-14 12:00:00,79.0,79.15,79.0,79.15,3.0
2023-04-14 13:00:00,79.15,79.15,79.15,79.15,0.0
2023-04-14 14:00:00,79.15,79.15,79.15,79.15,0.0
2023-04-14 15:00:00,79.15,79.15,79.15,79.15,0.0
2023-04-14 16:00:00,79.15,79.15,79.15,79.15,0.0
2023-04-14 23:00:00,79.0,79.15,79.0,79.15,3.0
2023-04-17 09:30:00,79.3,79.3,79.3,79.3,0.0
2023-04-17 10:00:00,79.3,79.3,79.3,79.3,0.0
2023-04-17 11:00:00,78.45,78.45,78.05,78.05,3.0
2023-04-17 12:00:00,78.16,78.16,78.16,78.16,1.0
2023-04-17 13:00:00,78.16,78.16,78.16,78.16,0.0
2023-04-17 14:00:00,78.16,78.16,78.16,78.16,0.0
2023-04-17 15:00:00,78.16,78.16,78.16,78.16,0.0
2023-04-17 16:00:00,78.16,78.16,78.16,78.16,0.0
2023-04-17 23:00:00,78.45,78.45,78.05,78.16,4.0
