DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2022-04-26 23:00:00,97.16,97.17,97.08,97.1,7214.0
2022-04-27 23:00:00,97.115,97.14,97.045,97.07,6923.0
2022-04-28 23:00:00,97.02,97.035,96.95,96.98,10030.0
2022-04-29 23:00:00,96.91,96.99,96.91,96.98,8278.0
2022-05-02 23:00:00,96.895,96.9,96.835,96.855,6179.0
2022-05-03 23:00:00,96.935,96.95,96.875,96.905,6235.0
2022-05-04 23:00:00,96.885,96.985,96.86,96.975,12377.0
2022-05-05 23:00:00,96.88,96.895,96.81,96.86,9803.0
2022-05-06 23:00:00,96.81,96.875,96.78,96.815,9514.0
2022-05-09 23:00:00,96.835,96.94,96.83,96.885,8744.0
2022-05-10 23:00:00,97.005,97.025,96.97,96.975,8817.0
2022-05-11 23:00:00,96.96,97.06,96.935,97.05,9564.0
2022-05-12 23:00:00,97.105,97.13,97.07,97.13,11160.0
2022-05-13 23:00:00,97.04,97.055,97.0,97.02,3251.0
2022-05-16 23:00:00,97.075,97.14,97.07,97.135,3759.0
2022-05-17 23:00:00,97.02,97.075,96.995,97.02,8926.0
2022-05-18 23:00:00,96.995,97.11,96.99,97.085,5590.0
2022-05-19 23:00:00,97.205,97.205,97.11,97.115,6818.0
2022-05-20 23:00:00,97.105,97.19,97.105,97.18,5476.0
2022-05-23 23:00:00,97.15,97.175,97.095,97.1,5713.0
2022-05-24 23:00:00,97.175,97.265,97.175,97.225,8816.0
2022-05-25 23:00:00,97.28,97.28,97.235,97.26,6992.0
2022-05-26 23:00:00,97.265,97.275,97.2,97.245,6519.0
2022-05-27 23:00:00,97.26,97.275,97.23,97.23,2806.0
2022-05-31 23:00:00,97.165,97.175,97.13,97.16,4046.0
2022-06-01 23:00:00,97.125,97.14,97.025,97.04,12080.0
2022-06-02 23:00:00,97.09,97.095,97.055,97.08,8252.0
2022-06-03 23:00:00,97.025,97.05,97.015,97.025,4201.0
2022-06-06 23:00:00,97.005,97.015,96.915,96.915,7251.0
2022-06-07 23:00:00,96.97,97.01,96.965,96.99,6564.0
2022-06-08 23:00:00,96.955,96.98,96.935,96.955,6440.0
2022-06-09 23:00:00,96.92,96.955,96.895,96.93,6296.0
2022-06-10 23:00:00,96.865,96.88,96.795,96.8,14287.0
2022-06-13 23:00:00,96.645,96.68,96.505,96.585,23332.0
2022-06-14 23:00:00,96.665,96.685,96.465,96.485,15359.0
2022-06-15 23:00:00,96.625,96.72,96.54,96.6,12334.0
2022-06-16 23:00:00,96.595,96.845,96.58,96.73,9937.0
2022-06-17 23:00:00,96.8,96.805,96.69,96.765,6733.0
2022-06-21 23:00:00,96.72,96.755,96.715,96.735,6638.0
2022-06-22 23:00:00,96.895,96.925,96.865,96.89,8739.0
2022-06-23 23:00:00,96.995,97.065,96.97,96.995,16901.0
2022-06-24 23:00:00,96.975,97.025,96.905,96.92,11235.0
2022-06-27 23:00:00,96.84,96.915,96.815,96.84,6973.0
2022-06-28 23:00:00,96.815,96.865,96.8,96.83,6471.0
2022-06-29 23:00:00,96.865,96.97,96.865,96.96,10593.0
2022-06-30 23:00:00,97.075,97.135,97.045,97.135,10865.0
