DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2022-09-20 23:00:00,82.65,82.65,82.65,82.65,0.0
2022-09-21 23:00:00,82.25,82.25,82.25,82.25,0.0
2022-09-22 23:00:00,83.1,83.1,83.1,83.1,0.0
2022-09-23 23:00:00,80.25,80.25,80.25,80.25,0.0
2022-09-26 23:00:00,79.5,79.5,79.5,79.5,0.0
2022-09-27 23:00:00,77.65,77.65,77.65,77.65,0.0
2022-09-28 23:00:00,76.0,76.0,76.0,76.0,0.0
2022-09-29 23:00:00,74.0,74.0,74.0,74.0,0.0
2022-09-30 23:00:00,75.55,75.55,75.55,75.55,0.0
2022-10-03 23:00:00,76.35,76.35,76.35,76.35,0.0
2022-10-04 23:00:00,79.65,79.65,79.65,79.65,0.0
2022-10-05 23:00:00,77.8,77.8,77.8,77.8,0.0
2022-10-06 23:00:00,77.45,77.45,77.45,77.45,0.0
2022-10-07 23:00:00,76.95,76.95,76.95,76.95,0.0
2022-10-10 23:00:00,77.0,77.0,77.0,77.0,0.0
2022-10-11 23:00:00,75.95,75.95,75.95,75.95,0.0
2022-10-12 23:00:00,75.8,75.8,75.8,75.8,0.0
2022-10-13 23:00:00,77.9,77.9,77.9,77.9,0.0
2022-10-14 23:00:00,78.85,78.85,78.85,78.85,0.0
2022-10-17 23:00:00,80.3,80.3,80.3,80.3,0.0
2022-10-18 23:00:00,81.55,81.55,81.55,81.55,0.0
2022-10-19 23:00:00,81.55,81.55,81.55,81.55,0.0
2022-10-20 23:00:00,82.3,82.3,82.3,82.3,0.0
2022-10-21 23:00:00,82.25,82.25,82.25,82.25,0.0
2022-10-24 23:00:00,84.0,84.0,84.0,84.0,0.0
2022-10-25 23:00:00,84.3,84.3,84.3,84.3,0.0
2022-10-26 23:00:00,84.2,84.2,84.2,84.2,0.0
2022-10-27 23:00:00,84.55,84.55,84.55,84.55,0.0
2022-10-28 23:00:00,84.35,84.35,84.35,84.35,0.0
2022-10-31 23:00:00,84.8,84.8,84.8,84.8,0.0
2022-11-01 23:00:00,85.45,85.45,85.45,85.45,0.0
2022-11-02 23:00:00,85.3,85.3,85.3,85.3,0.0
2022-11-03 23:00:00,86.4,86.4,86.4,86.4,0.0
2022-11-04 23:00:00,88.6,88.6,88.6,88.6,0.0
2022-11-07 23:00:00,88.85,88.85,88.85,88.85,0.0
2022-11-08 23:00:00,88.95,88.95,88.95,88.95,0.0
2022-11-09 23:00:00,87.9,87.9,87.9,87.9,0.0
2022-11-10 23:00:00,88.05,88.05,88.05,88.05,0.0
2022-11-11 23:00:00,88.35,88.35,88.35,88.35,0.0
2022-11-14 23:00:00,88.85,88.85,88.85,88.85,0.0
2022-11-15 23:00:00,89.7,89.7,89.7,89.7,0.0
2022-11-16 23:00:00,89.65,89.65,89.65,89.65,0.0
2022-11-17 23:00:00,89.3,89.3,89.3,89.3,0.0
2022-11-18 23:00:00,90.6,90.6,90.6,90.6,0.0
2022-11-21 23:00:00,90.8,90.8,90.8,90.8,0.0
2022-11-22 23:00:00,91.85,91.85,91.85,91.85,0.0
2022-11-23 23:00:00,91.8,91.8,91.8,91.8,0.0
2022-11-24 23:00:00,92.4,92.4,92.4,92.4,0.0
2022-11-25 23:00:00,92.65,92.65,92.65,92.65,0.0
2022-11-28 23:00:00,91.4,91.4,91.4,91.4,0.0
2022-11-29 23:00:00,92.15,92.15,92.15,92.15,0.0
2022-11-30 23:00:00,92.25,92.25,92.25,92.25,0.0
2022-12-01 23:00:00,90.95,90.95,90.95,90.95,0.0
2022-12-02 23:00:00,91.0,91.0,91.0,91.0,0.0
