DATETIME,FINAL,HIGH,LOW,OPEN,VOLUME
2022-05-04 23:00:00,647.0,647.0,647.0,647.0,0.0
2022-05-05 23:00:00,638.2,638.2,638.2,638.2,0.0
2022-05-06 23:00:00,631.4,631.4,631.4,631.4,0.0
2022-05-09 23:00:00,602.6,602.6,602.6,602.6,0.0
2022-05-10 23:00:00,601.2,601.2,601.2,601.2,0.0
2022-05-11 23:00:00,623.1,623.1,623.1,623.1,0.0
2022-05-12 23:00:00,603.6,603.6,603.6,603.6,0.0
2022-05-13 23:00:00,614.1,614.1,614.1,614.1,0.0
2022-05-16 23:00:00,623.7,623.7,623.7,623.7,0.0
2022-05-17 23:00:00,647.3,647.3,647.3,647.3,0.0
2022-05-18 23:00:00,637.6,637.6,637.6,637.6,0.0
2022-05-19 23:00:00,635.2,635.2,635.2,635.2,0.0
2022-05-20 23:00:00,643.4,643.4,643.4,643.4,0.0
2022-05-23 23:00:00,657.4,657.4,657.4,657.4,0.0
2022-05-24 23:00:00,652.6,652.6,652.6,652.6,0.0
2022-05-25 23:00:00,664.3,664.3,664.3,664.3,0.0
2022-05-26 23:00:00,666.8,666.8,666.8,666.8,0.0
2022-05-27 23:00:00,677.6,677.6,677.6,677.6,0.0
2022-05-30 23:00:00,682.7,682.7,682.7,682.7,0.0
2022-05-31 23:00:00,674.9,674.9,674.9,674.9,0.0
2022-06-01 23:00:00,671.9,671.9,671.9,671.9,0.0
2022-06-02 23:00:00,688.3,688.3,688.3,688.3,0.0
2022-06-03 23:00:00,680.9,680.9,680.9,680.9,0.0
2022-06-06 23:00:00,695.0,695.0,695.0,695.0,0.0
2022-06-07 23:00:00,700.6,700.6,699.1,699.1,1.0
2022-06-08 23:00:00,688.5,690.2,681.7,690.2,13.0
2022-06-09 23:00:00,673.7,683.7,673.7,683.7,51.0
2022-06-10 23:00:00,641.1,661.3,639.5,661.0,161.0
2022-06-13 23:00:00,621.9,634.1,615.0,632.8,367.0
2022-06-14 23:00:00,610.5,621.1,608.6,618.8,505.0
2022-06-15 23:00:00,622.0,628.5,605.2,613.7,973.0
2022-06-16 23:00:00,603.8,623.2,597.6,623.2,1143.0
2022-06-17 23:00:00,583.5,606.9,582.4,602.6,2276.0
2022-06-20 23:00:00,589.1,594.3,569.6,583.4,2296.0
2022-06-21 23:00:00,596.7,604.2,592.1,592.6,1241.0
2022-06-22 23:00:00,566.2,580.4,564.3,576.4,2947.0
2022-06-23 23:00:00,551.6,567.7,549.4,558.1,2996.0
2022-06-24 23:00:00,558.2,559.6,546.3,552.8,2561.0
2022-06-27 23:00:00,567.1,579.2,561.6,568.1,1645.0
2022-06-28 23:00:00,572.3,587.1,571.5,574.6,2666.0
2022-06-29 23:00:00,565.7,576.1,562.1,563.4,3437.0
2022-06-30 23:00:00,545.8,557.0,539.8,554.6,3864.0
2022-07-01 23:00:00,529.4,542.0,520.0,534.7,2303.0
2022-07-04 23:00:00,537.5,542.9,533.0,536.9,1242.0
2022-07-05 23:00:00,508.4,539.4,507.8,538.8,5769.0
2022-07-06 23:00:00,516.6,526.0,511.0,512.4,2089.0
2022-07-07 23:00:00,547.5,551.0,525.3,528.6,4655.0
2022-07-08 23:00:00,546.1,548.5,533.0,536.8,2170.0
2022-07-11 23:00:00,534.1,540.2,525.4,526.1,2461.0
2022-07-12 23:00:00,537.6,538.8,526.3,528.4,2303.0
2022-07-13 23:00:00,533.3,543.6,524.6,534.6,1776.0
2022-07-14 23:00:00,513.6,532.3,509.0,529.7,2260.0
2022-07-15 23:00:00,519.2,519.3,506.8,506.8,2483.0
2022-07-18 23:00:00,533.4,537.1,528.7,530.0,1704.0
2022-07-19 23:00:00,537.6,539.0,526.9,529.0,1709.0
2022-07-20 23:00:00,539.1,544.1,533.7,541.0,1369.0
2022-07-21 23:00:00,535.1,538.9,528.2,534.8,731.0
2022-07-22 23:00:00,540.4,543.8,532.8,537.5,1174.0
2022-07-25 23:00:00,547.2,551.2,534.3,535.2,1422.0
2022-07-26 23:00:00,548.7,556.5,547.1,553.6,1562.0
2022-07-27 23:00:00,552.0,552.3,540.4,541.4,1293.0
2022-07-28 23:00:00,562.9,572.1,557.9,558.2,2425.0
2022-07-29 23:00:00,576.5,578.9,564.4,565.0,2452.0
2022-08-01 23:00:00,571.0,582.5,568.6,581.6,1009.0
2022-08-02 23:00:00,563.0,567.0,556.9,566.6,2566.0
2022-08-03 23:00:00,561.7,565.8,560.2,563.1,1002.0
2022-08-04 23:00:00,567.2,572.3,555.6,563.9,1956.0
2022-08-05 23:00:00,574.3,579.4,564.1,571.1,708.0
2022-08-08 23:00:00,579.3,586.6,574.8,578.8,1416.0
2022-08-09 23:00:00,576.4,578.1,572.6,577.2,800.0
2022-08-10 23:00:00,587.3,587.7,573.9,574.4,971.0
2022-08-11 23:00:00,590.7,593.9,574.8,588.8,1164.0
2022-08-12 23:00:00,588.3,596.5,582.7,593.1,2242.0
2022-08-15 23:00:00,578.3,587.6,574.6,586.7,1469.0
2022-08-16 23:00:00,598.8,600.0,584.1,586.1,2303.0
2022-08-17 23:00:00,591.0,600.5,587.3,600.2,849.0
2022-08-18 23:00:00,599.5,600.4,588.1,589.3,1420.0
2022-08-19 23:00:00,589.2,597.8,588.6,595.4,1230.0
2022-08-22 23:00:00,592.2,592.3,578.2,589.6,1786.0
2022-08-23 23:00:00,605.4,606.8,590.6,590.6,1571.0
2022-08-24 23:00:00,596.2,604.9,595.6,602.8,987.0
2022-08-25 23:00:00,596.2,603.6,596.2,601.1,361.0
2022-08-26 23:00:00,597.8,611.5,596.8,608.9,1283.0
2022-08-29 23:00:00,595.2,595.6,583.1,586.5,673.0
2022-08-30 23:00:00,576.3,592.8,575.1,587.8,2344.0
2022-08-31 23:00:00,570.9,583.9,568.7,581.8,1191.0
2022-09-01 23:00:00,550.6,563.4,547.8,561.5,3909.0
2022-09-02 23:00:00,562.3,563.3,545.7,552.1,1291.0
2022-09-05 23:00:00,564.9,569.1,557.3,567.3,1143.0
2022-09-06 23:00:00,568.7,572.7,563.5,565.3,1185.0
2022-09-07 23:00:00,557.1,562.0,552.1,559.9,5002.0
2022-09-08 23:00:00,564.1,568.2,558.5,563.4,862.0
2022-09-09 23:00:00,583.0,594.3,577.5,577.6,2319.0
2022-09-12 23:00:00,596.6,600.0,587.9,588.4,1341.0
2022-09-13 23:00:00,588.5,604.0,587.0,598.8,1878.0
2022-09-14 23:00:00,575.4,586.0,573.1,583.8,1928.0
2022-09-15 23:00:00,572.9,581.4,569.7,575.0,960.0
2022-09-16 23:00:00,561.25,561.8,556.2,558.9,1156.0
