DATETIME,FINAL,HIGH,LOW,OPEN,VOLUME
2022-05-04 23:00:00,305.3,305.3,305.3,305.3,0.0
2022-05-05 23:00:00,306.1,306.1,306.1,306.1,0.0
2022-05-06 23:00:00,313.1,313.1,313.1,313.1,0.0
2022-05-09 23:00:00,294.4,294.4,294.4,294.4,0.0
2022-05-10 23:00:00,295.9,295.9,295.9,295.9,0.0
2022-05-11 23:00:00,304.5,304.5,304.5,304.5,0.0
2022-05-12 23:00:00,301.2,301.2,301.2,301.2,0.0
2022-05-13 23:00:00,309.7,309.7,309.7,309.7,0.0
2022-05-16 23:00:00,312.5,312.5,312.5,312.5,0.0
2022-05-17 23:00:00,317.1,317.1,317.1,317.1,0.0
2022-05-18 23:00:00,317.3,317.3,317.3,317.3,0.0
2022-05-19 23:00:00,313.8,313.8,313.8,313.8,0.0
2022-05-20 23:00:00,314.3,314.3,314.3,314.3,0.0
2022-05-23 23:00:00,322.4,322.4,322.4,322.4,0.0
2022-05-24 23:00:00,320.9,320.9,320.9,320.9,0.0
2022-05-25 23:00:00,330.0,330.0,330.0,330.0,0.0
2022-05-26 23:00:00,335.1,335.1,335.1,335.1,0.0
2022-05-27 23:00:00,334.0,334.0,334.0,334.0,0.0
2022-05-30 23:00:00,335.3,335.3,335.3,335.3,0.0
2022-05-31 23:00:00,334.2,334.2,334.2,334.2,0.0
2022-06-01 23:00:00,330.2,330.2,330.2,330.2,0.0
2022-06-02 23:00:00,331.2,331.2,331.2,331.2,0.0
2022-06-03 23:00:00,333.4,333.4,333.4,333.4,0.0
2022-06-06 23:00:00,339.6,339.6,339.6,339.6,0.0
2022-06-07 23:00:00,340.6,340.6,340.6,340.6,0.0
2022-06-08 23:00:00,344.4,344.4,344.4,344.4,0.0
2022-06-09 23:00:00,338.2,338.2,338.2,338.2,0.0
2022-06-10 23:00:00,329.2,329.2,329.2,329.2,0.0
2022-06-13 23:00:00,321.8,321.8,321.8,321.8,0.0
2022-06-14 23:00:00,324.6,324.6,324.6,324.6,0.0
2022-06-15 23:00:00,322.8,322.8,322.8,322.8,0.0
2022-06-16 23:00:00,311.7,311.7,311.7,311.7,0.0
2022-06-17 23:00:00,312.1,312.1,312.1,312.1,0.0
2022-06-20 23:00:00,304.1,304.1,304.1,304.1,0.0
2022-06-21 23:00:00,308.7,308.7,308.7,308.7,0.0
2022-06-22 23:00:00,299.9,299.9,299.9,299.9,0.0
2022-06-23 23:00:00,295.0,295.0,295.0,295.0,0.0
2022-06-24 23:00:00,302.1,302.1,302.1,302.1,0.0
2022-06-27 23:00:00,305.2,305.2,305.2,305.2,0.0
2022-06-28 23:00:00,308.2,308.2,308.2,308.2,0.0
2022-06-29 23:00:00,307.7,307.7,307.7,307.7,0.0
2022-06-30 23:00:00,302.9,302.9,302.9,302.9,0.0
2022-07-01 23:00:00,300.2,300.2,300.2,300.2,0.0
2022-07-04 23:00:00,310.5,310.5,310.5,310.5,0.0
2022-07-05 23:00:00,293.2,293.2,293.2,293.2,0.0
2022-07-06 23:00:00,287.5,287.5,287.5,287.5,0.0
2022-07-07 23:00:00,297.5,297.5,297.5,297.5,0.0
2022-07-08 23:00:00,298.2,298.2,298.2,298.2,0.0
2022-07-11 23:00:00,295.1,295.1,295.1,295.1,0.0
2022-07-12 23:00:00,291.5,291.5,291.5,291.5,0.0
2022-07-13 23:00:00,291.3,291.3,291.3,291.3,0.0
2022-07-14 23:00:00,279.8,279.8,279.8,279.8,0.0
2022-07-15 23:00:00,286.8,286.8,286.8,286.8,0.0
2022-07-18 23:00:00,292.7,292.7,292.7,292.7,0.0
2022-07-19 23:00:00,296.5,296.5,296.5,296.5,0.0
2022-07-20 23:00:00,296.0,296.0,296.0,296.0,0.0
2022-07-21 23:00:00,289.4,289.4,289.4,289.4,0.0
2022-07-22 23:00:00,293.1,293.1,293.1,293.1,0.0
2022-07-25 23:00:00,296.0,296.0,296.0,296.0,0.0
2022-07-26 23:00:00,296.3,296.3,296.3,296.3,0.0
2022-07-27 23:00:00,299.7,299.7,299.7,299.7,0.0
2022-07-28 23:00:00,294.9,294.9,294.9,294.9,0.0
2022-07-29 23:00:00,303.7,303.7,303.7,303.7,0.0
2022-08-01 23:00:00,300.9,300.9,300.9,300.9,0.0
2022-08-02 23:00:00,296.9,296.9,296.9,296.9,0.0
2022-08-03 23:00:00,298.2,298.2,298.2,298.2,0.0
2022-08-04 23:00:00,296.9,296.9,296.9,296.9,0.0
2022-08-05 23:00:00,298.2,298.2,298.2,298.2,0.0
2022-08-08 23:00:00,302.0,302.0,302.0,302.0,0.0
2022-08-09 23:00:00,306.6,306.6,306.6,306.6,0.0
2022-08-10 23:00:00,305.6,305.6,305.6,305.6,0.0
2022-08-11 23:00:00,311.8,311.8,311.8,311.8,0.0
2022-08-12 23:00:00,312.5,312.5,312.5,312.5,0.0
2022-08-15 23:00:00,307.0,307.0,307.0,307.0,0.0
2022-08-16 23:00:00,311.4,311.4,311.4,311.4,0.0
2022-08-17 23:00:00,310.4,310.4,310.4,310.4,0.0
2022-08-18 23:00:00,317.0,317.0,317.0,317.0,0.0
2022-08-19 23:00:00,315.5,315.5,315.5,315.5,0.0
2022-08-22 23:00:00,316.9,316.9,316.9,316.9,0.0
2022-08-23 23:00:00,326.9,326.9,326.9,326.9,0.0
2022-08-24 23:00:00,323.3,323.3,323.3,323.3,0.0
2022-08-25 23:00:00,325.9,328.6,325.9,328.6,2.0
2022-08-26 23:00:00,323.5,323.5,323.5,323.5,0.0
2022-08-29 23:00:00,326.6,326.6,326.6,326.6,0.0
2022-08-30 23:00:00,317.1,317.1,317.1,317.1,0.0
2022-08-31 23:00:00,308.0,308.0,308.0,308.0,0.0
2022-09-01 23:00:00,303.1,303.1,303.1,303.1,0.0
2022-09-02 23:00:00,313.3,313.3,313.3,313.3,0.0
2022-09-05 23:00:00,317.9,317.9,317.9,317.9,0.0
2022-09-06 23:00:00,310.9,310.9,310.9,310.9,0.0
2022-09-07 23:00:00,301.4,301.4,301.4,301.4,0.0
2022-09-08 23:00:00,298.8,298.8,298.8,298.8,0.0
2022-09-09 23:00:00,304.0,304.0,304.0,304.0,0.0
2022-09-12 23:00:00,307.9,307.9,306.1,306.1,20.0
2022-09-13 23:00:00,302.3,307.5,300.8,307.2,231.0
2022-09-14 23:00:00,306.1,309.5,301.8,301.9,257.0
2022-09-15 23:00:00,299.8,307.5,299.0,307.4,267.0
2022-09-16 23:00:00,296.1,300.6,293.6,298.9,588.0
2022-09-19 23:00:00,295.6,295.9,291.6,291.6,77.0
2022-09-20 23:00:00,291.3,296.1,290.5,296.1,166.0
2022-09-21 23:00:00,295.5,298.0,293.6,293.6,529.0
2022-09-22 23:00:00,295.3,295.6,294.7,294.7,83.0
2022-09-23 23:00:00,281.2,287.9,279.7,287.9,393.0
2022-09-26 23:00:00,282.2,285.0,278.9,280.1,592.0
2022-09-27 23:00:00,286.9,289.3,283.0,284.1,214.0
2022-09-28 23:00:00,285.1,287.3,280.4,280.4,574.0
2022-09-29 23:00:00,283.9,285.9,281.0,285.4,205.0
2022-09-30 23:00:00,288.9,290.6,286.7,290.6,210.0
2022-10-03 23:00:00,296.6,297.9,293.0,293.0,236.0
2022-10-04 23:00:00,305.3,306.4,300.2,300.2,275.0
2022-10-05 23:00:00,307.6,308.3,301.4,301.4,150.0
2022-10-06 23:00:00,306.2,307.7,303.5,307.4,193.0
2022-10-07 23:00:00,309.2,310.5,306.8,306.8,104.0
2022-10-10 23:00:00,304.9,306.0,303.3,303.3,215.0
2022-10-11 23:00:00,298.5,300.1,295.7,299.7,270.0
2022-10-12 23:00:00,294.8,299.8,294.1,298.1,65.0
2022-10-13 23:00:00,302.1,304.3,294.6,300.7,170.0
2022-10-14 23:00:00,306.0,309.3,304.2,307.0,248.0
2022-10-17 23:00:00,310.4,311.2,308.4,309.4,232.0
2022-10-18 23:00:00,307.4,312.2,307.4,310.6,100.0
2022-10-19 23:00:00,309.9,310.0,309.4,310.0,36.0
2022-10-20 23:00:00,312.2,315.9,312.2,313.7,166.0
2022-10-21 23:00:00,312.4,312.4,310.5,310.5,15.0
2022-10-24 23:00:00,317.6,317.7,309.0,309.0,47.0
2022-10-25 23:00:00,315.4,316.0,314.8,314.8,42.0
2022-10-26 23:00:00,316.4,316.9,316.3,316.3,6.0
2022-10-27 23:00:00,323.7,323.8,317.5,317.5,412.0
2022-10-28 23:00:00,323.7,327.1,323.5,323.5,144.0
2022-10-31 23:00:00,326.7,328.7,319.2,319.5,421.0
2022-11-01 23:00:00,332.3,333.2,331.0,332.0,297.0
2022-11-02 23:00:00,332.1,335.7,331.8,335.7,311.0
2022-11-03 23:00:00,334.7,335.1,329.7,329.7,44.0
2022-11-04 23:00:00,341.5,342.8,338.0,338.0,335.0
2022-11-07 23:00:00,344.5,344.8,342.2,344.1,57.0
2022-11-08 23:00:00,340.2,341.7,340.0,341.0,113.0
2022-11-09 23:00:00,337.4,340.3,336.7,340.3,31.0
2022-11-10 23:00:00,337.2,339.1,334.3,336.3,76.0
2022-11-11 23:00:00,339.6,341.7,339.6,340.1,125.0
2022-11-14 23:00:00,340.8,342.0,340.8,342.0,76.0
2022-11-15 23:00:00,344.2,344.4,340.5,341.6,188.0
2022-11-16 23:00:00,345.9,350.8,345.8,350.3,147.0
2022-11-17 23:00:00,339.6,345.7,339.3,345.7,427.0
2022-11-18 23:00:00,339.9,347.4,338.0,346.7,301.0
2022-11-21 23:00:00,332.4,342.2,331.7,339.9,387.0
2022-11-22 23:00:00,345.1,345.3,339.7,340.3,281.0
2022-11-23 23:00:00,344.9,350.2,343.6,349.9,493.0
2022-11-24 23:00:00,347.3,347.4,345.2,346.8,295.0
2022-11-25 23:00:00,350.1,350.9,348.0,348.0,280.0
2022-11-28 23:00:00,344.9,345.4,341.6,343.8,149.0
2022-11-29 23:00:00,349.9,352.2,347.5,347.5,91.0
2022-11-30 23:00:00,357.2,357.5,354.5,354.8,87.0
2022-12-01 23:00:00,352.4,355.6,352.1,355.2,194.0
2022-12-02 23:00:00,350.3,351.6,347.2,347.2,139.0
2022-12-05 23:00:00,349.5,352.5,349.5,351.2,43.0
2022-12-06 23:00:00,347.0,347.6,345.2,346.2,145.0
2022-12-07 23:00:00,341.1,344.3,341.1,343.3,181.0
2022-12-08 23:00:00,341.9,346.3,341.6,342.7,111.0
2022-12-09 23:00:00,340.2,340.5,338.1,338.1,127.0
2022-12-12 23:00:00,341.7,342.1,338.5,338.5,144.0
2022-12-13 23:00:00,347.8,349.6,345.0,345.0,151.0
2022-12-14 23:00:00,346.3,349.5,345.1,349.2,86.0
2022-12-15 23:00:00,338.8,343.9,338.3,341.4,12.0
2022-12-16 23:00:00,336.25,339.3,336.25,339.3,8.0
