DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2022-09-20 23:00:00,669.9,669.9,669.9,669.9,0.0
2022-09-21 23:00:00,680.3,680.3,680.3,680.3,0.0
2022-09-22 23:00:00,651.0,651.0,651.0,651.0,0.0
2022-09-23 23:00:00,638.9,638.9,638.9,638.9,0.0
2022-09-26 23:00:00,646.4,646.4,646.4,646.4,0.0
2022-09-27 23:00:00,648.5,648.5,648.5,648.5,0.0
2022-09-28 23:00:00,650.0,650.0,650.0,650.0,0.0
2022-09-29 23:00:00,628.5,628.5,628.5,628.5,0.0
2022-09-30 23:00:00,640.7,640.7,640.7,640.7,0.0
2022-10-03 23:00:00,646.7,646.7,646.7,646.7,0.0
2022-10-04 23:00:00,680.9,680.9,680.9,680.9,0.0
2022-10-05 23:00:00,678.0,678.0,678.0,678.0,0.0
2022-10-06 23:00:00,689.7,689.7,689.7,689.7,0.0
2022-10-07 23:00:00,657.9,657.9,657.9,657.9,0.0
2022-10-10 23:00:00,645.3,645.3,645.3,645.3,0.0
2022-10-11 23:00:00,630.4,630.4,630.4,630.4,0.0
2022-10-12 23:00:00,626.3,626.3,626.3,626.3,0.0
2022-10-13 23:00:00,625.8,625.8,625.8,625.8,0.0
2022-10-14 23:00:00,622.2,622.2,622.2,622.2,0.0
2022-10-17 23:00:00,631.8,631.8,631.8,631.8,0.0
2022-10-18 23:00:00,638.7,638.7,638.7,638.7,0.0
2022-10-19 23:00:00,649.6,649.6,649.6,649.6,0.0
2022-10-20 23:00:00,664.9,664.9,664.9,664.9,0.0
2022-10-21 23:00:00,666.2,666.2,666.2,666.2,0.0
2022-10-24 23:00:00,672.4,672.4,672.4,672.4,0.0
2022-10-25 23:00:00,699.2,699.2,699.2,699.2,0.0
2022-10-26 23:00:00,697.4,697.4,697.4,697.4,0.0
2022-10-27 23:00:00,685.1,685.1,685.1,685.1,0.0
2022-10-28 23:00:00,680.3,680.3,680.3,680.3,0.0
2022-10-31 23:00:00,679.3,679.3,679.3,679.3,0.0
2022-11-01 23:00:00,685.2,685.2,685.2,685.2,0.0
2022-11-02 23:00:00,675.7,675.7,675.7,675.7,0.0
2022-11-03 23:00:00,660.4,660.4,660.4,660.4,0.0
2022-11-04 23:00:00,677.1,677.1,677.1,677.1,0.0
2022-11-07 23:00:00,688.3,688.3,688.3,688.3,0.0
2022-11-08 23:00:00,709.1,709.1,709.1,709.1,0.0
2022-11-09 23:00:00,702.3,702.3,702.3,702.3,0.0
2022-11-10 23:00:00,757.4,757.4,757.4,757.4,0.0
2022-11-11 23:00:00,769.9,769.9,769.9,769.9,0.0
2022-11-14 23:00:00,778.9,778.9,778.9,778.9,0.0
2022-11-15 23:00:00,794.4,794.4,794.4,794.4,0.0
2022-11-16 23:00:00,780.1,780.1,780.1,780.1,0.0
2022-11-17 23:00:00,785.3,785.3,785.3,785.3,0.0
2022-11-18 23:00:00,785.0,785.0,785.0,785.0,0.0
2022-11-21 23:00:00,778.9,778.9,778.9,778.9,0.0
2022-11-22 23:00:00,780.0,780.0,780.0,780.0,0.0
2022-11-23 23:00:00,790.9,790.9,790.9,790.9,0.0
2022-11-24 23:00:00,788.4,788.4,788.4,788.4,0.0
2022-11-25 23:00:00,784.8,784.8,784.8,784.8,0.0
2022-11-28 23:00:00,777.9,777.9,777.9,777.9,0.0
2022-11-29 23:00:00,767.4,767.4,767.4,767.4,0.0
2022-11-30 23:00:00,776.5,776.5,776.5,776.5,0.0
2022-12-01 23:00:00,797.1,797.1,797.1,797.1,0.0
2022-12-02 23:00:00,794.3,794.3,794.3,794.3,0.0
2022-12-05 23:00:00,791.8,791.8,791.8,791.8,0.0
2022-12-06 23:00:00,777.0,777.0,777.0,777.0,0.0
2022-12-07 23:00:00,774.4,774.4,774.4,774.4,0.0
2022-12-08 23:00:00,780.6,780.6,780.6,780.6,0.0
2022-12-09 23:00:00,786.9,786.9,786.9,786.9,0.0
2022-12-12 23:00:00,781.8,781.8,781.8,781.8,0.0
2022-12-13 23:00:00,805.4,805.4,805.4,805.4,0.0
2022-12-14 23:00:00,801.0,801.0,801.0,801.0,0.0
2022-12-15 23:00:00,760.8,760.8,760.8,760.8,0.0
2022-12-16 23:00:00,748.8,748.8,748.8,748.8,0.0
2022-12-19 23:00:00,745.8,745.8,745.8,745.8,0.0
2022-12-20 23:00:00,736.2,736.2,736.2,736.2,0.0
2022-12-21 23:00:00,751.8,751.8,751.8,751.8,0.0
2022-12-22 23:00:00,730.2,730.2,730.2,730.2,0.0
2022-12-23 23:00:00,726.4,726.4,726.4,726.4,0.0
2022-12-27 23:00:00,722.3,722.3,722.3,722.3,0.0
2022-12-28 23:00:00,715.4,715.4,715.4,715.4,0.0
2022-12-29 23:00:00,731.1,731.1,731.1,731.1,0.0
2022-12-30 23:00:00,715.4,715.4,715.4,715.4,0.0
2023-01-02 23:00:00,728.8,728.8,728.8,728.8,0.0
2023-01-03 23:00:00,740.1,740.1,740.1,740.1,0.0
2023-01-04 23:00:00,758.2,758.2,758.2,758.2,0.0
2023-01-05 23:00:00,762.1,762.1,762.1,762.1,0.0
2023-01-06 23:00:00,776.0,776.0,776.0,776.0,0.0
2023-01-09 23:00:00,808.4,808.4,808.4,808.4,0.0
2023-01-10 23:00:00,802.7,802.7,802.7,802.7,0.0
2023-01-11 23:00:00,813.0,813.0,813.0,813.0,0.0
2023-01-12 23:00:00,820.9,820.9,820.9,820.9,0.0
2023-01-13 23:00:00,828.5,828.5,828.5,828.5,0.0
2023-01-16 23:00:00,830.3,830.3,830.3,830.3,0.0
2023-01-17 23:00:00,830.9,830.9,830.9,830.9,0.0
2023-01-18 23:00:00,840.9,840.9,840.9,840.9,0.0
2023-01-19 23:00:00,816.8,816.8,816.8,816.8,0.0
2023-01-20 23:00:00,817.5,817.5,817.5,817.5,0.0
2023-01-23 23:00:00,837.5,837.5,837.5,837.5,0.0
2023-01-24 23:00:00,837.5,837.5,837.5,837.5,0.0
2023-01-25 23:00:00,835.4,835.4,835.4,835.4,0.0
2023-01-26 23:00:00,842.3,842.3,842.3,842.3,0.0
2023-01-27 23:00:00,845.7,845.7,845.7,845.7,0.0
2023-01-30 23:00:00,830.9,830.9,830.9,830.9,0.0
2023-01-31 23:00:00,833.0,833.0,833.0,833.0,0.0
2023-02-01 23:00:00,838.8,838.8,838.8,838.8,0.0
2023-02-02 23:00:00,875.5,875.5,875.5,875.5,0.0
2023-02-03 23:00:00,881.4,881.4,881.4,881.4,0.0
2023-02-06 23:00:00,867.2,867.2,867.2,867.2,0.0
2023-02-07 23:00:00,864.2,864.2,864.2,864.2,0.0
2023-02-08 23:00:00,861.2,861.2,861.2,861.2,0.0
2023-02-09 23:00:00,870.0,870.0,870.0,870.0,0.0
2023-02-10 23:00:00,850.8,850.8,850.8,850.8,0.0
2023-02-13 23:00:00,861.4,861.4,861.4,861.4,0.0
2023-02-14 23:00:00,864.2,864.2,864.2,864.2,0.0
2023-02-15 23:00:00,869.1,869.1,869.1,869.1,0.0
2023-02-16 23:00:00,867.2,867.2,867.2,867.2,0.0
2023-02-17 23:00:00,852.9,852.9,852.9,852.9,0.0
2023-02-20 23:00:00,846.6,846.6,846.6,846.6,0.0
2023-02-21 23:00:00,833.3,833.3,833.3,833.3,0.0
2023-02-22 23:00:00,830.4,830.4,830.4,830.4,0.0
2023-02-23 23:00:00,834.3,834.3,834.3,834.3,0.0
2023-02-24 23:00:00,823.3,823.3,823.3,823.3,0.0
2023-02-27 23:00:00,831.6,831.6,831.6,831.6,0.0
2023-02-28 23:00:00,826.8,826.8,826.8,826.8,0.0
2023-03-01 23:00:00,822.0,822.0,822.0,822.0,0.0
2023-03-02 23:00:00,820.3,820.3,820.3,820.3,0.0
2023-03-03 23:00:00,837.4,837.4,837.4,837.4,0.0
2023-03-06 23:00:00,840.6,840.6,840.6,840.6,0.0
2023-03-07 23:00:00,826.6,826.6,826.6,826.6,0.0
2023-03-08 23:00:00,835.8,835.8,835.8,835.8,0.0
2023-03-09 23:00:00,836.8,836.8,836.8,836.8,0.0
2023-03-10 23:00:00,822.8,822.8,822.8,822.8,0.0
2023-03-13 23:00:00,805.0,805.0,805.0,805.0,0.0
2023-03-14 23:00:00,821.7,821.7,821.4,821.4,50.0
2023-03-15 23:00:00,819.5,819.5,794.0,802.5,76.0
2023-03-16 23:00:00,815.0,828.0,802.6,827.9,230.0
2023-03-17 23:00:00,830.8,836.6,825.7,828.6,54.0
2023-03-20 23:00:00,831.6,835.0,831.0,835.0,19.0
2023-03-21 23:00:00,843.5,844.3,834.0,836.9,23.0
2023-03-22 23:00:00,835.5,844.0,834.7,841.5,59.0
2023-03-23 23:00:00,858.5,861.5,858.5,860.3,66.0
2023-03-24 23:00:00,848.3,848.3,836.5,838.5,106.0
2023-03-27 23:00:00,844.8,844.8,841.3,841.4,58.0
2023-03-28 23:00:00,827.3,830.1,827.3,830.1,40.0
2023-03-29 23:00:00,847.5,850.5,846.6,850.5,52.0
2023-03-30 23:00:00,866.6,872.9,866.6,872.3,192.0
2023-03-31 23:00:00,876.6,878.1,876.6,878.1,51.0
2023-04-03 23:00:00,870.2,871.7,866.4,866.7,135.0
2023-04-04 11:00:00,867.0,867.6,867.0,867.5,46.0
2023-04-04 12:00:00,867.5,867.5,867.5,867.5,0.0
2023-04-04 13:00:00,867.5,867.5,867.5,867.5,0.0
2023-04-04 14:00:00,867.5,867.5,867.5,867.5,0.0
2023-04-04 15:00:00,867.5,867.5,867.5,867.5,0.0
2023-04-04 16:00:00,867.5,867.5,867.5,867.5,0.0
2023-04-04 23:00:00,867.0,867.8,867.0,867.8,46.0
2023-04-05 09:00:00,856.7,856.7,856.7,856.7,7.0
2023-04-05 10:00:00,851.8,851.8,850.9,851.8,49.0
2023-04-05 11:00:00,851.8,851.8,851.8,851.8,0.0
2023-04-05 12:00:00,851.8,851.8,851.8,851.8,0.0
2023-04-05 13:00:00,851.8,851.8,851.8,851.8,0.0
2023-04-05 14:00:00,851.8,851.8,851.8,851.8,0.0
2023-04-05 15:00:00,851.8,851.8,851.8,851.8,0.0
2023-04-05 16:00:00,851.8,851.8,851.8,851.8,0.0
2023-04-05 23:00:00,856.7,856.7,850.9,852.3,56.0
2023-04-06 03:00:00,851.5,851.5,851.5,851.5,11.0
2023-04-06 04:00:00,851.5,851.5,851.5,851.5,0.0
2023-04-06 05:00:00,851.5,851.5,851.5,851.5,0.0
2023-04-06 06:00:00,851.5,851.5,851.5,851.5,0.0
2023-04-06 07:00:00,851.5,851.5,851.5,851.5,0.0
2023-04-06 08:00:00,851.5,851.5,851.5,851.5,0.0
2023-04-06 09:00:00,851.5,851.5,851.5,851.5,0.0
2023-04-06 10:00:00,853.1,853.1,853.1,853.1,2.0
2023-04-06 11:00:00,854.3,854.6,854.3,854.6,3.0
2023-04-06 12:00:00,854.6,854.6,854.6,854.6,0.0
2023-04-06 13:00:00,854.6,854.6,854.6,854.6,0.0
2023-04-06 14:00:00,854.6,854.6,854.6,854.6,0.0
2023-04-06 15:00:00,854.6,854.6,854.6,854.6,0.0
2023-04-06 16:00:00,854.6,854.6,854.6,854.6,0.0
2023-04-06 23:00:00,851.5,855.3,851.5,855.3,16.0
2023-04-11 07:00:00,857.8,857.8,857.8,857.8,8.0
2023-04-11 08:00:00,857.7,857.7,857.5,857.5,21.0
2023-04-11 09:00:00,859.9,859.9,859.9,859.9,8.0
2023-04-11 10:00:00,856.3,856.3,856.3,856.3,4.0
2023-04-11 11:00:00,856.5,856.5,856.5,856.5,3.0
2023-04-11 12:00:00,856.5,856.5,856.5,856.5,0.0
2023-04-11 13:00:00,856.5,856.5,856.5,856.5,0.0
2023-04-11 14:00:00,856.5,856.5,856.5,856.5,0.0
2023-04-11 15:00:00,856.5,856.5,856.5,856.5,0.0
2023-04-11 16:00:00,856.5,856.5,856.5,856.5,0.0
2023-04-11 23:00:00,857.8,859.9,856.3,856.9,44.0
