DATETIME,FINAL,HIGH,LOW,OPEN,VOLUME
2022-12-20 23:00:00,466.5,466.5,466.5,466.5,0.0
2022-12-21 23:00:00,474.9,474.9,474.9,474.9,0.0
2022-12-22 23:00:00,470.1,470.1,470.1,470.1,0.0
2022-12-23 23:00:00,471.9,471.9,471.9,471.9,0.0
2022-12-27 23:00:00,472.7,472.7,472.7,472.7,0.0
2022-12-28 23:00:00,472.0,472.0,472.0,472.0,0.0
2022-12-29 23:00:00,475.0,475.0,475.0,475.0,0.0
2022-12-30 23:00:00,469.6,469.6,469.6,469.6,0.0
2023-01-02 23:00:00,476.2,476.2,476.2,476.2,0.0
2023-01-03 23:00:00,480.3,480.3,480.3,480.3,0.0
2023-01-04 23:00:00,487.1,487.1,487.1,487.1,0.0
2023-01-05 23:00:00,487.9,487.9,487.9,487.9,0.0
2023-01-06 23:00:00,494.2,494.2,494.2,494.2,0.0
2023-01-09 23:00:00,499.4,499.4,499.4,499.4,0.0
2023-01-10 23:00:00,496.5,496.5,496.5,496.5,0.0
2023-01-11 23:00:00,499.3,499.3,499.3,499.3,0.0
2023-01-12 23:00:00,503.7,503.7,503.7,503.7,0.0
2023-01-13 23:00:00,504.6,504.6,504.6,504.6,0.0
2023-01-16 23:00:00,507.9,507.9,507.9,507.9,0.0
2023-01-17 23:00:00,508.8,508.8,508.8,508.8,0.0
2023-01-18 23:00:00,511.5,511.5,511.5,511.5,0.0
2023-01-19 23:00:00,503.7,503.7,503.7,503.7,0.0
2023-01-20 23:00:00,506.4,506.4,506.4,506.4,0.0
2023-01-23 23:00:00,509.8,509.8,509.8,509.8,0.0
2023-01-24 23:00:00,509.7,509.7,509.7,509.7,0.0
2023-01-25 23:00:00,507.1,507.1,507.1,507.1,0.0
2023-01-26 23:00:00,511.2,511.2,511.2,511.2,0.0
2023-01-27 23:00:00,514.7,514.7,514.7,514.7,0.0
2023-01-30 23:00:00,513.4,513.4,513.4,513.4,0.0
2023-01-31 23:00:00,510.3,510.3,510.3,510.3,0.0
2023-02-01 23:00:00,511.0,511.0,511.0,511.0,0.0
2023-02-02 23:00:00,524.7,524.7,524.7,524.7,0.0
2023-02-03 23:00:00,521.9,521.9,521.9,521.9,0.0
2023-02-06 23:00:00,516.8,516.8,516.8,516.8,0.0
2023-02-07 23:00:00,516.2,516.2,516.2,516.2,0.0
2023-02-08 23:00:00,517.7,517.7,517.7,517.7,0.0
2023-02-09 23:00:00,520.1,520.1,520.1,520.1,0.0
2023-02-10 23:00:00,510.6,510.6,510.6,510.6,0.0
2023-02-13 23:00:00,514.4,514.4,514.4,514.4,0.0
2023-02-14 23:00:00,515.1,515.1,515.1,515.1,0.0
2023-02-15 23:00:00,518.2,518.2,518.2,518.2,0.0
2023-02-16 23:00:00,519.9,519.9,519.9,519.9,0.0
2023-02-17 23:00:00,518.1,518.1,518.1,518.1,0.0
2023-02-20 23:00:00,518.4,518.4,518.4,518.4,0.0
2023-02-21 23:00:00,515.7,515.7,515.7,515.7,0.0
2023-02-22 23:00:00,512.1,512.1,512.1,512.1,0.0
2023-02-23 23:00:00,513.7,513.7,513.7,513.7,0.0
2023-02-24 23:00:00,510.9,510.9,510.9,510.9,0.0
2023-02-27 23:00:00,516.5,516.5,516.5,516.5,0.0
2023-02-28 23:00:00,518.3,518.3,518.3,518.3,0.0
2023-03-01 23:00:00,513.3,513.3,513.3,513.3,0.0
2023-03-02 23:00:00,514.3,514.3,514.3,514.3,0.0
2023-03-03 23:00:00,520.4,520.4,520.4,520.4,0.0
2023-03-06 23:00:00,521.0,521.0,521.0,521.0,0.0
2023-03-07 23:00:00,516.0,516.0,516.0,516.0,0.0
2023-03-08 23:00:00,517.5,517.5,517.5,517.5,0.0
