DATETIME,FINAL,HIGH,LOW,OPEN,VOLUME
2022-05-04 23:00:00,207.5,207.5,207.5,207.5,0.0
2022-05-05 23:00:00,199.8,199.8,199.8,199.8,0.0
2022-05-06 23:00:00,197.2,197.2,197.2,197.2,0.0
2022-05-09 23:00:00,185.7,185.7,185.7,185.7,0.0
2022-05-10 23:00:00,185.4,185.4,185.4,185.4,0.0
2022-05-11 23:00:00,190.7,190.7,190.7,190.7,0.0
2022-05-12 23:00:00,190.3,190.3,190.3,190.3,0.0
2022-05-13 23:00:00,199.4,199.4,199.4,199.4,0.0
2022-05-16 23:00:00,197.9,197.9,197.9,197.9,0.0
2022-05-17 23:00:00,199.1,199.1,199.1,199.1,0.0
2022-05-18 23:00:00,198.2,198.2,198.2,198.2,0.0
2022-05-19 23:00:00,195.6,195.6,195.6,195.6,0.0
2022-05-20 23:00:00,199.7,199.7,199.7,199.7,0.0
2022-05-23 23:00:00,200.4,200.4,200.4,200.4,0.0
2022-05-24 23:00:00,194.5,194.5,194.5,194.5,0.0
2022-05-25 23:00:00,195.7,195.7,195.7,195.7,0.0
2022-05-26 23:00:00,200.9,200.9,200.9,200.9,0.0
2022-05-27 23:00:00,203.8,203.8,203.8,203.8,0.0
2022-05-30 23:00:00,207.3,207.3,207.3,207.3,0.0
2022-05-31 23:00:00,204.0,204.0,204.0,204.0,0.0
2022-06-01 23:00:00,198.7,198.7,198.7,198.7,0.0
2022-06-02 23:00:00,199.3,199.3,199.3,199.3,0.0
2022-06-03 23:00:00,198.3,198.3,198.3,198.3,0.0
2022-06-06 23:00:00,200.5,200.5,200.5,200.5,0.0
2022-06-07 23:00:00,199.5,199.5,199.5,199.5,0.0
2022-06-08 23:00:00,197.8,197.8,197.8,197.8,0.0
2022-06-09 23:00:00,197.2,197.9,197.2,197.2,4.0
2022-06-10 23:00:00,188.3,188.3,188.3,188.3,0.0
2022-06-13 23:00:00,178.9,178.9,177.9,177.9,22.0
2022-06-14 23:00:00,176.1,179.2,175.8,179.2,18.0
2022-06-15 23:00:00,182.4,182.8,178.4,178.4,26.0
2022-06-16 23:00:00,176.3,181.0,175.2,181.0,339.0
2022-06-17 23:00:00,177.0,180.2,175.9,177.0,274.0
2022-06-20 23:00:00,182.1,182.1,176.5,178.8,66.0
2022-06-21 23:00:00,180.6,184.4,179.4,183.0,189.0
2022-06-22 23:00:00,179.3,180.5,175.7,176.7,360.0
2022-06-23 23:00:00,178.7,181.7,177.6,178.3,359.0
2022-06-24 23:00:00,183.5,184.1,178.7,178.7,568.0
2022-06-27 23:00:00,183.2,184.5,183.2,183.2,95.0
2022-06-28 23:00:00,180.3,184.2,180.3,184.2,80.0
2022-06-29 23:00:00,176.0,179.3,174.9,179.3,197.0
2022-06-30 23:00:00,173.2,173.4,170.0,173.1,769.0
2022-07-01 23:00:00,173.5,173.7,170.6,171.2,45.0
2022-07-04 23:00:00,172.6,176.3,172.5,176.0,888.0
2022-07-05 23:00:00,169.4,172.0,168.6,172.0,13.0
2022-07-06 23:00:00,174.3,175.5,172.5,173.4,341.0
2022-07-07 23:00:00,175.2,175.7,171.0,173.4,136.0
2022-07-08 23:00:00,175.8,175.9,173.6,174.9,104.0
2022-07-11 23:00:00,171.5,174.9,171.5,172.5,408.0
2022-07-12 23:00:00,173.7,173.9,168.8,170.9,143.0
