DATETIME,FINAL,HIGH,LOW,OPEN,VOLUME
2022-07-25 23:00:00,359.6,359.6,359.6,359.6,0.0
2022-07-26 23:00:00,362.4,362.4,362.4,362.4,0.0
2022-07-27 23:00:00,365.5,365.5,365.5,365.5,0.0
2022-07-28 23:00:00,370.0,370.0,370.0,370.0,0.0
2022-07-29 23:00:00,374.9,374.9,374.9,374.9,0.0
2022-08-01 23:00:00,375.8,375.8,375.8,375.8,0.0
2022-08-02 23:00:00,377.1,377.1,377.1,377.1,0.0
2022-08-03 23:00:00,374.4,374.4,374.4,374.4,0.0
2022-08-04 23:00:00,375.0,375.0,375.0,375.0,0.0
2022-08-05 23:00:00,372.4,372.4,372.4,372.4,0.0
2022-08-08 23:00:00,379.4,379.4,379.4,379.4,0.0
2022-08-09 23:00:00,382.0,382.0,382.0,382.0,0.0
2022-08-10 23:00:00,380.6,380.6,380.6,380.6,0.0
2022-08-11 23:00:00,378.6,378.6,378.6,378.6,0.0
2022-08-12 23:00:00,380.4,380.4,380.4,380.4,0.0
2022-08-15 23:00:00,383.3,383.3,383.3,383.3,0.0
2022-08-16 23:00:00,388.1,388.1,388.1,388.1,0.0
2022-08-17 23:00:00,385.3,385.3,385.3,385.3,0.0
2022-08-18 23:00:00,384.1,384.1,384.1,384.1,0.0
2022-08-19 23:00:00,382.5,382.5,382.5,382.5,0.0
2022-08-22 23:00:00,383.0,383.0,383.0,383.0,0.0
2022-08-23 23:00:00,381.1,381.1,381.1,381.1,0.0
2022-08-24 23:00:00,381.2,381.2,381.2,381.2,0.0
2022-08-25 23:00:00,380.9,380.9,380.9,380.9,0.0
2022-08-26 23:00:00,374.3,374.3,374.3,374.3,0.0
2022-08-29 23:00:00,367.8,367.8,367.8,367.8,0.0
2022-08-30 23:00:00,363.4,363.4,363.4,363.4,0.0
2022-08-31 23:00:00,353.7,353.7,353.7,353.7,0.0
2022-09-01 23:00:00,352.6,352.6,352.6,352.6,0.0
2022-09-02 23:00:00,357.0,357.0,357.0,357.0,0.0
2022-09-05 23:00:00,357.5,357.5,357.5,357.5,0.0
2022-09-06 23:00:00,354.6,354.6,354.6,354.6,0.0
2022-09-07 23:00:00,362.3,362.3,362.3,362.3,0.0
2022-09-08 23:00:00,362.2,362.2,362.2,362.2,0.0
2022-09-09 23:00:00,365.3,365.3,365.3,365.3,0.0
2022-09-12 23:00:00,369.1,369.1,369.1,369.1,0.0
2022-09-13 23:00:00,369.5,369.5,369.5,369.5,0.0
2022-09-14 23:00:00,363.0,363.0,363.0,363.0,0.0
2022-09-15 23:00:00,357.5,357.5,357.5,357.5,0.0
2022-09-16 23:00:00,355.8,355.8,355.8,355.8,0.0
2022-09-19 23:00:00,356.5,356.5,356.5,356.5,0.0
2022-09-20 23:00:00,350.4,350.4,350.4,350.4,0.0
2022-09-21 23:00:00,357.2,357.2,357.2,357.2,0.0
2022-09-22 23:00:00,352.2,352.2,352.2,352.2,0.0
2022-09-23 23:00:00,343.3,343.3,343.3,343.3,0.0
2022-09-26 23:00:00,336.3,336.3,336.3,336.3,0.0
2022-09-27 23:00:00,326.2,326.2,326.2,326.2,0.0
2022-09-28 23:00:00,328.3,328.3,328.3,328.3,0.0
2022-09-29 23:00:00,320.8,320.8,320.8,320.8,0.0
2022-09-30 23:00:00,321.6,321.6,321.6,321.6,0.0
2022-10-03 23:00:00,329.1,329.1,329.1,329.1,0.0
2022-10-04 23:00:00,331.9,331.9,331.9,331.9,0.0
2022-10-05 23:00:00,328.0,328.0,328.0,328.0,0.0
2022-10-06 23:00:00,321.5,321.5,321.5,321.5,0.0
2022-10-07 23:00:00,318.9,318.9,318.9,318.9,0.0
2022-10-10 23:00:00,316.9,316.9,316.9,316.9,0.0
2022-10-11 23:00:00,310.6,310.6,310.6,310.6,0.0
2022-10-12 23:00:00,305.6,305.6,305.6,305.6,0.0
2022-10-13 23:00:00,309.8,309.8,309.8,309.8,0.0
2022-10-14 23:00:00,315.4,315.4,315.4,315.4,0.0
2022-10-17 23:00:00,323.1,323.1,323.1,323.1,0.0
2022-10-18 23:00:00,322.8,322.8,322.8,322.8,0.0
2022-10-19 23:00:00,321.0,321.0,321.0,321.0,0.0
2022-10-20 23:00:00,320.3,320.3,320.3,320.3,0.0
2022-10-21 23:00:00,316.3,316.3,316.3,316.3,0.0
2022-10-24 23:00:00,326.4,326.4,326.4,326.4,0.0
2022-10-25 23:00:00,333.3,333.3,333.3,333.3,0.0
2022-10-26 23:00:00,335.2,335.2,335.2,335.2,0.0
2022-10-27 23:00:00,339.2,339.2,339.2,339.2,0.0
2022-10-28 23:00:00,338.9,338.9,338.9,338.9,0.0
2022-10-31 23:00:00,340.2,340.2,340.2,340.2,0.0
2022-11-01 23:00:00,342.9,342.9,342.9,342.9,0.0
2022-11-02 23:00:00,343.0,343.0,343.0,343.0,0.0
2022-11-03 23:00:00,339.3,339.3,339.3,339.3,0.0
2022-11-04 23:00:00,342.3,342.3,342.3,342.3,0.0
2022-11-07 23:00:00,341.9,341.9,341.9,341.9,0.0
2022-11-08 23:00:00,345.6,345.6,345.6,345.6,0.0
2022-11-09 23:00:00,348.6,348.6,348.6,348.6,0.0
2022-11-10 23:00:00,360.3,360.3,360.3,360.3,0.0
2022-11-11 23:00:00,354.8,354.8,354.8,354.8,0.0
2022-11-14 23:00:00,356.6,356.6,356.6,356.6,0.0
2022-11-15 23:00:00,359.0,359.0,359.0,359.0,0.0
2022-11-16 23:00:00,359.9,359.9,359.9,359.9,0.0
2022-11-17 23:00:00,357.9,357.9,357.9,357.9,0.0
2022-11-18 23:00:00,364.2,364.2,364.2,364.2,0.0
2022-11-21 23:00:00,364.1,364.1,364.1,364.1,0.0
2022-11-22 23:00:00,367.2,367.2,367.2,367.2,0.0
2022-11-23 23:00:00,366.3,366.3,366.3,366.3,0.0
2022-11-24 23:00:00,370.4,370.4,370.4,370.4,0.0
2022-11-25 23:00:00,369.4,369.4,369.4,369.4,0.0
2022-11-28 23:00:00,365.6,365.6,365.6,365.6,0.0
2022-11-29 23:00:00,362.0,362.0,362.0,362.0,0.0
2022-11-30 23:00:00,365.5,365.5,365.5,365.5,0.0
2022-12-01 23:00:00,371.8,371.8,371.8,371.8,0.0
2022-12-02 23:00:00,370.4,370.4,370.4,370.4,0.0
2022-12-05 23:00:00,371.5,371.5,371.5,371.5,0.0
2022-12-06 23:00:00,370.7,370.7,370.7,370.7,0.0
2022-12-07 23:00:00,370.1,370.1,370.1,370.1,0.0
2022-12-08 23:00:00,367.3,367.8,367.3,367.8,1.0
2022-12-09 23:00:00,369.7,369.7,369.7,369.7,0.0
2022-12-12 23:00:00,368.9,369.3,368.3,368.8,158.0
2022-12-13 23:00:00,369.9,372.7,364.5,364.8,123.0
2022-12-14 23:00:00,372.9,373.2,369.5,369.5,49.0
2022-12-15 23:00:00,365.1,371.7,362.4,370.8,251.0
