DATETIME,FINAL,HIGH,LOW,OPEN,VOLUME
2022-05-13 23:00:00,1.5112,1.5112,1.5112,1.5112,0.0
2022-05-16 23:00:00,1.5039,1.5039,1.5039,1.5039,0.0
2022-05-17 23:00:00,1.5115,1.5115,1.5115,1.5115,0.0
2022-05-18 23:00:00,1.512,1.512,1.512,1.512,0.0
2022-05-19 23:00:00,1.5084,1.5084,1.5084,1.5084,0.0
2022-05-20 23:00:00,1.51,1.51,1.51,1.51,0.0
2022-05-23 23:00:00,1.512,1.512,1.512,1.512,0.0
2022-05-24 23:00:00,1.5216,1.5216,1.5216,1.5216,0.0
2022-05-25 23:00:00,1.5145,1.5145,1.5145,1.5145,0.0
2022-05-26 23:00:00,1.519,1.519,1.519,1.519,0.0
2022-05-27 23:00:00,1.5073,1.5073,1.5073,1.5073,0.0
2022-05-31 23:00:00,1.5035,1.5035,1.5027,1.5027,1.0
2022-06-01 23:00:00,1.4894,1.4894,1.4894,1.4894,0.0
2022-06-02 23:00:00,1.4874,1.4874,1.4874,1.4874,0.0
2022-06-03 23:00:00,1.4934,1.4934,1.4934,1.4934,0.0
2022-06-06 23:00:00,1.4934,1.4934,1.4934,1.4934,0.0
2022-06-07 23:00:00,1.4884,1.4948,1.4884,1.4948,14.0
2022-06-08 23:00:00,1.4976,1.4976,1.4959,1.4959,12.0
2022-06-09 23:00:00,1.5036,1.5055,1.5036,1.5036,36.0
2022-06-10 23:00:00,1.4998,1.502,1.499,1.4999,10.0
2022-06-13 23:00:00,1.5128,1.5133,1.5075,1.5076,22.0
2022-06-14 23:00:00,1.5263,1.5264,1.5195,1.5195,56.0
2022-06-15 23:00:00,1.5031,1.5117,1.4992,1.5117,37.0
2022-06-16 23:00:00,1.5068,1.5088,1.5068,1.5081,62.0
2022-06-17 23:00:00,1.522,1.5226,1.5186,1.5186,92.0
2022-06-20 23:00:00,1.5184,1.5207,1.5184,1.5201,159.0
2022-06-21 23:00:00,1.5185,1.521,1.5176,1.521,74.0
2022-06-22 23:00:00,1.5331,1.5355,1.5321,1.5355,37.0
2022-06-23 23:00:00,1.5353,1.5353,1.5308,1.5308,8.0
2022-06-24 23:00:00,1.5286,1.5351,1.5267,1.5316,79.0
2022-06-27 23:00:00,1.537,1.537,1.5329,1.5329,13.0
2022-06-28 23:00:00,1.53,1.53,1.5284,1.5284,4.0
2022-06-29 23:00:00,1.5265,1.5331,1.5263,1.5331,4.0
2022-06-30 23:00:00,1.5248,1.5274,1.5226,1.5274,38.0
2022-07-01 23:00:00,1.5366,1.543,1.5344,1.543,110.0
2022-07-04 23:00:00,1.5366,1.5366,1.5366,1.5366,0.0
2022-07-05 23:00:00,1.5184,1.5225,1.5179,1.5217,31.0
2022-07-06 23:00:00,1.5064,1.5123,1.5018,1.5027,86.0
2022-07-07 23:00:00,1.4916,1.4978,1.4916,1.4978,40.0
2022-07-08 23:00:00,1.4916,1.4923,1.4878,1.4912,16.0
2022-07-11 23:00:00,1.499,1.5026,1.4973,1.5024,18.0
2022-07-12 23:00:00,1.4908,1.4958,1.4903,1.4935,71.0
2022-07-13 23:00:00,1.4927,1.4964,1.4897,1.49,26.0
2022-07-14 23:00:00,1.4902,1.4974,1.4902,1.4966,20.0
2022-07-15 23:00:00,1.4905,1.4916,1.4905,1.4916,8.0
2022-07-18 23:00:00,1.4957,1.4957,1.4925,1.4946,29.0
2022-07-19 23:00:00,1.4896,1.4907,1.4882,1.4907,31.0
2022-07-20 23:00:00,1.4837,1.4876,1.4837,1.4876,14.0
2022-07-21 23:00:00,1.4817,1.4843,1.4805,1.4842,32.0
2022-07-22 23:00:00,1.4798,1.4811,1.4743,1.4746,178.0
2022-07-25 23:00:00,1.4747,1.4764,1.4745,1.4764,12.0
2022-07-26 23:00:00,1.465,1.465,1.4609,1.4626,48.0
2022-07-27 23:00:00,1.4625,1.4656,1.4625,1.4656,10.0
2022-07-28 23:00:00,1.4634,1.4642,1.4603,1.4603,92.0
2022-07-29 23:00:00,1.4649,1.4664,1.4649,1.4661,27.0
2022-08-01 23:00:00,1.4642,1.4667,1.4632,1.465,154.0
2022-08-02 23:00:00,1.4729,1.4785,1.4698,1.4778,37.0
2022-08-03 23:00:00,1.4654,1.4687,1.4654,1.4684,3.0
2022-08-04 23:00:00,1.4716,1.4721,1.4685,1.4685,45.0
2022-08-05 23:00:00,1.4767,1.4785,1.4736,1.4781,38.0
2022-08-08 23:00:00,1.4627,1.4634,1.462,1.4629,20.0
2022-08-09 23:00:00,1.4705,1.4705,1.4705,1.4705,0.0
2022-08-10 23:00:00,1.4574,1.4657,1.4569,1.4657,38.0
2022-08-11 23:00:00,1.4556,1.4562,1.4537,1.454,81.0
2022-08-12 23:00:00,1.443,1.4491,1.443,1.4488,121.0
2022-08-15 23:00:00,1.4495,1.4513,1.449,1.4513,7.0
2022-08-16 23:00:00,1.4508,1.4548,1.4507,1.4507,65.0
2022-08-17 23:00:00,1.4693,1.473,1.4693,1.471,152.0
2022-08-18 23:00:00,1.4609,1.462,1.4604,1.4604,20.0
2022-08-19 23:00:00,1.4632,1.4652,1.4622,1.4652,10.0
2022-08-22 23:00:00,1.4479,1.4479,1.4468,1.4479,32.0
2022-08-23 23:00:00,1.4418,1.4471,1.4393,1.4471,184.0
2022-08-24 23:00:00,1.4451,1.4483,1.4419,1.4419,130.0
2022-08-25 23:00:00,1.4305,1.4345,1.4305,1.4344,59.0
2022-08-26 23:00:00,1.4477,1.4477,1.4406,1.4406,36.0
2022-08-29 23:00:00,1.4495,1.4523,1.4486,1.4518,28.0
2022-08-30 23:00:00,1.4633,1.4638,1.4523,1.4523,55.0
2022-08-31 23:00:00,1.4686,1.4706,1.4618,1.4618,280.0
2022-09-01 23:00:00,1.4675,1.4692,1.4604,1.4659,54.0
2022-09-02 23:00:00,1.4634,1.4674,1.4634,1.4661,44.0
2022-09-05 23:00:00,1.4634,1.4634,1.461,1.4611,10.0
2022-09-06 23:00:00,1.473,1.4734,1.4698,1.47,18.0
2022-09-07 23:00:00,1.4793,1.481,1.4763,1.4763,20.0
2022-09-08 23:00:00,1.4817,1.4817,1.4796,1.4796,13.0
2022-09-09 23:00:00,1.4688,1.4688,1.4688,1.4688,0.0
2022-09-12 23:00:00,1.471,1.472,1.4705,1.472,22.0
2022-09-13 23:00:00,1.4818,1.4818,1.4722,1.4722,27.0
2022-09-14 23:00:00,1.4812,1.4813,1.4806,1.4808,13.0
2022-09-15 23:00:00,1.4909,1.4925,1.4849,1.4849,14.0
2022-09-16 23:00:00,1.4914,1.4943,1.4914,1.4936,100.0
2022-09-19 23:00:00,1.494,1.494,1.494,1.494,0.0
2022-09-20 23:00:00,1.494,1.494,1.494,1.494,0.0
