DATETIME,FINAL,HIGH,LOW,OPEN,VOLUME
2022-05-04 23:00:00,99.305,99.305,99.305,99.305,0.0
2022-05-05 23:00:00,99.325,99.325,99.325,99.325,0.0
2022-05-06 23:00:00,99.25,99.25,99.25,99.25,0.0
2022-05-09 23:00:00,99.32,99.32,99.32,99.32,0.0
2022-05-10 23:00:00,99.37,99.37,99.335,99.335,2.0
2022-05-11 23:00:00,99.38,99.38,99.38,99.38,0.0
2022-05-12 23:00:00,99.475,99.475,99.475,99.475,0.0
2022-05-13 23:00:00,99.445,99.445,99.445,99.445,0.0
2022-05-16 23:00:00,99.385,99.385,99.385,99.385,0.0
2022-05-17 23:00:00,99.26,99.26,99.26,99.26,0.0
2022-05-18 23:00:00,99.25,99.25,99.25,99.25,0.0
2022-05-19 23:00:00,99.245,99.245,99.245,99.245,0.0
2022-05-20 23:00:00,99.25,99.25,99.25,99.25,0.0
2022-05-23 23:00:00,99.235,99.235,99.235,99.235,0.0
2022-05-24 23:00:00,99.235,99.235,99.235,99.235,0.0
2022-05-25 23:00:00,99.245,99.245,99.245,99.245,0.0
2022-05-26 23:00:00,99.27,99.27,99.27,99.27,0.0
2022-05-27 23:00:00,99.265,99.265,99.265,99.265,0.0
2022-05-30 23:00:00,99.205,99.205,99.205,99.205,0.0
2022-05-31 23:00:00,99.165,99.165,99.165,99.165,0.0
2022-06-01 23:00:00,99.13,99.13,99.13,99.13,0.0
2022-06-02 23:00:00,99.08,99.08,99.08,99.08,0.0
2022-06-03 23:00:00,99.02,99.02,99.02,99.02,0.0
2022-06-06 23:00:00,98.995,98.995,98.995,98.995,0.0
2022-06-07 23:00:00,98.99,98.99,98.99,98.99,0.0
2022-06-08 23:00:00,98.93,99.0,98.93,99.0,6.0
2022-06-09 23:00:00,98.81,98.81,98.81,98.81,0.0
2022-06-10 23:00:00,98.66,98.76,98.62,98.74,25.0
2022-06-13 23:00:00,98.56,98.56,98.56,98.56,0.0
2022-06-14 23:00:00,98.41,98.41,98.41,98.41,0.0
2022-06-15 23:00:00,98.48,98.48,98.48,98.48,0.0
2022-06-16 23:00:00,98.43,98.43,98.43,98.43,0.0
2022-06-17 23:00:00,98.5,98.5,98.5,98.5,0.0
2022-06-20 23:00:00,98.5,98.5,98.5,98.5,0.0
2022-06-21 23:00:00,98.51,98.51,98.51,98.51,0.0
2022-06-22 23:00:00,98.545,98.545,98.54,98.54,2.0
2022-06-23 23:00:00,98.74,98.74,98.74,98.74,0.0
2022-06-24 23:00:00,98.765,98.765,98.705,98.72,61.0
2022-06-27 23:00:00,98.725,98.725,98.725,98.725,0.0
2022-06-28 23:00:00,98.67,98.67,98.67,98.67,0.0
2022-06-29 23:00:00,98.74,98.74,98.74,98.74,0.0
2022-06-30 23:00:00,98.785,98.785,98.785,98.785,0.0
2022-07-01 23:00:00,99.065,99.065,99.065,99.065,0.0
2022-07-04 23:00:00,98.93,98.93,98.93,98.93,0.0
2022-07-05 23:00:00,99.01,99.01,99.01,99.01,0.0
2022-07-06 23:00:00,99.03,99.03,99.03,99.03,0.0
2022-07-07 23:00:00,98.875,98.875,98.875,98.875,0.0
2022-07-08 23:00:00,98.865,98.865,98.865,98.865,0.0
2022-07-11 23:00:00,98.875,98.875,98.875,98.875,0.0
2022-07-12 23:00:00,98.965,98.965,98.965,98.965,0.0
2022-07-13 23:00:00,98.82,98.82,98.82,98.82,0.0
2022-07-14 23:00:00,98.695,98.695,98.695,98.695,0.0
2022-07-15 23:00:00,98.775,98.775,98.775,98.775,0.0
2022-07-18 23:00:00,98.745,98.745,98.745,98.745,0.0
2022-07-19 23:00:00,98.62,98.62,98.62,98.62,0.0
2022-07-20 23:00:00,98.63,98.63,98.63,98.63,0.0
2022-07-21 23:00:00,98.56,98.56,98.56,98.56,0.0
2022-07-22 23:00:00,98.74,98.74,98.74,98.74,0.0
2022-07-25 23:00:00,98.765,98.765,98.765,98.765,0.0
