DATETIME,FINAL,HIGH,LOW,OPEN,VOLUME
2022-07-25 23:00:00,304.2,304.2,304.2,304.2,0.0
2022-07-26 23:00:00,300.3,300.3,300.3,300.3,0.0
2022-07-27 23:00:00,302.7,302.7,302.7,302.7,0.0
2022-07-28 23:00:00,307.3,307.3,307.3,307.3,0.0
2022-07-29 23:00:00,313.8,313.8,313.8,313.8,0.0
2022-08-01 23:00:00,312.8,312.8,312.8,312.8,0.0
2022-08-02 23:00:00,310.1,310.1,310.1,310.1,0.0
2022-08-03 23:00:00,313.4,313.4,313.4,313.4,0.0
2022-08-04 23:00:00,314.4,314.4,314.4,314.4,0.0
2022-08-05 23:00:00,311.3,311.3,311.3,311.3,0.0
2022-08-08 23:00:00,314.2,314.2,314.2,314.2,0.0
2022-08-09 23:00:00,311.5,311.5,311.5,311.5,0.0
2022-08-10 23:00:00,317.7,317.7,317.7,317.7,0.0
2022-08-11 23:00:00,317.6,317.6,317.6,317.6,0.0
2022-08-12 23:00:00,318.6,318.6,318.6,318.6,0.0
2022-08-15 23:00:00,318.2,318.2,318.2,318.2,0.0
2022-08-16 23:00:00,319.6,319.6,319.6,319.6,0.0
2022-08-17 23:00:00,314.1,314.1,314.1,314.1,0.0
2022-08-18 23:00:00,315.3,315.3,315.3,315.3,0.0
2022-08-19 23:00:00,310.5,310.5,310.5,310.5,0.0
2022-08-22 23:00:00,304.1,304.1,304.1,304.1,0.0
2022-08-23 23:00:00,302.6,302.6,302.6,302.6,0.0
2022-08-24 23:00:00,303.7,303.7,303.7,303.7,0.0
2022-08-25 23:00:00,303.7,303.7,303.7,303.7,0.0
2022-08-26 23:00:00,298.9,298.9,298.9,298.9,0.0
2022-08-29 23:00:00,297.3,297.3,297.3,297.3,0.0
2022-08-30 23:00:00,296.5,296.5,296.5,296.5,0.0
2022-08-31 23:00:00,295.2,295.2,295.2,295.2,0.0
2022-09-01 23:00:00,288.0,288.0,288.0,288.0,0.0
2022-09-02 23:00:00,295.2,295.2,295.2,295.2,0.0
2022-09-05 23:00:00,290.2,290.2,290.2,290.2,0.0
2022-09-06 23:00:00,290.9,290.9,290.9,290.9,0.0
2022-09-07 23:00:00,291.7,291.7,291.7,291.7,0.0
2022-09-08 23:00:00,291.7,291.7,291.7,291.7,0.0
2022-09-09 23:00:00,297.3,297.3,297.3,297.3,0.0
2022-09-12 23:00:00,302.5,302.5,302.5,302.5,0.0
2022-09-13 23:00:00,296.4,296.4,296.4,296.4,0.0
2022-09-14 23:00:00,291.7,291.7,291.7,291.7,0.0
2022-09-15 23:00:00,290.3,290.3,290.3,290.3,0.0
2022-09-16 23:00:00,285.1,285.1,285.1,285.1,0.0
2022-09-19 23:00:00,284.8,284.8,284.8,284.8,0.0
2022-09-20 23:00:00,278.4,278.4,278.4,278.4,0.0
2022-09-21 23:00:00,280.3,280.3,280.3,280.3,0.0
2022-09-22 23:00:00,274.0,274.0,274.0,274.0,0.0
2022-09-23 23:00:00,267.0,267.0,267.0,267.0,0.0
2022-09-26 23:00:00,265.3,265.3,265.3,265.3,0.0
2022-09-27 23:00:00,264.8,264.8,264.8,264.8,0.0
2022-09-28 23:00:00,264.4,264.4,264.4,264.4,0.0
2022-09-29 23:00:00,259.0,259.0,259.0,259.0,0.0
2022-09-30 23:00:00,264.9,264.9,264.9,264.9,0.0
2022-10-03 23:00:00,267.8,267.8,267.8,267.8,0.0
2022-10-04 23:00:00,276.7,276.7,276.7,276.7,0.0
2022-10-05 23:00:00,272.6,272.6,272.6,272.6,0.0
2022-10-06 23:00:00,272.4,272.4,272.4,272.4,0.0
2022-10-07 23:00:00,267.5,267.5,267.5,267.5,0.0
2022-10-10 23:00:00,267.1,267.1,267.1,267.1,0.0
2022-10-11 23:00:00,264.4,264.4,264.4,264.4,0.0
2022-10-12 23:00:00,261.5,261.5,261.5,261.5,0.0
2022-10-13 23:00:00,264.7,264.7,264.7,264.7,0.0
2022-10-14 23:00:00,266.3,266.3,266.3,266.3,0.0
2022-10-17 23:00:00,272.6,272.6,272.6,272.6,0.0
2022-10-18 23:00:00,275.2,275.2,275.2,275.2,0.0
2022-10-19 23:00:00,272.9,272.9,272.9,272.9,0.0
2022-10-20 23:00:00,274.6,274.6,274.6,274.6,0.0
2022-10-21 23:00:00,272.7,272.7,272.7,272.7,0.0
2022-10-24 23:00:00,276.8,276.8,276.8,276.8,0.0
2022-10-25 23:00:00,281.7,281.7,281.7,281.7,0.0
2022-10-26 23:00:00,284.7,284.7,284.7,284.7,0.0
2022-10-27 23:00:00,284.6,284.6,284.6,284.6,0.0
2022-10-28 23:00:00,283.4,283.4,283.4,283.4,0.0
2022-10-31 23:00:00,285.0,285.0,285.0,285.0,0.0
2022-11-01 23:00:00,286.2,286.2,286.2,286.2,0.0
2022-11-02 23:00:00,284.2,284.2,284.2,284.2,0.0
2022-11-03 23:00:00,280.4,280.4,280.4,280.4,0.0
2022-11-04 23:00:00,287.2,287.2,287.2,287.2,0.0
2022-11-07 23:00:00,289.2,289.2,289.2,289.2,0.0
2022-11-08 23:00:00,292.6,292.6,292.6,292.6,0.0
2022-11-09 23:00:00,293.4,293.4,293.4,293.4,0.0
2022-11-10 23:00:00,303.2,303.2,303.2,303.2,0.0
2022-11-11 23:00:00,306.2,306.2,306.2,306.2,0.0
2022-11-14 23:00:00,305.5,305.5,305.5,305.5,0.0
2022-11-15 23:00:00,305.1,305.1,305.1,305.1,0.0
2022-11-16 23:00:00,299.9,299.9,299.9,299.9,0.0
2022-11-17 23:00:00,299.0,299.0,299.0,299.0,0.0
2022-11-18 23:00:00,302.0,302.0,302.0,302.0,0.0
2022-11-21 23:00:00,302.0,302.0,302.0,302.0,0.0
2022-11-22 23:00:00,303.3,303.3,303.3,303.3,0.0
2022-11-23 23:00:00,304.6,304.6,304.6,304.6,0.0
2022-11-24 23:00:00,307.3,307.3,307.3,307.3,0.0
2022-11-25 23:00:00,306.8,306.8,306.8,306.8,0.0
2022-11-28 23:00:00,303.8,303.8,303.8,303.8,0.0
2022-11-29 23:00:00,301.9,301.9,301.9,301.9,0.0
2022-11-30 23:00:00,302.4,302.4,302.4,302.4,0.0
2022-12-01 23:00:00,305.3,305.3,305.3,305.3,0.0
2022-12-02 23:00:00,306.6,306.6,306.6,306.6,0.0
2022-12-05 23:00:00,305.3,305.8,305.3,305.7,52.0
2022-12-06 23:00:00,302.2,302.2,302.2,302.2,0.0
2022-12-07 23:00:00,300.1,300.1,300.1,300.1,0.0
2022-12-08 23:00:00,301.2,302.0,301.0,301.0,400.0
2022-12-09 23:00:00,302.8,302.8,302.6,302.6,1.0
2022-12-12 23:00:00,301.9,301.9,301.9,301.9,0.0
2022-12-13 23:00:00,306.0,310.0,304.0,304.0,582.0
2022-12-14 23:00:00,305.7,306.0,303.0,304.7,769.0
2022-12-15 23:00:00,299.5,308.6,299.4,303.6,454.0
2022-12-16 23:00:00,295.3,297.6,293.9,297.6,560.0
2022-12-19 23:00:00,296.4,297.6,296.0,297.6,244.0
2022-12-20 23:00:00,294.5,295.0,292.1,292.7,210.0
2022-12-21 23:00:00,299.9,300.0,296.1,296.1,568.0
2022-12-22 23:00:00,295.8,299.9,295.0,299.5,106.0
2022-12-23 23:00:00,298.2,298.3,296.2,296.2,324.0
2022-12-27 23:00:00,297.9,298.2,297.3,297.3,184.0
2022-12-28 23:00:00,296.6,298.7,296.1,296.9,443.0
2022-12-29 23:00:00,300.3,300.3,294.5,295.9,86.0
2022-12-30 23:00:00,296.4,298.7,295.4,298.6,354.0
2023-01-02 23:00:00,300.6,300.6,299.1,299.1,14.0
