DATETIME,FINAL,HIGH,LOW,OPEN,VOLUME
2022-05-03 23:00:00,1.0611,1.0651,1.06,1.0651,161.0
2022-05-04 23:00:00,1.0701,1.071,1.06065,1.0636,407.0
2022-05-05 23:00:00,1.05955,1.0637,1.0572,1.0628,303.0
2022-05-06 23:00:00,1.06255,1.06695,1.06185,1.06665,115.0
2022-05-09 23:00:00,1.0644,1.0663,1.06005,1.06175,106.0
2022-05-10 23:00:00,1.06085,1.0632,1.06085,1.0632,76.0
2022-05-11 23:00:00,1.06085,1.065,1.0589,1.0629,248.0
2022-05-12 23:00:00,1.04455,1.04985,1.043,1.04875,1167.0
2022-05-13 23:00:00,1.048,1.04915,1.0436,1.0436,559.0
2022-05-16 23:00:00,1.05125,1.05155,1.04665,1.04965,116.0
2022-05-17 23:00:00,1.0619,1.0628,1.0597,1.0609,196.0
2022-05-18 23:00:00,1.05475,1.06135,1.0533,1.0593,126.0
2022-05-19 23:00:00,1.0671,1.0678,1.0617,1.06175,1254.0
2022-05-20 23:00:00,1.06175,1.06355,1.06095,1.06335,324.0
2022-05-23 23:00:00,1.0765,1.07695,1.0721,1.07255,260.0
2022-05-24 23:00:00,1.0796,1.0819,1.07785,1.078,707.0
2022-05-25 23:00:00,1.0758,1.076,1.0724,1.0736,366.0
2022-05-26 23:00:00,1.0789,1.07995,1.0769,1.0769,807.0
2022-05-27 23:00:00,1.07995,1.0818,1.077,1.0789,608.0
2022-05-30 23:00:00,1.08465,1.0853,1.083,1.0833,435.0
2022-05-31 23:00:00,1.0803,1.08135,1.0756,1.07775,2227.0
2022-06-01 23:00:00,1.0721,1.0791,1.06935,1.0791,2677.0
2022-06-02 23:00:00,1.0804,1.0815,1.0757,1.07725,1926.0
2022-06-03 23:00:00,1.07855,1.08165,1.07755,1.0794,2314.0
2022-06-06 23:00:00,1.0754,1.07875,1.07475,1.07735,6593.0
2022-06-07 23:00:00,1.077,1.0777,1.0729,1.0729,6735.0
2022-06-08 23:00:00,1.07785,1.08125,1.07755,1.08,13864.0
2022-06-09 23:00:00,1.06895,1.07685,1.06725,1.07575,41186.0
2022-06-10 23:00:00,1.05845,1.0604,1.0567,1.0602,90063.0
2022-06-13 23:00:00,1.04885,1.053,1.04685,1.05205,102128.0
2022-06-14 23:00:00,1.0481,1.05215,1.0469,1.05175,84902.0
2022-06-15 23:00:00,1.04925,1.0539,1.0428,1.04845,129336.0
2022-06-16 23:00:00,1.06425,1.0668,1.05005,1.05285,111650.0
2022-06-17 23:00:00,1.05575,1.0569,1.0511,1.05535,79411.0
2022-06-20 23:00:00,1.05775,1.0608,1.0564,1.0586,25548.0
2022-06-21 23:00:00,1.05975,1.06335,1.05855,1.0615,58279.0
2022-06-22 23:00:00,1.0633,1.0673,1.06025,1.061,75397.0
2022-06-23 23:00:00,1.05845,1.0618,1.0558,1.0587,73038.0
2022-06-24 23:00:00,1.0612,1.06345,1.0595,1.0598,67640.0
2022-06-27 23:00:00,1.06465,1.06785,1.0633,1.06455,61977.0
2022-06-28 23:00:00,1.0584,1.06035,1.0564,1.0591,70531.0
2022-06-29 23:00:00,1.0501,1.05575,1.0495,1.0553,73727.0
2022-06-30 23:00:00,1.0538,1.05465,1.04665,1.0474,93606.0
2022-07-01 23:00:00,1.0481,1.049,1.04205,1.0458,88293.0
2022-07-04 23:00:00,1.0481,1.0515,1.0474,1.051,19878.0
2022-07-05 23:00:00,1.0316,1.0329,1.02895,1.0318,95023.0
2022-07-06 23:00:00,1.0235,1.0255,1.0215,1.0245,83443.0
2022-07-07 23:00:00,1.02085,1.0245,1.0195,1.0225,68122.0
2022-07-08 23:00:00,1.02245,1.0242,1.01845,1.0216,71005.0
2022-07-11 23:00:00,1.0112,1.01425,1.00835,1.01135,81752.0
