DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2022-11-15 23:00:00,1.0485,1.0485,1.0485,1.0485,0.0
2022-11-16 23:00:00,1.05145,1.05145,1.05145,1.05145,0.0
2022-11-17 23:00:00,1.0484,1.0484,1.0484,1.0484,0.0
2022-11-18 23:00:00,1.04475,1.04475,1.04475,1.04475,0.0
2022-11-21 23:00:00,1.03565,1.03565,1.03565,1.03565,0.0
2022-11-22 23:00:00,1.0411,1.0411,1.0411,1.0411,0.0
2022-11-23 23:00:00,1.0515,1.0515,1.0515,1.0515,0.0
2022-11-24 23:00:00,1.0515,1.0515,1.0515,1.0515,0.0
2022-11-25 23:00:00,1.0516,1.0516,1.0516,1.0516,0.0
2022-11-28 23:00:00,1.04475,1.04475,1.04475,1.04475,0.0
2022-11-29 23:00:00,1.0432,1.0432,1.0432,1.0432,0.0
2022-11-30 23:00:00,1.0519,1.0519,1.0519,1.0519,0.0
2022-12-01 23:00:00,1.0623,1.0623,1.0623,1.0623,0.0
2022-12-02 23:00:00,1.064,1.064,1.064,1.064,0.0
2022-12-05 23:00:00,1.05975,1.05975,1.05975,1.05975,0.0
2022-12-06 23:00:00,1.05665,1.05665,1.05665,1.05665,0.0
2022-12-07 23:00:00,1.0616,1.0616,1.0616,1.0616,0.0
2022-12-08 23:00:00,1.066,1.066,1.066,1.066,0.0
2022-12-09 23:00:00,1.06445,1.06445,1.06445,1.06445,0.0
2022-12-12 23:00:00,1.06215,1.06215,1.06215,1.06215,0.0
2022-12-13 23:00:00,1.0735,1.0735,1.0735,1.0735,0.0
2022-12-14 23:00:00,1.07625,1.07625,1.07625,1.07625,0.0
2022-12-15 23:00:00,1.072,1.072,1.072,1.072,0.0
2022-12-16 23:00:00,1.06915,1.06915,1.06915,1.06915,0.0
2022-12-19 23:00:00,1.06955,1.06955,1.06955,1.06955,0.0
2022-12-20 23:00:00,1.0713,1.0713,1.0713,1.0713,0.0
2022-12-21 23:00:00,1.0702,1.0702,1.0702,1.0702,0.0
2022-12-22 23:00:00,1.0679,1.0679,1.0679,1.0679,0.0
2022-12-23 23:00:00,1.07055,1.07055,1.07055,1.07055,0.0
2022-12-27 23:00:00,1.0726,1.0726,1.0726,1.0726,0.0
2022-12-28 23:00:00,1.06985,1.06985,1.06985,1.06985,0.0
2022-12-29 23:00:00,1.0757,1.0757,1.0757,1.0757,0.0
2022-12-30 23:00:00,1.0778,1.0778,1.0778,1.0778,0.0
2023-01-03 23:00:00,1.0641,1.0641,1.0641,1.0641,0.0
2023-01-04 23:00:00,1.068,1.068,1.068,1.068,0.0
2023-01-05 23:00:00,1.06,1.0602,1.06,1.0602,2.0
2023-01-06 23:00:00,1.0718,1.0718,1.0718,1.0718,0.0
2023-01-09 23:00:00,1.08235,1.08235,1.08235,1.08235,0.0
2023-01-10 23:00:00,1.0811,1.0811,1.0811,1.0811,0.0
2023-01-11 23:00:00,1.0814,1.08335,1.081,1.08335,19.0
2023-01-12 23:00:00,1.0916,1.0916,1.0916,1.0916,0.0
2023-01-13 23:00:00,1.0895,1.0895,1.0895,1.0895,0.0
2023-01-16 23:00:00,1.0895,1.0895,1.0895,1.0895,0.0
2023-01-17 23:00:00,1.09035,1.09055,1.0855,1.0857,19.0
2023-01-18 23:00:00,1.09205,1.09205,1.0857,1.08595,21.0
2023-01-19 23:00:00,1.08745,1.08915,1.0847,1.08915,12.0
2023-01-20 23:00:00,1.09,1.09135,1.0898,1.09135,27.0
2023-01-23 23:00:00,1.09155,1.09165,1.09155,1.09165,2.0
2023-01-24 23:00:00,1.09,1.0942,1.09,1.0942,14.0
2023-01-25 23:00:00,1.0937,1.09715,1.0937,1.09715,5.0
2023-01-26 23:00:00,1.09135,1.09435,1.0911,1.09435,51.0
2023-01-27 23:00:00,1.0901,1.0923,1.0901,1.0923,4.0
2023-01-30 23:00:00,1.0935,1.0935,1.0899,1.0899,3.0
2023-01-31 23:00:00,1.0909,1.0915,1.0908,1.0915,14.0
2023-02-01 23:00:00,1.09585,1.10735,1.09585,1.1028,74.0
2023-02-02 23:00:00,1.09675,1.09955,1.09355,1.0956,44.0
