DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2023-03-14 23:00:00,1.0835,1.0854,1.0813,1.0846,2114.0
2023-03-15 23:00:00,1.0626,1.0698,1.0626,1.0696,1326.0
2023-03-16 23:00:00,1.0686,1.0738,1.0674,1.072,1580.0
2023-03-17 23:00:00,1.0729,1.0787,1.0724,1.0785,419.0
2023-03-20 23:00:00,1.0825,1.0834,1.0814,1.0828,656.0
2023-03-21 23:00:00,1.0885,1.089,1.086,1.0868,414.0
2023-03-22 23:00:00,1.0888,1.1011,1.0875,1.0979,300.0
2023-03-23 23:00:00,1.0983,1.1001,1.0919,1.0938,487.0
2023-03-24 23:00:00,1.0857,1.0864,1.084,1.0858,98.0
2023-03-27 23:00:00,1.0889,1.0895,1.0875,1.0895,512.0
2023-03-28 23:00:00,1.0926,1.0944,1.0916,1.0942,470.0
2023-03-29 23:00:00,1.0934,1.095,1.0924,1.0944,239.0
2023-03-30 23:00:00,1.1018,1.1018,1.099,1.1001,391.0
2023-03-31 23:00:00,1.0977,1.0994,1.0936,1.0951,382.0
2023-04-03 23:00:00,1.0967,1.101,1.0966,1.0992,566.0
2023-04-04 09:30:00,1.0995,1.1,1.0995,1.1,28.0
2023-04-04 10:00:00,1.101,1.1061,1.101,1.1061,460.0
2023-04-04 11:00:00,1.1057,1.1058,1.1041,1.1041,105.0
2023-04-04 12:00:00,1.104,1.104,1.1035,1.1035,4.0
2023-04-04 13:00:00,1.1039,1.1039,1.1039,1.1039,1.0
2023-04-04 14:00:00,1.1038,1.1045,1.1038,1.1045,22.0
2023-04-04 15:00:00,1.1045,1.1045,1.1045,1.1045,0.0
2023-04-04 16:00:00,1.1045,1.1045,1.1045,1.1045,0.0
2023-04-04 23:00:00,1.0995,1.1061,1.0995,1.1045,620.0
2023-04-05 09:30:00,1.1033,1.1033,1.1028,1.1028,26.0
2023-04-05 10:00:00,1.104,1.1054,1.0993,1.1001,315.0
2023-04-05 11:00:00,1.1002,1.1008,1.1002,1.1005,10.0
2023-04-05 12:00:00,1.1,1.1,1.0986,1.0986,8.0
2023-04-05 13:00:00,1.0984,1.0987,1.098,1.098,25.0
2023-04-05 14:00:00,1.099,1.099,1.099,1.099,2.0
2023-04-05 15:00:00,1.0996,1.0996,1.0996,1.0996,2.0
2023-04-05 16:00:00,1.0998,1.0998,1.0998,1.0998,1.0
2023-04-05 23:00:00,1.1033,1.1054,1.098,1.0998,389.0
2023-04-06 09:30:00,1.0987,1.0987,1.0977,1.0982,48.0
2023-04-06 10:00:00,1.0984,1.1012,1.0981,1.101,156.0
2023-04-06 11:00:00,1.1016,1.1016,1.101,1.1013,47.0
2023-04-06 12:00:00,1.1017,1.1025,1.1017,1.1022,102.0
2023-04-06 13:00:00,1.102,1.102,1.1019,1.102,8.0
2023-04-06 14:00:00,1.1022,1.1022,1.102,1.102,2.0
2023-04-06 15:00:00,1.1013,1.1013,1.1012,1.1012,2.0
2023-04-06 16:00:00,1.101,1.1011,1.1007,1.1007,16.0
2023-04-06 23:00:00,1.0987,1.1025,1.0977,1.1021,381.0
2023-04-10 09:30:00,1.0944,1.0946,1.0931,1.0932,38.0
2023-04-10 10:00:00,1.0931,1.0934,1.0924,1.0929,46.0
2023-04-10 11:00:00,1.0935,1.0938,1.0935,1.0938,6.0
2023-04-10 12:00:00,1.0938,1.0938,1.0938,1.0938,0.0
2023-04-10 13:00:00,1.0949,1.095,1.0949,1.095,3.0
2023-04-10 14:00:00,1.0951,1.0952,1.0951,1.0952,32.0
2023-04-10 15:00:00,1.0953,1.0953,1.0951,1.0953,4.0
2023-04-10 16:00:00,1.0953,1.0953,1.0953,1.0953,0.0
2023-04-10 23:00:00,1.0944,1.0953,1.0924,1.0953,129.0
2023-04-11 09:30:00,1.101,1.1014,1.1006,1.1014,138.0
2023-04-11 10:00:00,1.1015,1.1017,1.1001,1.1001,198.0
2023-04-11 11:00:00,1.1,1.1005,1.0997,1.0997,11.0
2023-04-11 12:00:00,1.0997,1.0997,1.099,1.0992,14.0
2023-04-11 13:00:00,1.0988,1.0995,1.0988,1.0995,2.0
2023-04-11 14:00:00,1.0995,1.0995,1.0995,1.0995,0.0
2023-04-11 15:00:00,1.1,1.1005,1.1,1.1005,2.0
2023-04-11 16:00:00,1.1005,1.1005,1.1004,1.1004,2.0
2023-04-11 23:00:00,1.101,1.1017,1.0988,1.1004,367.0
2023-04-12 09:30:00,1.1069,1.1075,1.1054,1.1063,468.0
2023-04-12 10:00:00,1.1064,1.1087,1.1064,1.1064,992.0
2023-04-12 11:00:00,1.1065,1.1074,1.1061,1.1074,88.0
2023-04-12 12:00:00,1.1076,1.1083,1.1076,1.1079,3.0
2023-04-12 13:00:00,1.1086,1.1087,1.1086,1.1087,4.0
2023-04-12 14:00:00,1.1086,1.1089,1.1077,1.1083,498.0
2023-04-12 15:00:00,1.1081,1.1081,1.1074,1.1074,293.0
2023-04-12 16:00:00,1.1076,1.1076,1.1075,1.1075,3.0
2023-04-12 23:00:00,1.1069,1.1089,1.1054,1.1075,2349.0
2023-04-13 09:30:00,1.114,1.1151,1.114,1.1148,125.0
2023-04-13 10:00:00,1.1146,1.1146,1.113,1.113,439.0
2023-04-13 11:00:00,1.1137,1.1145,1.1134,1.1144,254.0
2023-04-13 12:00:00,1.1135,1.114,1.1133,1.114,18.0
2023-04-13 13:00:00,1.1141,1.1141,1.114,1.114,4.0
2023-04-13 14:00:00,1.1132,1.1132,1.113,1.1132,15.0
2023-04-13 15:00:00,1.113,1.1135,1.113,1.1131,164.0
2023-04-13 16:00:00,1.113,1.1132,1.113,1.1132,2.0
2023-04-13 23:00:00,1.114,1.1151,1.113,1.1132,1021.0
2023-04-14 09:30:00,1.1109,1.1117,1.1104,1.1117,303.0
2023-04-14 10:00:00,1.1112,1.1112,1.1085,1.109,372.0
2023-04-14 11:00:00,1.1094,1.1095,1.1062,1.1062,68.0
2023-04-14 12:00:00,1.1069,1.1069,1.106,1.1063,13.0
2023-04-14 13:00:00,1.1067,1.1075,1.1067,1.107,7.0
2023-04-14 14:00:00,1.1075,1.1083,1.1075,1.1083,27.0
2023-04-14 15:00:00,1.1085,1.1085,1.1085,1.1085,1.0
2023-04-14 16:00:00,1.1081,1.1081,1.1081,1.1081,1.0
2023-04-14 23:00:00,1.1109,1.1117,1.106,1.1081,792.0
2023-04-17 09:30:00,1.1037,1.1039,1.1016,1.1018,61.0
2023-04-17 10:00:00,1.1017,1.1017,1.0995,1.0997,67.0
2023-04-17 11:00:00,1.1003,1.1007,1.0998,1.0998,29.0
2023-04-17 12:00:00,1.0997,1.0998,1.0997,1.0998,2.0
2023-04-17 13:00:00,1.1008,1.101,1.1008,1.1008,6.0
2023-04-17 14:00:00,1.1007,1.101,1.1007,1.101,17.0
2023-04-17 15:00:00,1.1014,1.1014,1.1014,1.1014,16.0
2023-04-17 16:00:00,1.1015,1.1015,1.1015,1.1015,1.0
2023-04-17 23:00:00,1.1037,1.1039,1.0995,1.1015,199.0
2023-04-18 09:30:00,1.103,1.1052,1.103,1.1045,104.0
2023-04-18 10:00:00,1.1049,1.1054,1.1047,1.1047,76.0
2023-04-18 11:00:00,1.1049,1.1051,1.1043,1.1044,33.0
2023-04-18 12:00:00,1.1053,1.1053,1.1053,1.1053,16.0
2023-04-18 13:00:00,1.1053,1.1053,1.1053,1.1053,0.0
2023-04-18 14:00:00,1.1056,1.106,1.1056,1.106,23.0
2023-04-18 15:00:00,1.106,1.106,1.1057,1.1057,23.0
2023-04-18 16:00:00,1.1056,1.1056,1.1056,1.1056,1.0
2023-04-18 23:00:00,1.103,1.106,1.103,1.1056,276.0
2023-04-19 09:30:00,1.1041,1.1045,1.104,1.1045,158.0
2023-04-19 10:00:00,1.105,1.1062,1.1042,1.1042,350.0
2023-04-19 11:00:00,1.1041,1.1043,1.1039,1.1041,8.0
2023-04-19 12:00:00,1.1039,1.1051,1.1039,1.1051,32.0
2023-04-19 13:00:00,1.1046,1.1046,1.1046,1.1046,1.0
2023-04-19 14:00:00,1.1046,1.1046,1.1046,1.1046,0.0
2023-04-19 15:00:00,1.104,1.104,1.104,1.104,2.0
2023-04-19 16:00:00,1.1042,1.1042,1.1042,1.1042,1.0
2023-04-19 23:00:00,1.1041,1.1062,1.1039,1.1042,552.0
2023-04-20 09:30:00,1.1053,1.1063,1.1053,1.1061,30.0
2023-04-20 10:00:00,1.107,1.107,1.1061,1.1061,4.0
2023-04-20 11:00:00,1.1063,1.1063,1.1049,1.1056,43.0
2023-04-20 12:00:00,1.1054,1.1054,1.1047,1.1048,57.0
2023-04-20 13:00:00,1.1049,1.1049,1.1049,1.1049,2.0
2023-04-20 14:00:00,1.1046,1.1046,1.1043,1.1043,42.0
2023-04-20 15:00:00,1.104,1.104,1.104,1.104,2.0
