DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2022-05-04 23:00:00,96.655,96.825,96.59,96.825,35.0
2022-05-05 23:00:00,96.73,96.73,96.695,96.695,1.0
2022-05-06 23:00:00,96.76,96.76,96.74,96.74,29.0
2022-05-09 23:00:00,96.845,96.88,96.845,96.88,5.0
2022-05-10 23:00:00,96.905,96.91,96.9,96.905,11.0
2022-05-11 23:00:00,96.835,96.92,96.835,96.92,49.0
2022-05-12 23:00:00,97.005,97.085,97.005,97.085,56.0
2022-05-13 23:00:00,96.955,97.005,96.955,97.0,27.0
2022-05-16 23:00:00,97.05,97.08,97.05,97.06,115.0
2022-05-17 23:00:00,96.935,96.935,96.895,96.895,3.0
2022-05-18 23:00:00,96.93,96.955,96.93,96.935,14.0
2022-05-19 23:00:00,97.06,97.06,97.0,97.0,14.0
2022-05-20 23:00:00,97.08,97.095,97.08,97.08,25.0
2022-05-23 23:00:00,97.045,97.045,97.04,97.04,75.0
2022-05-24 23:00:00,97.225,97.225,97.21,97.21,1.0
2022-05-25 23:00:00,97.19,97.215,97.19,97.215,1.0
2022-05-26 23:00:00,97.185,97.195,97.185,97.195,2.0
2022-05-27 23:00:00,97.165,97.165,97.165,97.165,5.0
2022-05-31 23:00:00,97.09,97.09,97.09,97.09,0.0
2022-06-01 23:00:00,96.92,96.92,96.92,96.92,0.0
2022-06-02 23:00:00,96.94,96.955,96.925,96.94,47.0
2022-06-03 23:00:00,96.895,96.895,96.895,96.895,0.0
2022-06-06 23:00:00,96.805,96.82,96.805,96.815,68.0
2022-06-07 23:00:00,96.835,96.835,96.82,96.83,135.0
2022-06-08 23:00:00,96.81,96.81,96.79,96.79,95.0
2022-06-09 23:00:00,96.74,96.74,96.71,96.71,1.0
2022-06-10 23:00:00,96.555,96.555,96.44,96.46,90.0
2022-06-13 23:00:00,96.255,96.26,96.095,96.195,58.0
2022-06-14 23:00:00,96.22,96.225,96.16,96.195,80.0
2022-06-15 23:00:00,96.32,96.48,96.27,96.38,38.0
2022-06-16 23:00:00,96.46,96.505,96.46,96.48,10.0
2022-06-17 23:00:00,96.435,96.485,96.435,96.485,126.0
2022-06-21 23:00:00,96.47,96.49,96.47,96.49,2.0
2022-06-22 23:00:00,96.65,96.695,96.65,96.69,40.0
2022-06-23 23:00:00,96.905,96.915,96.8,96.8,5.0
2022-06-24 23:00:00,96.87,96.87,96.785,96.785,13.0
2022-06-27 23:00:00,96.765,96.765,96.695,96.73,71.0
2022-06-28 23:00:00,96.695,96.725,96.695,96.715,53.0
2022-06-29 23:00:00,96.73,96.82,96.73,96.815,10.0
2022-06-30 23:00:00,97.02,97.025,96.97,97.025,13.0
2022-07-01 23:00:00,97.21,97.21,97.17,97.17,24.0
2022-07-05 23:00:00,97.25,97.265,97.25,97.265,15.0
2022-07-06 23:00:00,97.27,97.27,97.04,97.045,63.0
2022-07-07 23:00:00,96.955,96.96,96.955,96.96,111.0
2022-07-08 23:00:00,96.84,96.84,96.84,96.84,0.0
2022-07-11 23:00:00,96.98,96.98,96.98,96.98,1.0
2022-07-12 23:00:00,97.02,97.02,97.02,97.02,3.0
2022-07-13 23:00:00,97.005,97.005,96.99,96.99,4.0
2022-07-14 23:00:00,96.8,96.94,96.8,96.93,30.0
2022-07-15 23:00:00,96.945,96.945,96.945,96.945,100.0
2022-07-18 23:00:00,96.89,96.9,96.89,96.9,38.0
2022-07-19 23:00:00,96.89,96.89,96.785,96.79,96.0
2022-07-20 23:00:00,96.805,96.805,96.805,96.805,3.0
2022-07-21 23:00:00,96.945,97.03,96.945,97.02,12.0
2022-07-22 23:00:00,97.22,97.255,97.185,97.2,40.0
2022-07-25 23:00:00,97.135,97.135,97.105,97.105,43.0
2022-07-26 23:00:00,97.11,97.11,97.045,97.045,65.0
2022-07-27 23:00:00,97.03,97.145,97.02,97.1,32.0
2022-07-28 23:00:00,97.265,97.265,97.215,97.25,32.0
2022-07-29 23:00:00,97.245,97.285,97.235,97.235,18.0
2022-08-01 23:00:00,97.2,97.22,97.19,97.21,34.0
2022-08-02 23:00:00,97.13,97.14,97.03,97.03,100.0
2022-08-03 23:00:00,96.94,96.99,96.86,96.99,146.0
2022-08-04 23:00:00,96.955,97.055,96.955,97.03,40.0
2022-08-05 23:00:00,96.81,96.84,96.795,96.805,33.0
2022-08-08 23:00:00,96.84,96.86,96.84,96.85,57.0
2022-08-09 23:00:00,96.76,96.77,96.75,96.75,149.0
2022-08-10 23:00:00,96.91,96.92,96.77,96.77,17.0
2022-08-11 23:00:00,96.77,96.77,96.72,96.72,6.0
2022-08-12 23:00:00,96.755,96.76,96.68,96.68,44.0
2022-08-15 23:00:00,96.735,96.735,96.735,96.735,0.0
2022-08-16 23:00:00,96.685,96.69,96.68,96.68,33.0
2022-08-17 23:00:00,96.565,96.605,96.565,96.605,97.0
2022-08-18 23:00:00,96.68,96.68,96.635,96.635,42.0
2022-08-19 23:00:00,96.6,96.62,96.6,96.62,90.0
2022-08-22 23:00:00,96.515,96.52,96.46,96.52,494.0
2022-08-23 23:00:00,96.505,96.61,96.505,96.53,531.0
2022-08-24 23:00:00,96.49,96.49,96.46,96.49,181.0
2022-08-25 23:00:00,96.53,96.53,96.485,96.49,704.0
2022-08-26 23:00:00,96.48,96.48,96.425,96.465,121.0
2022-08-29 23:00:00,96.405,96.425,96.4,96.405,325.0
2022-08-30 23:00:00,96.405,96.405,96.32,96.34,198.0
2022-08-31 23:00:00,96.35,96.37,96.34,96.355,153.0
2022-09-01 23:00:00,96.29,96.315,96.275,96.29,119.0
2022-09-02 23:00:00,96.405,96.445,96.385,96.445,123.0
2022-09-06 23:00:00,96.355,96.355,96.305,96.325,172.0
2022-09-07 23:00:00,96.35,96.395,96.35,96.395,18.0
2022-09-08 23:00:00,96.345,96.36,96.33,96.335,22.0
2022-09-09 23:00:00,96.33,96.34,96.29,96.29,31.0
2022-09-12 23:00:00,96.315,96.325,96.285,96.285,99.0
2022-09-13 23:00:00,96.105,96.12,96.04,96.07,198.0
2022-09-14 23:00:00,95.985,96.02,95.975,95.975,108.0
2022-09-15 23:00:00,95.92,95.93,95.9,95.9,266.0
2022-09-16 23:00:00,95.855,95.94,95.855,95.925,91.0
2022-09-19 23:00:00,95.835,95.855,95.835,95.855,293.0
2022-09-20 23:00:00,95.815,95.835,95.8,95.8,275.0
2022-09-21 23:00:00,95.815,95.815,95.63,95.715,225.0
2022-09-22 23:00:00,95.6,95.6,95.56,95.57,68.0
2022-09-23 23:00:00,95.555,95.555,95.49,95.495,291.0
2022-09-26 23:00:00,95.515,95.525,95.39,95.44,809.0
2022-09-27 23:00:00,95.56,95.58,95.5,95.565,1700.0
2022-09-28 23:00:00,95.7,95.81,95.685,95.765,373.0
2022-09-29 23:00:00,95.675,95.745,95.655,95.705,141.0
2022-09-30 23:00:00,95.715,95.77,95.65,95.65,105.0
