DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2023-02-27 23:00:00,1352.0,1352.0,1352.0,1352.0,0.0
2023-03-06 23:00:00,1382.5,1382.5,1382.5,1382.5,0.0
2023-03-13 23:00:00,1359.75,1359.75,1359.75,1359.75,0.0
2023-03-20 23:00:00,1347.75,1347.75,1347.75,1347.75,0.0
2023-03-27 23:00:00,1382.0,1382.0,1382.0,1382.0,0.0
2023-03-31 23:00:00,1385.0,1391.75,1385.0,1387.75,12.0
2023-04-01 23:00:00,1384.5,1390.25,1384.25,1390.25,12.0
2023-04-03 23:00:00,1389.0,1390.0,1385.0,1385.0,17.0
2023-04-04 09:00:00,1396.5,1396.5,1396.5,1396.5,1.0
2023-04-04 10:00:00,1396.5,1396.5,1396.5,1396.5,0.0
2023-04-04 11:00:00,1396.5,1396.5,1396.5,1396.5,0.0
2023-04-04 12:00:00,1393.0,1393.0,1391.25,1391.25,2.0
2023-04-04 13:00:00,1392.5,1392.75,1392.25,1392.25,5.0
2023-04-04 14:00:00,1392.25,1392.25,1392.25,1392.25,0.0
2023-04-04 15:00:00,1392.25,1392.25,1392.25,1392.25,0.0
2023-04-04 16:00:00,1392.25,1392.25,1392.25,1392.25,0.0
2023-04-04 17:00:00,1393.5,1393.5,1393.5,1393.5,1.0
2023-04-04 20:45:00,1398.0,1398.0,1398.0,1398.0,2.0
2023-04-04 21:00:00,1399.0,1399.0,1398.5,1398.5,2.0
2023-04-04 22:00:00,1400.0,1400.0,1400.0,1400.0,1.0
2023-04-04 23:00:00,1387.75,1395.25,1387.75,1392.0,15.0
2023-04-05 01:00:00,1397.0,1397.0,1397.0,1397.0,0.0
2023-04-05 05:00:00,1388.5,1388.5,1388.5,1388.5,1.0
2023-04-05 06:00:00,1388.5,1388.5,1388.5,1388.5,0.0
2023-04-05 07:00:00,1390.75,1390.75,1390.75,1390.75,1.0
2023-04-05 08:00:00,1390.75,1390.75,1390.75,1390.75,0.0
2023-04-05 09:00:00,1390.75,1390.75,1390.75,1390.75,0.0
2023-04-05 10:00:00,1381.75,1381.75,1381.75,1381.75,1.0
2023-04-05 11:00:00,1378.0,1378.25,1377.25,1377.5,7.0
2023-04-05 12:00:00,1377.75,1377.75,1377.75,1377.75,2.0
2023-04-05 13:00:00,1377.75,1377.75,1377.75,1377.75,0.0
2023-04-05 14:00:00,1379.0,1380.0,1379.0,1380.0,2.0
2023-04-05 15:00:00,1380.0,1380.0,1380.0,1380.0,1.0
2023-04-05 16:00:00,1380.5,1381.0,1380.5,1381.0,4.0
2023-04-05 17:00:00,1381.0,1381.0,1381.0,1381.0,0.0
2023-04-05 20:45:00,1377.5,1377.5,1377.5,1377.5,1.0
2023-04-05 21:00:00,1375.75,1378.25,1371.25,1378.0,54.0
2023-04-05 22:00:00,1378.0,1378.0,1378.0,1378.0,0.0
2023-04-05 23:00:00,1376.25,1376.25,1376.0,1376.0,6.0
2023-04-06 01:00:00,1373.5,1373.5,1373.0,1373.0,59.0
2023-04-06 07:00:00,1376.5,1376.5,1376.5,1376.5,1.0
2023-04-06 08:00:00,1376.5,1376.5,1376.5,1376.5,0.0
2023-04-06 09:00:00,1373.25,1373.5,1373.25,1373.25,7.0
2023-04-06 10:00:00,1373.75,1376.25,1373.5,1376.0,7.0
2023-04-06 11:00:00,1377.25,1377.25,1376.75,1376.75,8.0
2023-04-06 12:00:00,1380.0,1380.0,1380.0,1380.0,1.0
2023-04-06 13:00:00,1380.0,1380.0,1380.0,1380.0,0.0
2023-04-06 14:00:00,1380.0,1380.0,1380.0,1380.0,0.0
2023-04-06 15:00:00,1380.0,1380.0,1380.0,1380.0,0.0
2023-04-06 16:00:00,1380.0,1380.0,1380.0,1380.0,0.0
2023-04-06 17:00:00,1380.0,1380.0,1380.0,1380.0,0.0
2023-04-06 21:00:00,1380.0,1380.0,1380.0,1380.0,1.0
2023-04-06 22:00:00,1376.5,1376.5,1375.75,1375.75,10.0
2023-04-06 23:00:00,1374.5,1375.25,1374.5,1375.25,11.0
2023-04-07 01:00:00,1378.0,1378.0,1378.0,1378.0,10.0
2023-04-07 23:00:00,1375.75,1375.75,1375.75,1375.75,0.0
2023-04-09 20:45:00,1380.5,1380.5,1380.5,1380.5,1.0
2023-04-09 21:00:00,1380.5,1380.5,1380.5,1380.5,0.0
2023-04-09 22:00:00,1379.5,1379.5,1379.5,1379.5,1.0
2023-04-09 23:00:00,1382.0,1383.0,1382.0,1383.0,2.0
2023-04-10 01:00:00,1382.0,1382.0,1382.0,1382.0,5.0
2023-04-10 02:15:00,1380.0,1380.0,1380.0,1380.0,1.0
2023-04-10 03:00:00,1380.0,1380.0,1380.0,1380.0,0.0
2023-04-10 04:00:00,1380.0,1380.0,1380.0,1380.0,0.0
2023-04-10 05:00:00,1380.0,1380.0,1380.0,1380.0,0.0
2023-04-10 06:00:00,1380.0,1380.0,1380.0,1380.0,0.0
2023-04-10 07:00:00,1380.0,1380.0,1380.0,1380.0,0.0
2023-04-10 08:00:00,1380.0,1380.0,1380.0,1380.0,0.0
2023-04-10 09:00:00,1380.0,1380.0,1380.0,1380.0,0.0
2023-04-10 10:00:00,1380.0,1380.0,1380.0,1380.0,0.0
2023-04-10 11:00:00,1380.0,1380.0,1380.0,1380.0,0.0
2023-04-10 12:00:00,1380.0,1380.0,1380.0,1380.0,0.0
2023-04-10 13:00:00,1380.0,1380.0,1380.0,1380.0,0.0
2023-04-10 14:00:00,1376.75,1376.75,1376.75,1376.75,15.0
2023-04-10 15:00:00,1376.75,1376.75,1376.75,1376.75,0.0
2023-04-10 16:00:00,1376.75,1376.75,1376.75,1376.75,0.0
2023-04-10 17:00:00,1376.75,1376.75,1376.75,1376.75,0.0
2023-04-10 20:45:00,1381.0,1382.5,1381.0,1382.5,2.0
2023-04-10 21:00:00,1385.25,1387.0,1385.0,1387.0,3.0
2023-04-10 22:00:00,1388.75,1390.5,1388.75,1390.5,10.0
2023-04-10 23:00:00,1380.5,1383.0,1379.5,1382.0,19.0
2023-04-11 01:00:00,1389.25,1389.25,1389.25,1389.25,1.0
2023-04-11 02:15:00,1391.0,1391.0,1391.0,1391.0,2.0
2023-04-11 03:00:00,1391.0,1391.0,1391.0,1391.0,0.0
2023-04-11 04:00:00,1391.0,1391.0,1391.0,1391.0,0.0
2023-04-11 05:00:00,1391.25,1391.25,1391.25,1391.25,2.0
2023-04-11 06:00:00,1391.25,1391.25,1391.25,1391.25,0.0
2023-04-11 07:00:00,1390.0,1390.0,1390.0,1390.0,1.0
2023-04-11 08:00:00,1390.0,1390.0,1390.0,1390.0,0.0
2023-04-11 09:00:00,1391.75,1391.75,1391.75,1391.75,1.0
2023-04-11 10:00:00,1391.75,1391.75,1391.75,1391.75,0.0
2023-04-11 11:00:00,1391.25,1391.25,1391.25,1391.25,1.0
2023-04-11 12:00:00,1391.25,1391.25,1391.25,1391.25,0.0
2023-04-11 13:00:00,1391.25,1391.25,1391.25,1391.25,0.0
2023-04-11 14:00:00,1391.25,1391.25,1391.25,1391.25,0.0
2023-04-11 15:00:00,1391.25,1391.25,1391.25,1391.25,0.0
2023-04-11 16:00:00,1391.0,1391.0,1391.0,1391.0,2.0
2023-04-11 17:00:00,1391.0,1391.0,1391.0,1391.0,0.0
2023-04-11 21:00:00,1384.75,1387.0,1384.75,1387.0,6.0
2023-04-11 22:00:00,1387.75,1387.75,1386.75,1386.75,51.0
2023-04-11 23:00:00,1380.0,1391.0,1376.75,1389.25,34.0
2023-04-12 01:00:00,1390.0,1390.0,1390.0,1390.0,0.0
2023-04-12 02:15:00,1384.75,1386.25,1384.75,1386.25,2.0
2023-04-12 03:00:00,1388.0,1388.0,1388.0,1388.0,4.0
2023-04-12 04:00:00,1389.25,1389.5,1389.25,1389.5,2.0
2023-04-12 05:00:00,1389.5,1389.5,1389.5,1389.5,0.0
2023-04-12 06:00:00,1389.5,1389.5,1389.5,1389.5,0.0
2023-04-12 07:00:00,1389.5,1389.5,1389.5,1389.5,0.0
2023-04-12 08:00:00,1389.75,1393.5,1389.75,1393.5,6.0
2023-04-12 09:00:00,1393.75,1394.0,1393.75,1394.0,2.0
2023-04-12 10:00:00,1391.0,1391.0,1391.0,1391.0,1.0
2023-04-12 11:00:00,1387.0,1387.0,1386.25,1386.25,2.0
2023-04-12 12:00:00,1386.25,1386.25,1386.25,1386.25,0.0
2023-04-12 13:00:00,1390.5,1390.5,1390.5,1390.5,1.0
2023-04-12 14:00:00,1389.5,1389.5,1389.5,1389.5,1.0
2023-04-12 15:00:00,1389.5,1389.5,1389.5,1389.5,0.0
2023-04-12 16:00:00,1384.0,1384.0,1384.0,1384.0,2.0
2023-04-12 17:00:00,1384.0,1384.0,1384.0,1384.0,0.0
2023-04-12 20:45:00,1381.75,1381.75,1381.75,1381.75,1.0
2023-04-12 21:00:00,1385.0,1386.0,1382.5,1386.0,21.0
2023-04-12 22:00:00,1386.0,1386.0,1386.0,1386.0,0.0
2023-04-12 23:00:00,1391.0,1391.75,1384.75,1388.5,82.0
2023-04-13 01:00:00,1380.75,1381.0,1380.75,1381.0,2.0
2023-04-13 02:15:00,1381.75,1381.75,1381.75,1381.75,1.0
2023-04-13 03:00:00,1381.75,1381.75,1381.75,1381.75,0.0
2023-04-13 04:00:00,1383.25,1383.25,1382.0,1382.0,2.0
2023-04-13 05:00:00,1382.0,1382.0,1382.0,1382.0,0.0
2023-04-13 06:00:00,1382.0,1382.0,1382.0,1382.0,0.0
2023-04-13 07:00:00,1378.25,1378.25,1378.25,1378.25,1.0
2023-04-13 08:00:00,1380.0,1382.25,1380.0,1382.25,5.0
2023-04-13 09:00:00,1382.25,1382.25,1382.25,1382.25,0.0
2023-04-13 10:00:00,1383.5,1383.75,1383.5,1383.75,2.0
2023-04-13 11:00:00,1383.75,1383.75,1383.75,1383.75,0.0
2023-04-13 12:00:00,1387.25,1387.25,1387.25,1387.25,1.0
2023-04-13 13:00:00,1387.25,1387.25,1387.25,1387.25,0.0
2023-04-13 14:00:00,1387.25,1387.25,1387.25,1387.25,0.0
2023-04-13 15:00:00,1388.75,1388.75,1388.75,1388.75,2.0
2023-04-13 16:00:00,1388.0,1388.0,1388.0,1388.0,2.0
2023-04-13 17:00:00,1388.0,1388.0,1388.0,1388.0,0.0
2023-04-13 21:00:00,1387.0,1387.0,1387.0,1387.0,1.0
2023-04-13 22:00:00,1387.75,1388.5,1387.75,1388.5,41.0
2023-04-13 23:00:00,1384.75,1394.0,1380.75,1381.0,50.0
2023-04-14 01:00:00,1393.25,1393.25,1392.0,1392.0,54.0
2023-04-14 03:00:00,1392.25,1392.25,1392.25,1392.25,1.0
2023-04-14 04:00:00,1392.25,1392.25,1392.25,1392.25,0.0
2023-04-14 05:00:00,1392.25,1392.25,1392.25,1392.25,0.0
2023-04-14 06:00:00,1392.25,1392.25,1392.25,1392.25,0.0
2023-04-14 07:00:00,1392.25,1392.25,1392.25,1392.25,0.0
2023-04-14 08:00:00,1392.0,1392.0,1389.25,1389.25,3.0
2023-04-14 09:00:00,1392.5,1392.5,1392.5,1392.5,1.0
2023-04-14 10:00:00,1389.0,1389.0,1389.0,1389.0,1.0
2023-04-14 11:00:00,1387.75,1387.75,1387.0,1387.0,2.0
2023-04-14 12:00:00,1387.0,1387.0,1385.25,1385.25,6.0
2023-04-14 13:00:00,1386.25,1386.25,1386.25,1386.25,1.0
2023-04-14 14:00:00,1386.25,1386.25,1386.25,1386.25,0.0
2023-04-14 15:00:00,1386.25,1386.25,1386.25,1386.25,0.0
2023-04-14 16:00:00,1389.5,1389.5,1389.5,1389.5,2.0
2023-04-14 17:00:00,1389.5,1389.5,1389.5,1389.5,0.0
2023-04-14 23:00:00,1395.25,1395.25,1395.25,1395.25,46.0
2023-04-15 23:00:00,1392.25,1392.5,1385.25,1389.5,17.0
2023-04-16 20:45:00,1386.75,1386.75,1385.0,1385.0,4.0
2023-04-16 21:00:00,1383.75,1384.5,1383.75,1384.0,5.0
