DATETIME,FINAL,HIGH,LOW,OPEN,VOLUME
2022-05-04 23:00:00,4.086,4.086,4.086,4.086,0.0
2022-05-05 23:00:00,4.119,4.119,4.119,4.119,0.0
2022-05-06 23:00:00,4.085,4.085,4.085,4.085,0.0
2022-05-09 23:00:00,4.008,4.008,4.008,4.008,0.0
2022-05-10 23:00:00,4.046,4.046,4.046,4.046,0.0
2022-05-11 23:00:00,4.105,4.105,4.105,4.105,0.0
2022-05-12 23:00:00,4.115,4.115,4.115,4.115,0.0
2022-05-13 23:00:00,4.189,4.189,4.189,4.189,0.0
2022-05-16 23:00:00,4.219,4.219,4.219,4.219,0.0
2022-05-17 23:00:00,4.216,4.216,4.216,4.216,0.0
2022-05-18 23:00:00,4.234,4.234,4.234,4.234,0.0
2022-05-19 23:00:00,4.173,4.173,4.173,4.173,0.0
2022-05-20 23:00:00,4.182,4.182,4.182,4.182,0.0
2022-05-23 23:00:00,4.223,4.223,4.223,4.223,0.0
2022-05-24 23:00:00,4.202,4.202,4.202,4.202,0.0
2022-05-25 23:00:00,4.233,4.233,4.233,4.233,0.0
2022-05-26 23:00:00,4.262,4.262,4.262,4.262,0.0
2022-05-27 23:00:00,4.286,4.286,4.286,4.286,0.0
2022-05-31 23:00:00,4.217,4.217,4.217,4.217,0.0
2022-06-01 23:00:00,4.324,4.324,4.324,4.324,0.0
2022-06-02 23:00:00,4.309,4.309,4.309,4.309,0.0
2022-06-03 23:00:00,4.356,4.356,4.356,4.356,0.0
2022-06-06 23:00:00,4.34,4.34,4.34,4.34,0.0
2022-06-07 23:00:00,4.415,4.415,4.415,4.415,0.0
2022-06-08 23:00:00,4.47,4.47,4.47,4.47,0.0
2022-06-09 23:00:00,4.556,4.556,4.556,4.556,0.0
2022-06-10 23:00:00,4.593,4.593,4.593,4.593,0.0
2022-06-13 23:00:00,4.536,4.536,4.536,4.536,0.0
2022-06-14 23:00:00,4.458,4.458,4.458,4.458,0.0
2022-06-15 23:00:00,4.519,4.519,4.519,4.519,0.0
2022-06-16 23:00:00,4.533,4.533,4.533,4.533,0.0
2022-06-17 23:00:00,4.43,4.43,4.43,4.43,0.0
2022-06-21 23:00:00,4.417,4.417,4.417,4.417,0.0
2022-06-22 23:00:00,4.472,4.472,4.472,4.472,0.0
2022-06-23 23:00:00,4.466,4.466,4.466,4.466,0.0
2022-06-24 23:00:00,4.242,4.242,4.242,4.242,0.0
2022-06-27 23:00:00,4.284,4.284,4.284,4.284,0.0
2022-06-28 23:00:00,4.254,4.254,4.254,4.254,0.0
2022-06-29 23:00:00,4.204,4.204,4.204,4.204,0.0
2022-06-30 23:00:00,3.949,3.949,3.949,3.949,0.0
2022-07-01 23:00:00,4.037,4.037,4.037,4.037,0.0
2022-07-05 23:00:00,3.887,3.887,3.887,3.887,0.0
2022-07-06 23:00:00,3.979,3.979,3.979,3.979,0.0
2022-07-07 23:00:00,4.068,4.068,4.068,4.068,0.0
2022-07-08 23:00:00,4.067,4.067,4.067,4.067,0.0
2022-07-11 23:00:00,4.101,4.101,4.101,4.101,0.0
2022-07-12 23:00:00,4.003,4.003,4.003,4.003,0.0
2022-07-13 23:00:00,4.065,4.065,4.065,4.065,0.0
2022-07-14 23:00:00,3.991,3.991,3.991,3.991,0.0
2022-07-15 23:00:00,4.065,4.065,4.065,4.065,0.0
2022-07-18 23:00:00,4.006,4.006,4.006,4.006,0.0
2022-07-19 23:00:00,4.033,4.033,4.033,4.033,0.0
2022-07-20 23:00:00,4.176,4.176,4.176,4.176,0.0
2022-07-21 23:00:00,4.081,4.081,4.081,4.081,0.0
2022-07-22 23:00:00,4.085,4.085,4.085,4.085,0.0
2022-07-25 23:00:00,4.141,4.141,4.141,4.141,0.0
2022-07-26 23:00:00,4.168,4.168,4.168,4.168,0.0
2022-07-27 23:00:00,4.166,4.166,4.166,4.166,0.0
2022-07-28 23:00:00,4.142,4.142,4.142,4.142,0.0
2022-07-29 23:00:00,4.197,4.197,4.197,4.197,0.0
2022-08-01 23:00:00,4.18,4.18,4.18,4.18,0.0
2022-08-02 23:00:00,4.182,4.182,4.182,4.182,0.0
2022-08-03 23:00:00,4.214,4.214,4.214,4.214,0.0
2022-08-04 23:00:00,4.183,4.183,4.183,4.183,0.0
2022-08-05 23:00:00,4.18,4.18,4.18,4.18,0.0
2022-08-08 23:00:00,4.142,4.142,4.142,4.142,0.0
2022-08-09 23:00:00,4.179,4.179,4.179,4.179,0.0
2022-08-16 23:00:00,4.424,4.424,4.424,4.424,0.0
2022-08-17 23:00:00,4.407,4.407,4.407,4.407,0.0
2022-08-18 23:00:00,4.413,4.413,4.413,4.413,0.0
2022-08-19 23:00:00,4.429,4.429,4.429,4.429,0.0
2022-08-22 23:00:00,4.488,4.488,4.488,4.488,0.0
2022-08-23 23:00:00,4.495,4.495,4.495,4.495,0.0
2022-08-24 23:00:00,4.541,4.541,4.541,4.541,0.0
2022-08-25 23:00:00,4.603,4.603,4.603,4.603,0.0
2022-08-26 23:00:00,4.645,4.645,4.645,4.645,0.0
2022-08-29 23:00:00,4.704,4.704,4.704,4.704,0.0
2022-08-30 23:00:00,4.711,4.711,4.711,4.711,0.0
2022-08-31 23:00:00,4.722,4.722,4.722,4.722,0.0
2022-09-01 23:00:00,4.79,4.79,4.79,4.79,0.0
2022-09-02 23:00:00,4.887,4.887,4.887,4.887,0.0
2022-09-06 23:00:00,4.884,4.884,4.884,4.884,0.0
2022-09-07 23:00:00,4.842,4.842,4.842,4.842,0.0
2022-09-08 23:00:00,4.795,4.795,4.795,4.795,0.0
2022-09-09 23:00:00,4.846,4.846,4.846,4.846,0.0
2022-09-12 23:00:00,4.791,4.791,4.791,4.791,0.0
2022-09-13 23:00:00,4.82,4.82,4.82,4.82,0.0
2022-09-14 23:00:00,4.879,4.879,4.879,4.879,0.0
2022-09-15 23:00:00,4.833,4.833,4.833,4.833,0.0
2022-09-16 23:00:00,4.728,4.728,4.728,4.728,0.0
2022-09-19 23:00:00,4.684,4.684,4.684,4.684,0.0
2022-09-20 23:00:00,4.615,4.615,4.615,4.615,0.0
2022-09-21 23:00:00,4.447,4.447,4.447,4.447,0.0
2022-09-22 23:00:00,4.295,4.295,4.295,4.295,0.0
2022-09-23 23:00:00,4.301,4.301,4.301,4.301,0.0
2022-09-26 23:00:00,4.22,4.22,4.22,4.22,0.0
2022-09-27 23:00:00,4.157,4.157,4.157,4.157,0.0
2022-09-28 23:00:00,4.093,4.093,4.093,4.093,0.0
2022-09-29 23:00:00,4.078,4.078,4.078,4.078,0.0
2022-09-30 23:00:00,4.084,4.084,4.084,4.084,0.0
2022-10-03 23:00:00,3.973,3.973,3.973,3.973,0.0
2022-10-04 23:00:00,4.023,4.023,4.023,4.023,0.0
2022-10-05 23:00:00,4.02,4.02,4.02,4.02,0.0
2022-10-06 23:00:00,4.047,4.047,4.047,4.047,0.0
2022-10-07 23:00:00,4.047,4.047,4.047,4.047,0.0
2022-10-10 23:00:00,4.069,4.069,4.069,4.069,0.0
2022-10-11 23:00:00,4.107,4.107,4.107,4.107,0.0
2022-10-12 23:00:00,4.086,4.086,4.086,4.086,0.0
2022-10-13 23:00:00,4.079,4.079,4.079,4.079,0.0
2022-10-14 23:00:00,4.102,4.102,4.102,4.102,0.0
2022-10-17 23:00:00,4.075,4.075,4.075,4.075,0.0
2022-10-18 23:00:00,4.04,4.04,4.04,4.04,0.0
2022-10-19 23:00:00,4.015,4.015,4.015,4.015,0.0
2022-10-20 23:00:00,4.128,4.128,4.128,4.128,0.0
2022-10-21 23:00:00,4.082,4.082,4.082,4.082,0.0
2022-10-24 23:00:00,4.083,4.083,4.083,4.083,0.0
2022-10-25 23:00:00,4.098,4.098,4.098,4.098,0.0
2022-10-26 23:00:00,4.115,4.115,4.115,4.115,0.0
2022-10-27 23:00:00,4.108,4.108,4.108,4.108,0.0
2022-10-28 23:00:00,4.099,4.099,4.099,4.099,0.0
2022-10-31 23:00:00,4.093,4.093,4.093,4.093,0.0
2022-11-01 23:00:00,4.058,4.058,4.058,4.058,0.0
2022-11-02 23:00:00,4.122,4.122,4.122,4.122,0.0
2022-11-03 23:00:00,4.167,4.167,4.167,4.167,0.0
2022-11-04 23:00:00,4.281,4.281,4.281,4.281,0.0
2022-11-07 23:00:00,4.305,4.305,4.305,4.305,0.0
2022-11-08 23:00:00,4.265,4.265,4.265,4.265,0.0
2022-11-09 23:00:00,4.279,4.279,4.279,4.279,0.0
2022-11-10 23:00:00,4.279,4.279,4.279,4.279,0.0
2022-11-11 23:00:00,4.252,4.252,4.252,4.252,0.0
2022-11-14 23:00:00,4.221,4.221,4.221,4.221,0.0
2022-11-15 23:00:00,4.257,4.257,4.257,4.257,0.0
2022-11-16 23:00:00,4.242,4.242,4.242,4.242,0.0
2022-11-17 23:00:00,4.224,4.224,4.224,4.224,0.0
2022-11-18 23:00:00,4.178,4.178,4.178,4.178,0.0
2022-11-21 23:00:00,4.133,4.133,4.133,4.133,0.0
2022-11-22 23:00:00,4.117,4.117,4.117,4.117,0.0
2022-11-23 23:00:00,4.126,4.126,4.126,4.126,0.0
2022-11-25 23:00:00,4.12,4.12,4.12,4.12,0.0
2022-11-28 23:00:00,4.169,4.169,4.169,4.169,0.0
2022-11-29 23:00:00,4.167,4.167,4.167,4.167,0.0
2022-11-30 23:00:00,4.154,4.154,4.154,4.154,0.0
2022-12-01 23:00:00,4.134,4.134,4.134,4.134,0.0
2022-12-02 23:00:00,4.13,4.13,4.13,4.13,0.0
2022-12-05 23:00:00,4.138,4.138,4.138,4.138,0.0
2022-12-06 23:00:00,4.151,4.151,4.151,4.151,0.0
2022-12-07 23:00:00,4.156,4.156,4.156,4.156,0.0
2022-12-08 23:00:00,4.216,4.216,4.216,4.216,0.0
2022-12-09 23:00:00,4.22,4.22,4.22,4.22,0.0
2022-12-12 23:00:00,4.284,4.284,4.284,4.284,0.0
2022-12-13 23:00:00,4.272,4.272,4.272,4.272,0.0
2022-12-14 23:00:00,4.245,4.245,4.245,4.245,0.0
2022-12-15 23:00:00,4.286,4.286,4.286,4.286,0.0
2022-12-16 23:00:00,4.374,4.374,4.374,4.374,0.0
2022-12-19 23:00:00,4.358,4.358,4.358,4.358,0.0
2022-12-20 23:00:00,4.353,4.353,4.353,4.353,0.0
2022-12-21 23:00:00,4.265,4.265,4.265,4.265,0.0
2022-12-22 23:00:00,4.182,4.182,4.182,4.182,0.0
2022-12-23 23:00:00,4.195,4.195,4.195,4.195,0.0
2022-12-27 23:00:00,4.281,4.281,4.281,4.281,0.0
2022-12-28 23:00:00,4.203,4.203,4.203,4.203,0.0
2022-12-29 23:00:00,4.194,4.194,4.194,4.194,0.0
2022-12-30 23:00:00,4.203,4.203,4.203,4.203,0.0
2023-01-03 23:00:00,4.149,4.149,4.149,4.149,0.0
2023-01-04 23:00:00,4.152,4.152,4.152,4.152,0.0
2023-01-05 23:00:00,4.074,4.074,4.074,4.074,0.0
2023-01-06 23:00:00,4.018,4.018,4.018,4.018,0.0
2023-01-09 23:00:00,4.026,4.026,4.026,4.026,0.0
2023-01-10 23:00:00,4.05,4.05,4.05,4.05,0.0
2023-01-11 23:00:00,4.016,4.016,4.016,4.016,0.0
2023-01-12 23:00:00,4.015,4.015,4.015,4.015,0.0
2023-01-13 23:00:00,4.024,4.024,4.024,4.024,0.0
2023-01-17 23:00:00,4.04,4.04,4.04,4.04,0.0
2023-01-18 23:00:00,4.063,4.063,4.063,4.063,0.0
2023-01-19 23:00:00,4.103,4.103,4.103,4.103,0.0
2023-01-20 23:00:00,4.067,4.067,4.067,4.067,0.0
2023-01-23 23:00:00,4.056,4.056,4.056,4.056,0.0
2023-01-24 23:00:00,4.025,4.025,4.025,4.025,0.0
2023-01-25 23:00:00,3.968,3.968,3.968,3.968,0.0
2023-01-26 23:00:00,3.975,3.975,3.975,3.975,0.0
2023-01-27 23:00:00,3.966,3.966,3.966,3.966,0.0
2023-01-30 23:00:00,3.887,3.887,3.887,3.887,0.0
2023-01-31 23:00:00,3.898,3.898,3.898,3.898,0.0
2023-02-01 23:00:00,3.746,3.746,3.746,3.746,0.0
2023-02-02 23:00:00,3.726,3.726,3.726,3.726,0.0
2023-02-03 23:00:00,3.642,3.642,3.642,3.642,0.0
2023-02-10 23:00:00,3.648,3.648,3.648,3.648,0.0
2023-02-13 23:00:00,3.591,3.591,3.591,3.591,0.0
2023-02-14 23:00:00,3.592,3.592,3.592,3.592,0.0
2023-02-15 23:00:00,3.587,3.587,3.587,3.587,0.0
2023-02-16 23:00:00,3.587,3.587,3.587,3.587,0.0
2023-02-17 23:00:00,3.573,3.573,3.573,3.573,0.0
2023-02-21 23:00:00,3.573,3.573,3.573,3.573,0.0
2023-02-22 23:00:00,3.584,3.584,3.584,3.584,0.0
2023-02-23 23:00:00,3.618,3.618,3.618,3.618,0.0
2023-02-24 23:00:00,3.677,3.677,3.677,3.677,0.0
2023-02-27 23:00:00,3.719,3.719,3.719,3.719,0.0
2023-02-28 23:00:00,3.767,3.767,3.767,3.767,0.0
2023-03-01 23:00:00,3.848,3.848,3.848,3.848,0.0
2023-03-02 23:00:00,3.856,3.856,3.856,3.856,0.0
2023-03-03 23:00:00,3.896,3.896,3.896,3.896,0.0
2023-03-06 23:00:00,3.93,3.93,3.93,3.93,0.0
2023-03-07 23:00:00,3.96,3.96,3.96,3.96,0.0
2023-03-08 23:00:00,3.948,3.948,3.948,3.948,0.0
2023-03-09 23:00:00,3.742,3.742,3.742,3.742,0.0
2023-03-10 23:00:00,3.843,3.843,3.843,3.843,0.0
2023-03-13 23:00:00,3.854,3.854,3.854,3.854,0.0
2023-03-14 23:00:00,3.935,3.935,3.935,3.935,0.0
2023-03-15 23:00:00,3.938,3.938,3.938,3.938,0.0
2023-03-16 23:00:00,3.98,3.98,3.98,3.98,0.0
2023-03-17 23:00:00,3.973,3.973,3.973,3.973,0.0
2023-03-20 23:00:00,3.932,3.932,3.932,3.932,0.0
2023-03-21 23:00:00,3.981,3.981,3.981,3.981,0.0
2023-03-22 23:00:00,3.935,3.935,3.935,3.935,0.0
2023-03-23 23:00:00,3.97,3.97,3.97,3.97,0.0
2023-03-24 23:00:00,3.931,3.931,3.931,3.931,0.0
2023-03-27 23:00:00,3.91,3.91,3.91,3.91,0.0
2023-03-28 23:00:00,3.868,3.868,3.868,3.868,0.0
2023-03-29 23:00:00,3.865,3.865,3.865,3.865,0.0
2023-03-30 23:00:00,3.873,3.873,3.873,3.873,0.0
2023-03-31 23:00:00,3.866,3.866,3.866,3.866,0.0
2023-04-03 23:00:00,3.874,3.874,3.874,3.874,0.0
2023-04-04 23:00:00,3.886,3.886,3.886,3.886,0.0
2023-04-05 23:00:00,3.859,3.859,3.859,3.859,0.0
2023-04-06 23:00:00,3.815,3.815,3.815,3.815,0.0
2023-04-10 23:00:00,3.877,3.877,3.877,3.877,0.0
2023-04-11 23:00:00,3.887,3.887,3.887,3.887,0.0
2023-04-12 23:00:00,3.813,3.813,3.813,3.813,0.0
2023-04-13 23:00:00,3.781,3.781,3.781,3.781,0.0
2023-04-14 23:00:00,3.801,3.801,3.801,3.801,0.0
2023-04-17 23:00:00,3.867,3.867,3.867,3.867,0.0
2023-04-18 23:00:00,3.865,3.865,3.865,3.865,0.0
2023-04-19 23:00:00,3.887,3.887,3.887,3.887,0.0
2023-04-20 23:00:00,3.919,3.919,3.919,3.919,0.0
2023-04-21 23:00:00,3.926,3.926,3.926,3.926,0.0
2023-04-24 23:00:00,3.937,3.937,3.937,3.937,0.0
2023-04-25 23:00:00,3.935,3.935,3.935,3.935,0.0
2023-04-26 23:00:00,3.928,3.928,3.928,3.928,0.0
2023-04-27 23:00:00,3.932,3.932,3.932,3.932,0.0
2023-04-28 23:00:00,3.951,3.951,3.951,3.951,0.0
2023-05-01 23:00:00,3.908,3.908,3.908,3.908,0.0
2023-05-02 23:00:00,3.904,3.904,3.904,3.904,0.0
2023-05-03 23:00:00,3.926,3.926,3.926,3.926,0.0
