DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2022-05-13 23:00:00,2.5673,2.5673,2.5673,2.5673,0.0
2022-05-16 23:00:00,2.5831,2.5831,2.5831,2.5831,0.0
2022-05-17 23:00:00,2.5543,2.5543,2.5543,2.5543,0.0
2022-05-18 23:00:00,2.4867,2.4867,2.4867,2.4867,0.0
2022-05-19 23:00:00,2.5159,2.5159,2.5159,2.5159,0.0
2022-05-20 23:00:00,2.5032,2.5032,2.5032,2.5032,0.0
2022-05-23 23:00:00,2.5153,2.5153,2.5153,2.5153,0.0
2022-05-24 23:00:00,2.5079,2.5079,2.5079,2.5079,0.0
2022-05-25 23:00:00,2.5423,2.5423,2.5423,2.5423,0.0
2022-05-26 23:00:00,2.5511,2.5511,2.5511,2.5511,0.0
2022-05-27 23:00:00,2.5452,2.5452,2.5452,2.5452,0.0
2022-05-31 23:00:00,2.4904,2.4904,2.4904,2.4904,0.0
2022-06-01 23:00:00,2.5132,2.5132,2.5132,2.5132,0.0
2022-06-02 23:00:00,2.5755,2.5755,2.5755,2.5755,0.0
2022-06-03 23:00:00,2.6023,2.6023,2.6023,2.6023,0.0
2022-06-06 23:00:00,2.6101,2.6101,2.5907,2.5907,3.0
2022-06-07 23:00:00,2.6416,2.6416,2.6416,2.6416,0.0
2022-06-08 23:00:00,2.6597,2.6597,2.6597,2.6597,0.0
2022-06-09 23:00:00,2.6514,2.6514,2.6514,2.6514,0.0
2022-06-10 23:00:00,2.6323,2.6323,2.6323,2.6323,0.0
2022-06-13 23:00:00,2.6224,2.6224,2.6224,2.6224,0.0
2022-06-14 23:00:00,2.5934,2.5934,2.5934,2.5934,0.0
2022-06-15 23:00:00,2.5581,2.5581,2.5581,2.5581,0.0
2022-06-16 23:00:00,2.525,2.5764,2.519,2.5764,22.0
2022-06-17 23:00:00,2.4731,2.4731,2.4731,2.4731,0.0
2022-06-21 23:00:00,2.5135,2.539,2.4788,2.4788,16.0
2022-06-22 23:00:00,2.4708,2.4708,2.4708,2.4708,0.0
2022-06-23 23:00:00,2.3895,2.3895,2.3895,2.3895,0.0
2022-06-24 23:00:00,2.4257,2.4257,2.4257,2.4257,0.0
2022-06-27 23:00:00,2.4475,2.4475,2.4475,2.4475,0.0
2022-06-28 23:00:00,2.5031,2.5258,2.5031,2.5258,2.0
2022-06-29 23:00:00,2.4683,2.4683,2.4683,2.4683,0.0
2022-06-30 23:00:00,2.415,2.4206,2.415,2.4206,1.0
2022-07-01 23:00:00,2.4631,2.4631,2.4631,2.4631,0.0
2022-07-05 23:00:00,2.36,2.36,2.36,2.36,5.0
2022-07-06 23:00:00,2.2302,2.2302,2.2302,2.2302,0.0
2022-07-07 23:00:00,2.3283,2.3283,2.3283,2.3283,0.0
2022-07-08 23:00:00,2.3768,2.3768,2.3768,2.3768,0.0
2022-07-11 23:00:00,2.4027,2.4027,2.4027,2.4027,0.0
2022-07-12 23:00:00,2.2641,2.2641,2.2641,2.2641,0.0
2022-07-13 23:00:00,2.2815,2.2815,2.2815,2.2815,0.0
2022-07-14 23:00:00,2.265,2.265,2.265,2.265,0.0
2022-07-15 23:00:00,2.2916,2.2916,2.2916,2.2916,0.0
2022-07-18 23:00:00,2.3626,2.3626,2.3626,2.3626,0.0
2022-07-19 23:00:00,2.3801,2.3801,2.3801,2.3801,0.0
2022-07-20 23:00:00,2.3726,2.3726,2.3726,2.3726,0.0
2022-07-21 23:00:00,2.324,2.324,2.324,2.324,0.0
2022-07-22 23:00:00,2.3106,2.3106,2.3106,2.3106,0.0
2022-07-25 23:00:00,2.3609,2.3609,2.3609,2.3609,0.0
2022-07-26 23:00:00,2.365,2.365,2.3525,2.3525,20.0
2022-07-27 23:00:00,2.4304,2.4304,2.4304,2.4304,0.0
