DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2022-05-05 23:00:00,4.899,4.965,4.848,4.95,199.0
2022-05-06 23:00:00,4.935,4.935,4.756,4.826,211.0
2022-05-09 23:00:00,4.686,4.686,4.477,4.499,654.0
2022-05-10 23:00:00,4.394,4.64,4.394,4.581,283.0
2022-05-11 23:00:00,4.618,4.638,4.579,4.634,108.0
2022-05-12 23:00:00,4.62,4.684,4.62,4.631,67.0
2022-05-13 23:00:00,4.692,4.692,4.6,4.648,93.0
2022-05-16 23:00:00,4.741,4.763,4.716,4.718,167.0
2022-05-17 23:00:00,4.831,4.834,4.758,4.823,144.0
2022-05-18 23:00:00,4.875,4.891,4.827,4.879,123.0
2022-05-19 23:00:00,4.814,4.885,4.796,4.855,104.0
2022-05-20 23:00:00,4.859,4.898,4.817,4.817,58.0
2022-05-23 23:00:00,4.888,4.957,4.888,4.942,859.0
2022-05-24 23:00:00,4.975,5.029,4.964,5.024,333.0
2022-05-25 23:00:00,5.143,5.167,5.018,5.062,95.0
2022-05-26 23:00:00,5.113,5.153,4.933,5.06,183.0
2022-05-27 23:00:00,4.933,5.09,4.931,5.071,271.0
2022-05-31 23:00:00,5.024,5.076,4.968,5.012,269.0
2022-06-01 23:00:00,5.121,5.276,5.1,5.252,480.0
2022-06-02 23:00:00,5.338,5.341,5.198,5.275,461.0
2022-06-03 23:00:00,5.281,5.39,5.231,5.38,80.0
2022-06-06 23:00:00,5.584,5.668,5.584,5.663,376.0
2022-06-07 23:00:00,5.719,5.779,5.687,5.775,166.0
2022-06-08 23:00:00,5.933,6.014,5.694,5.808,715.0
2022-06-09 23:00:00,5.579,6.003,5.574,5.985,485.0
2022-06-10 23:00:00,5.942,6.043,5.925,6.029,529.0
2022-06-13 23:00:00,6.03,6.03,5.678,5.975,416.0
2022-06-14 23:00:00,5.659,5.823,5.4,5.661,474.0
2022-06-15 23:00:00,5.71,5.75,5.646,5.654,272.0
2022-06-16 23:00:00,5.774,5.774,5.43,5.434,400.0
2022-06-17 23:00:00,5.399,5.405,4.986,5.017,402.0
2022-06-21 23:00:00,4.882,4.925,4.866,4.875,2876.0
2022-06-22 23:00:00,4.889,4.954,4.873,4.905,562.0
2022-06-23 23:00:00,4.907,4.918,4.773,4.85,622.0
2022-06-24 23:00:00,4.762,4.807,4.652,4.704,233.0
2022-06-27 23:00:00,4.625,4.744,4.589,4.744,310.0
2022-06-28 23:00:00,4.767,4.824,4.709,4.721,503.0
2022-06-29 23:00:00,4.785,4.811,4.686,4.764,369.0
2022-06-30 23:00:00,4.754,4.773,4.352,4.386,1327.0
2022-07-01 23:00:00,4.47,4.495,4.368,4.381,574.0
2022-07-05 23:00:00,4.363,4.401,4.249,4.276,1688.0
2022-07-06 23:00:00,4.337,4.364,4.186,4.364,1091.0
2022-07-07 23:00:00,4.413,4.687,4.398,4.588,582.0
2022-07-08 23:00:00,4.551,4.577,4.468,4.526,314.0
2022-07-11 23:00:00,4.682,4.734,4.567,4.638,561.0
2022-07-12 23:00:00,4.633,4.653,4.443,4.539,738.0
2022-07-13 23:00:00,4.678,4.724,4.639,4.671,715.0
2022-07-14 23:00:00,4.724,4.822,4.645,4.68,564.0
2022-07-15 23:00:00,4.653,4.838,4.65,4.838,432.0
2022-07-18 23:00:00,4.914,4.968,4.896,4.907,185.0
2022-07-19 23:00:00,4.818,4.896,4.811,4.868,408.0
2022-07-20 23:00:00,4.923,5.037,4.885,5.015,699.0
2022-07-21 23:00:00,4.992,5.076,4.895,4.91,647.0
2022-07-22 23:00:00,5.006,5.067,4.971,4.992,1699.0
2022-07-25 23:00:00,5.065,5.17,4.999,5.17,206.0
2022-07-26 23:00:00,5.261,5.269,5.092,5.103,644.0
2022-07-27 23:00:00,5.11,5.117,5.001,5.044,1097.0
2022-07-28 23:00:00,4.999,5.086,4.892,4.927,1118.0
2022-07-29 23:00:00,4.929,4.946,4.824,4.908,814.0
2022-08-01 23:00:00,4.818,4.931,4.796,4.896,670.0
2022-08-02 23:00:00,4.731,4.831,4.71,4.73,913.0
2022-08-03 23:00:00,4.712,4.918,4.696,4.868,1123.0
2022-08-04 23:00:00,4.877,4.942,4.815,4.883,740.0
2022-08-05 23:00:00,4.862,4.95,4.853,4.863,596.0
2022-08-08 23:00:00,4.755,4.811,4.735,4.803,462.0
2022-08-09 23:00:00,4.81,4.859,4.803,4.859,455.0
2022-08-10 23:00:00,4.818,4.956,4.808,4.943,821.0
2022-08-11 23:00:00,5.015,5.213,4.949,5.18,724.0
2022-08-12 23:00:00,5.18,5.26,5.148,5.181,388.0
2022-08-15 23:00:00,5.149,5.357,5.137,5.351,535.0
2022-08-16 23:00:00,5.591,5.613,5.49,5.524,673.0
2022-08-17 23:00:00,5.559,5.573,5.474,5.486,356.0
2022-08-18 23:00:00,5.493,5.6,5.475,5.572,857.0
2022-08-19 23:00:00,5.498,5.587,5.447,5.538,527.0
