DATETIME,FINAL,HIGH,LOW,OPEN,VOLUME
2022-05-05 23:00:00,4.561,4.561,4.561,4.561,0.0
2022-05-06 23:00:00,4.527,4.527,4.527,4.527,0.0
2022-05-09 23:00:00,4.45,4.45,4.45,4.45,0.0
2022-05-10 23:00:00,4.488,4.488,4.488,4.488,0.0
2022-05-11 23:00:00,4.547,4.547,4.547,4.547,0.0
2022-05-12 23:00:00,4.557,4.557,4.557,4.557,0.0
2022-05-13 23:00:00,4.631,4.631,4.631,4.631,0.0
2022-05-16 23:00:00,4.661,4.661,4.661,4.661,0.0
2022-05-17 23:00:00,4.8,4.8,4.8,4.8,0.0
2022-05-18 23:00:00,4.722,4.722,4.722,4.722,0.0
2022-05-19 23:00:00,4.661,4.661,4.661,4.661,0.0
2022-05-20 23:00:00,4.67,4.67,4.67,4.67,0.0
2022-05-23 23:00:00,4.711,4.711,4.711,4.711,0.0
2022-05-24 23:00:00,4.779,4.779,4.779,4.779,0.0
2022-05-25 23:00:00,4.81,4.81,4.81,4.81,0.0
2022-05-26 23:00:00,4.839,4.839,4.839,4.839,0.0
2022-05-27 23:00:00,4.863,4.863,4.863,4.863,0.0
2022-05-31 23:00:00,4.794,4.794,4.794,4.794,0.0
2022-06-01 23:00:00,4.846,4.846,4.846,4.846,0.0
2022-06-02 23:00:00,4.852,4.852,4.852,4.852,0.0
2022-06-03 23:00:00,4.899,4.899,4.899,4.899,0.0
2022-06-06 23:00:00,4.883,4.883,4.883,4.883,0.0
2022-06-07 23:00:00,4.963,4.963,4.963,4.963,0.0
2022-06-08 23:00:00,5.018,5.018,5.018,5.018,0.0
2022-06-09 23:00:00,5.104,5.104,5.104,5.104,0.0
2022-06-10 23:00:00,5.094,5.094,5.094,5.094,0.0
2022-06-13 23:00:00,5.037,5.037,5.037,5.037,0.0
2022-06-14 23:00:00,4.959,4.959,4.959,4.959,0.0
2022-06-15 23:00:00,5.02,5.02,5.02,5.02,0.0
2022-06-16 23:00:00,5.034,5.034,5.034,5.034,0.0
2022-06-17 23:00:00,4.931,4.931,4.931,4.931,0.0
2022-06-21 23:00:00,4.918,4.918,4.918,4.918,0.0
2022-06-22 23:00:00,4.973,4.973,4.973,4.973,0.0
2022-06-23 23:00:00,5.045,5.045,5.045,5.045,0.0
2022-06-24 23:00:00,4.821,4.821,4.821,4.821,0.0
2022-06-27 23:00:00,4.863,4.863,4.863,4.863,0.0
2022-06-28 23:00:00,4.833,4.833,4.833,4.833,0.0
2022-06-29 23:00:00,4.783,4.783,4.783,4.783,0.0
2022-06-30 23:00:00,4.528,4.528,4.528,4.528,0.0
2022-07-01 23:00:00,4.616,4.616,4.616,4.616,0.0
2022-07-05 23:00:00,4.466,4.466,4.466,4.466,0.0
2022-07-06 23:00:00,4.558,4.558,4.558,4.558,0.0
2022-07-07 23:00:00,4.618,4.618,4.618,4.618,0.0
2022-07-08 23:00:00,4.617,4.617,4.617,4.617,0.0
2022-07-11 23:00:00,4.651,4.651,4.651,4.651,0.0
2022-07-12 23:00:00,4.553,4.553,4.553,4.553,0.0
2022-07-13 23:00:00,4.615,4.615,4.615,4.615,0.0
2022-07-14 23:00:00,4.571,4.571,4.571,4.571,0.0
2022-07-15 23:00:00,4.645,4.645,4.645,4.645,0.0
2022-07-18 23:00:00,4.545,4.545,4.545,4.545,0.0
2022-07-19 23:00:00,4.572,4.572,4.572,4.572,0.0
2022-07-20 23:00:00,4.715,4.715,4.715,4.715,0.0
2022-07-21 23:00:00,4.62,4.62,4.62,4.62,0.0
2022-07-22 23:00:00,4.624,4.624,4.624,4.624,0.0
2022-07-25 23:00:00,4.73,4.73,4.73,4.73,0.0
2022-07-26 23:00:00,4.757,4.757,4.757,4.757,0.0
2022-07-27 23:00:00,4.755,4.755,4.755,4.755,0.0
2022-07-28 23:00:00,4.731,4.731,4.731,4.731,0.0
2022-07-29 23:00:00,4.827,4.827,4.827,4.827,0.0
2022-08-01 23:00:00,4.81,4.81,4.81,4.81,0.0
2022-08-02 23:00:00,4.812,4.812,4.812,4.812,0.0
2022-08-03 23:00:00,4.844,4.844,4.844,4.844,0.0
2022-08-04 23:00:00,4.813,4.813,4.813,4.813,0.0
2022-08-05 23:00:00,4.769,4.769,4.769,4.769,0.0
2022-08-08 23:00:00,4.731,4.731,4.731,4.731,0.0
2022-08-09 23:00:00,4.768,4.768,4.768,4.768,0.0
2022-08-10 23:00:00,4.798,4.798,4.798,4.798,0.0
2022-08-17 23:00:00,4.975,4.975,4.975,4.975,0.0
2022-08-18 23:00:00,4.981,4.981,4.981,4.981,0.0
2022-08-19 23:00:00,4.997,4.997,4.997,4.997,0.0
2022-08-22 23:00:00,5.056,5.056,5.056,5.056,0.0
2022-08-23 23:00:00,5.063,5.063,5.063,5.063,0.0
2022-08-24 23:00:00,5.134,5.134,5.134,5.134,0.0
2022-08-25 23:00:00,5.196,5.196,5.196,5.196,0.0
2022-08-26 23:00:00,5.428,5.428,5.428,5.428,0.0
2022-08-29 23:00:00,5.622,5.622,5.622,5.622,0.0
2022-08-30 23:00:00,5.629,5.629,5.629,5.629,0.0
2022-08-31 23:00:00,5.755,5.755,5.755,5.755,0.0
2022-09-01 23:00:00,5.737,5.737,5.737,5.737,0.0
2022-09-02 23:00:00,5.918,5.918,5.918,5.918,0.0
2022-09-06 23:00:00,5.974,5.974,5.974,5.974,0.0
2022-09-07 23:00:00,5.834,5.834,5.834,5.834,0.0
2022-09-08 23:00:00,5.806,5.806,5.806,5.806,0.0
2022-09-09 23:00:00,5.857,5.857,5.857,5.857,0.0
2022-09-12 23:00:00,5.802,5.802,5.802,5.802,0.0
2022-09-13 23:00:00,5.871,5.871,5.871,5.871,0.0
2022-09-14 23:00:00,5.93,5.93,5.93,5.93,0.0
2022-09-15 23:00:00,5.884,5.884,5.884,5.884,0.0
2022-09-16 23:00:00,5.779,5.779,5.779,5.779,0.0
2022-09-19 23:00:00,5.735,5.735,5.735,5.735,0.0
2022-09-20 23:00:00,5.666,5.666,5.666,5.666,0.0
2022-09-21 23:00:00,5.382,5.382,5.382,5.382,0.0
2022-09-22 23:00:00,5.085,5.085,5.085,5.085,0.0
2022-09-23 23:00:00,5.091,5.091,5.091,5.091,0.0
2022-09-26 23:00:00,5.01,5.01,5.01,5.01,0.0
2022-09-27 23:00:00,4.767,4.767,4.767,4.767,0.0
2022-09-28 23:00:00,4.703,4.703,4.703,4.703,0.0
2022-09-29 23:00:00,4.688,4.688,4.688,4.688,0.0
2022-09-30 23:00:00,4.694,4.694,4.694,4.694,0.0
2022-10-03 23:00:00,4.583,4.583,4.583,4.583,0.0
2022-10-04 23:00:00,4.633,4.633,4.633,4.633,0.0
2022-10-05 23:00:00,4.63,4.63,4.63,4.63,0.0
2022-10-06 23:00:00,4.657,4.657,4.657,4.657,0.0
2022-10-07 23:00:00,4.657,4.657,4.657,4.657,0.0
2022-10-10 23:00:00,4.679,4.679,4.679,4.679,0.0
2022-10-11 23:00:00,4.717,4.717,4.717,4.717,0.0
2022-10-12 23:00:00,4.696,4.696,4.696,4.696,0.0
2022-10-13 23:00:00,4.689,4.689,4.689,4.689,0.0
2022-10-14 23:00:00,4.712,4.712,4.712,4.712,0.0
2022-10-17 23:00:00,4.685,4.685,4.685,4.685,0.0
2022-10-18 23:00:00,4.65,4.65,4.65,4.65,0.0
2022-10-19 23:00:00,4.625,4.625,4.625,4.625,0.0
2022-10-20 23:00:00,4.758,4.758,4.758,4.758,0.0
2022-10-21 23:00:00,4.732,4.732,4.732,4.732,0.0
2022-10-24 23:00:00,4.755,4.755,4.755,4.755,0.0
2022-10-25 23:00:00,4.77,4.77,4.77,4.77,0.0
2022-10-26 23:00:00,4.787,4.787,4.787,4.787,0.0
2022-10-27 23:00:00,4.78,4.78,4.78,4.78,0.0
2022-10-28 23:00:00,4.92,4.92,4.92,4.92,0.0
2022-10-31 23:00:00,4.914,4.914,4.914,4.914,0.0
2022-11-01 23:00:00,4.879,4.879,4.879,4.879,0.0
2022-11-02 23:00:00,4.998,4.998,4.998,4.998,0.0
2022-11-03 23:00:00,5.023,5.023,5.023,5.023,0.0
2022-11-04 23:00:00,5.137,5.137,5.137,5.137,0.0
2022-11-07 23:00:00,5.181,5.181,5.181,5.181,0.0
2022-11-08 23:00:00,5.141,5.141,5.141,5.141,0.0
2022-11-09 23:00:00,5.155,5.155,5.155,5.155,0.0
2022-11-10 23:00:00,5.155,5.155,5.155,5.155,0.0
2022-11-11 23:00:00,5.128,5.128,5.128,5.128,0.0
2022-11-14 23:00:00,5.097,5.097,5.097,5.097,0.0
2022-11-15 23:00:00,5.197,5.197,5.197,5.197,0.0
2022-11-16 23:00:00,5.212,5.212,5.212,5.212,0.0
