DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2022-04-26 23:00:00,4.3075,4.3075,4.3075,4.3075,0.0
2022-04-27 23:00:00,4.3875,4.3875,4.3875,4.3875,0.0
2022-04-28 23:00:00,4.3025,4.3025,4.3025,4.3025,0.0
2022-04-29 23:00:00,4.48,4.48,4.48,4.48,0.0
2022-05-02 23:00:00,4.715,4.715,4.715,4.715,0.0
2022-05-03 23:00:00,4.75,4.75,4.75,4.75,0.0
2022-05-04 23:00:00,4.875,4.875,4.875,4.875,0.0
2022-05-05 23:00:00,4.9475,4.9475,4.9475,4.9475,0.0
2022-05-06 23:00:00,4.8225,4.8225,4.8225,4.8225,0.0
2022-05-09 23:00:00,4.495,4.495,4.495,4.495,0.0
2022-05-10 23:00:00,4.575,4.575,4.575,4.575,0.0
2022-05-11 23:00:00,4.625,4.625,4.625,4.625,0.0
2022-05-12 23:00:00,4.6175,4.6175,4.6175,4.6175,0.0
2022-05-13 23:00:00,4.635,4.635,4.635,4.635,0.0
2022-05-16 23:00:00,4.705,4.705,4.705,4.705,0.0
2022-05-17 23:00:00,4.8125,4.8125,4.8125,4.8125,0.0
2022-05-18 23:00:00,4.865,4.865,4.865,4.865,0.0
2022-05-19 23:00:00,4.84,4.84,4.84,4.84,0.0
2022-05-20 23:00:00,4.8025,4.8025,4.8025,4.8025,0.0
2022-05-23 23:00:00,4.925,4.925,4.925,4.925,0.0
2022-05-24 23:00:00,5.0075,5.0075,5.0075,5.0075,0.0
2022-05-25 23:00:00,5.045,5.045,5.045,5.045,0.0
2022-05-26 23:00:00,5.0425,5.0425,5.0425,5.0425,0.0
2022-05-27 23:00:00,5.05,5.05,5.05,5.05,0.0
2022-05-31 23:00:00,4.9875,4.9875,4.9875,4.9875,0.0
2022-06-01 23:00:00,5.09,5.23,5.09,5.23,1.0
2022-06-02 23:00:00,5.255,5.255,5.255,5.255,0.0
2022-06-03 23:00:00,5.36,5.36,5.36,5.36,0.0
2022-06-06 23:00:00,5.645,5.645,5.645,5.645,0.0
2022-06-07 23:00:00,5.7575,5.7575,5.7575,5.7575,0.0
2022-06-08 23:00:00,5.7925,5.7925,5.7925,5.7925,0.0
2022-06-09 23:00:00,5.97,5.97,5.97,5.97,0.0
2022-06-10 23:00:00,6.0175,6.0175,6.0175,6.0175,0.0
2022-06-13 23:00:00,5.705,5.965,5.705,5.965,1.0
2022-06-14 23:00:00,5.655,5.655,5.655,5.655,0.0
2022-06-15 23:00:00,5.645,5.645,5.645,5.645,0.0
2022-06-16 23:00:00,5.425,5.425,5.425,5.425,0.0
2022-06-17 23:00:00,5.01,5.01,5.01,5.01,0.0
2022-06-21 23:00:00,4.87,4.87,4.87,4.87,0.0
2022-06-22 23:00:00,4.9,4.9,4.9,4.9,0.0
2022-06-23 23:00:00,4.845,4.845,4.845,4.845,0.0
2022-06-24 23:00:00,4.7,4.7,4.7,4.7,0.0
2022-06-27 23:00:00,4.74,4.74,4.74,4.74,0.0
2022-06-28 23:00:00,4.72,4.72,4.72,4.72,0.0
2022-06-29 23:00:00,4.765,4.765,4.765,4.765,0.0
2022-06-30 23:00:00,4.395,4.395,4.395,4.395,0.0
2022-07-01 23:00:00,4.39,4.39,4.39,4.39,0.0
2022-07-05 23:00:00,4.305,4.305,4.305,4.305,0.0
2022-07-06 23:00:00,4.3375,4.3375,4.3375,4.3375,0.0
2022-07-07 23:00:00,4.62,4.62,4.62,4.62,1.0
2022-07-08 23:00:00,4.55,4.55,4.55,4.55,0.0
2022-07-11 23:00:00,4.62,4.62,4.62,4.62,0.0
2022-07-12 23:00:00,4.545,4.545,4.545,4.545,0.0
2022-07-13 23:00:00,4.7225,4.7225,4.7225,4.7225,0.0
2022-07-14 23:00:00,4.6875,4.6875,4.6875,4.6875,0.0
2022-07-15 23:00:00,4.835,4.835,4.835,4.835,1.0
2022-07-18 23:00:00,4.925,4.925,4.925,4.925,0.0
2022-07-19 23:00:00,4.84,4.84,4.84,4.84,0.0
2022-07-20 23:00:00,5.0425,5.0425,5.0425,5.0425,0.0
2022-07-21 23:00:00,4.9475,4.9475,4.9475,4.9475,0.0
2022-07-22 23:00:00,5.0075,5.0075,5.0075,5.0075,0.0
2022-07-25 23:00:00,5.165,5.165,5.165,5.165,0.0
2022-07-26 23:00:00,5.13,5.13,5.13,5.13,0.0
2022-07-27 23:00:00,5.0275,5.0275,5.0275,5.0275,0.0
2022-07-28 23:00:00,4.935,4.935,4.935,4.935,0.0
2022-07-29 23:00:00,4.8975,4.8975,4.8975,4.8975,0.0
2022-08-01 23:00:00,4.92,4.92,4.92,4.92,0.0
2022-08-02 23:00:00,4.74,4.74,4.74,4.74,0.0
2022-08-03 23:00:00,4.91,4.91,4.91,4.91,0.0
2022-08-04 23:00:00,4.88,4.88,4.88,4.88,0.0
2022-08-05 23:00:00,4.885,4.885,4.885,4.885,0.0
2022-08-12 23:00:00,5.1575,5.1575,5.1575,5.1575,0.0
2022-08-15 23:00:00,5.33,5.33,5.33,5.33,0.0
2022-08-16 23:00:00,5.55,5.55,5.55,5.55,0.0
2022-08-17 23:00:00,5.525,5.525,5.525,5.525,0.0
2022-08-18 23:00:00,5.59,5.59,5.59,5.59,0.0
2022-08-19 23:00:00,5.5675,5.5675,5.5675,5.5675,0.0
2022-08-22 23:00:00,5.6625,5.6625,5.6625,5.6625,0.0
2022-08-23 23:00:00,5.62,5.62,5.62,5.62,0.0
2022-08-24 23:00:00,5.6525,5.6525,5.6525,5.6525,0.0
2022-08-25 23:00:00,5.7325,5.7325,5.7325,5.7325,0.0
2022-08-26 23:00:00,5.7775,5.7775,5.7775,5.7775,0.0
2022-08-29 23:00:00,5.8775,5.8775,5.8775,5.8775,0.0
2022-08-30 23:00:00,5.8425,5.8425,5.8425,5.8425,0.0
