DATETIME,FINAL,HIGH,LOW,OPEN,VOLUME
2022-05-13 23:00:00,1.2262,1.2262,1.2207,1.2207,76.0
2022-05-16 23:00:00,1.232,1.2329,1.232,1.2329,4.0
2022-05-17 23:00:00,1.2389,1.2389,1.2354,1.2354,35.0
2022-05-18 23:00:00,1.2176,1.2264,1.2176,1.2263,241.0
2022-05-19 23:00:00,1.2115,1.2131,1.2115,1.2131,4.0
2022-05-20 23:00:00,1.216,1.216,1.216,1.216,0.0
2022-05-23 23:00:00,1.2134,1.2134,1.2134,1.2134,0.0
2022-05-24 23:00:00,1.2011,1.2022,1.1988,1.1988,8.0
2022-05-25 23:00:00,1.2095,1.2099,1.2066,1.2066,16.0
2022-05-26 23:00:00,1.2076,1.2076,1.2076,1.2076,0.0
2022-05-27 23:00:00,1.2085,1.2085,1.2062,1.2062,13.0
2022-05-30 23:00:00,1.2077,1.2077,1.2077,1.2077,0.0
2022-05-31 23:00:00,1.2078,1.2078,1.2061,1.2061,6.0
2022-06-01 23:00:00,1.2018,1.2059,1.2009,1.2043,47.0
2022-06-02 23:00:00,1.2037,1.2057,1.2037,1.2057,1.0
2022-06-03 23:00:00,1.2027,1.2027,1.2027,1.2027,0.0
2022-06-06 23:00:00,1.217,1.217,1.2102,1.2102,12.0
2022-06-07 23:00:00,1.2236,1.2236,1.2199,1.2199,1.0
2022-06-08 23:00:00,1.2256,1.2256,1.222,1.2222,23.0
2022-06-09 23:00:00,1.2255,1.2283,1.2226,1.2226,18.0
2022-06-10 23:00:00,1.2169,1.2169,1.2169,1.2169,1.0
2022-06-13 23:00:00,1.2112,1.2112,1.2112,1.2112,0.0
