DATETIME,FINAL,HIGH,LOW,OPEN,VOLUME
2022-05-13 23:00:00,158.22,158.22,157.04,157.04,27.0
2022-05-16 23:00:00,158.9,159.11,157.89,158.06,38.0
2022-05-17 23:00:00,161.4,161.63,160.8,161.6,44.0
2022-05-18 23:00:00,158.03,159.66,158.03,159.66,24.0
2022-05-19 23:00:00,159.54,159.54,158.54,158.57,204.0
2022-05-20 23:00:00,159.28,159.87,159.28,159.87,6.0
2022-05-23 23:00:00,160.78,160.8,160.21,160.25,29.0
2022-05-24 23:00:00,158.56,158.8,158.14,158.51,31.0
2022-05-25 23:00:00,160.12,160.14,159.09,159.09,192.0
2022-05-26 23:00:00,160.11,160.23,159.78,159.78,32.0
2022-05-27 23:00:00,160.4,160.4,160.17,160.4,3.0
2022-05-30 23:00:00,161.44,161.44,161.44,161.44,4.0
2022-05-31 23:00:00,162.09,162.26,161.68,161.68,77.0
2022-06-01 23:00:00,162.51,162.58,162.05,162.46,16.0
2022-06-02 23:00:00,163.15,163.35,162.95,162.95,27.0
2022-06-03 23:00:00,163.51,163.97,163.51,163.85,10.0
2022-06-06 23:00:00,165.43,165.43,164.46,164.46,104.0
2022-06-07 23:00:00,166.83,167.07,166.07,166.07,38.0
2022-06-08 23:00:00,168.23,168.4,167.73,168.21,15.0
2022-06-09 23:00:00,167.94,168.12,167.94,168.12,6.0
2022-06-10 23:00:00,165.47,165.47,165.47,165.47,0.0
2022-06-13 23:00:00,162.97,162.97,162.97,162.97,0.0
