DATETIME,FINAL,HIGH,LOW,OPEN,VOLUME
2022-04-26 23:00:00,1.2598,1.265,1.2583,1.265,24.0
2022-04-27 23:00:00,1.2551,1.2576,1.2514,1.2548,21.0
2022-04-28 23:00:00,1.2473,1.2484,1.2427,1.2456,20.0
2022-04-29 23:00:00,1.2611,1.2619,1.2547,1.2557,46.0
2022-05-02 23:00:00,1.2485,1.2518,1.2485,1.2516,5.0
2022-05-03 23:00:00,1.25,1.2522,1.249,1.2522,2.0
2022-05-04 23:00:00,1.2591,1.2645,1.2473,1.2502,35.0
2022-05-05 23:00:00,1.2363,1.2416,1.2341,1.2416,9.0
2022-05-06 23:00:00,1.2344,1.2349,1.2337,1.2337,5.0
2022-05-09 23:00:00,1.2356,1.2356,1.2322,1.2345,11.0
2022-05-10 23:00:00,1.2326,1.2348,1.2326,1.2348,26.0
2022-05-11 23:00:00,1.2283,1.2409,1.226,1.2409,18.0
2022-05-12 23:00:00,1.2187,1.2222,1.2187,1.2213,26.0
2022-05-13 23:00:00,1.2256,1.2265,1.2182,1.2182,86.0
2022-05-16 23:00:00,1.2333,1.234,1.2262,1.2262,33.0
2022-05-17 23:00:00,1.2492,1.25,1.2464,1.2476,85.0
2022-05-18 23:00:00,1.2356,1.243,1.2344,1.243,62.0
2022-05-19 23:00:00,1.251,1.2525,1.2478,1.2478,61.0
2022-05-20 23:00:00,1.2482,1.2508,1.2469,1.25,13.0
2022-05-23 23:00:00,1.2591,1.2598,1.2571,1.2572,71.0
2022-05-24 23:00:00,1.2525,1.2565,1.2515,1.2515,36.0
2022-05-25 23:00:00,1.2598,1.2602,1.253,1.253,59.0
2022-05-26 23:00:00,1.2607,1.262,1.2581,1.2596,38.0
2022-05-27 23:00:00,1.2637,1.266,1.2609,1.2648,1224.0
2022-05-30 23:00:00,1.2666,1.2669,1.2642,1.2643,61.0
2022-05-31 23:00:00,1.2615,1.2638,1.2582,1.2588,568.0
2022-06-01 23:00:00,1.2503,1.2574,1.247,1.2569,846.0
2022-06-02 23:00:00,1.2577,1.2595,1.2538,1.2558,534.0
2022-06-03 23:00:00,1.251,1.2582,1.2495,1.2561,677.0
2022-06-06 23:00:00,1.2545,1.2571,1.2536,1.2556,2401.0
2022-06-07 23:00:00,1.2597,1.261,1.251,1.2512,4746.0
2022-06-08 23:00:00,1.2548,1.2574,1.2543,1.2551,5016.0
2022-06-09 23:00:00,1.2515,1.2567,1.2496,1.2547,15923.0
2022-06-10 23:00:00,1.2324,1.2399,1.2308,1.2399,46284.0
2022-06-13 23:00:00,1.2151,1.2213,1.2121,1.2185,58590.0
2022-06-14 23:00:00,1.1991,1.2099,1.1952,1.2086,67639.0
2022-06-15 23:00:00,1.2142,1.2223,1.2048,1.2085,88920.0
2022-06-16 23:00:00,1.2375,1.2426,1.2243,1.2281,71536.0
