DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2023-06-19 12:00:00,1.2804,1.2804,1.28,1.28,3.0
2023-06-19 23:00:00,1.2804,1.2846,1.28,1.2846,3.0
2023-06-20 09:30:00,1.2746,1.2746,1.2741,1.2741,2.0
2023-06-20 10:00:00,1.2731,1.2741,1.2728,1.2741,7.0
2023-06-20 11:00:00,1.2756,1.2756,1.2756,1.2756,1.0
2023-06-20 15:00:00,1.2772,1.2772,1.2772,1.2772,2.0
2023-06-20 23:00:00,1.2746,1.2772,1.2728,1.2771,12.0
2023-06-21 09:30:00,1.2709,1.2725,1.2709,1.2725,2.0
2023-06-21 10:00:00,1.2752,1.2752,1.2738,1.2738,5.0
2023-06-21 11:00:00,1.2739,1.2748,1.2739,1.2748,2.0
2023-06-21 12:00:00,1.2764,1.2764,1.2764,1.2764,1.0
2023-06-21 13:00:00,1.277,1.277,1.277,1.277,1.0
2023-06-21 16:00:00,1.2775,1.2775,1.2769,1.2769,2.0
2023-06-21 23:00:00,1.2709,1.2778,1.2709,1.2778,13.0
2023-06-22 09:30:00,1.2731,1.2731,1.2731,1.2731,1.0
2023-06-22 11:00:00,1.2732,1.2738,1.2732,1.2736,63.0
2023-06-22 13:00:00,1.272,1.272,1.272,1.272,3.0
2023-06-22 23:00:00,1.2731,1.2738,1.272,1.2738,67.0
2023-06-23 23:00:00,1.27,1.27,1.27,1.27,0.0
2023-06-26 10:00:00,1.2689,1.2689,1.2689,1.2689,1.0
2023-06-26 13:00:00,1.2712,1.2715,1.2712,1.2715,2.0
2023-06-26 15:00:00,1.2705,1.2705,1.2705,1.2705,1.0
2023-06-26 16:00:00,1.2703,1.2703,1.2703,1.2703,3.0
2023-06-26 23:00:00,1.2689,1.2715,1.2689,1.2711,7.0
2023-06-27 10:00:00,1.2736,1.2736,1.2736,1.2736,1.0
2023-06-27 11:00:00,1.2745,1.2745,1.274,1.274,2.0
2023-06-27 12:00:00,1.2743,1.2743,1.2743,1.2743,1.0
2023-06-27 15:00:00,1.2748,1.2748,1.2745,1.2745,4.0
2023-06-27 23:00:00,1.2736,1.2748,1.2736,1.2742,8.0
