DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2022-05-13 23:00:00,3.0691,3.09,3.0525,3.0655,160.0
2022-05-16 23:00:00,3.07,3.0766,3.07,3.0766,1.0
2022-05-17 23:00:00,3.0716,3.0716,3.0122,3.0122,11.0
2022-05-18 23:00:00,3.0078,3.0078,2.9188,2.9311,17.0
2022-05-19 23:00:00,2.91,2.9799,2.91,2.9799,18.0
2022-05-20 23:00:00,2.979,2.9908,2.9775,2.9817,63.0
2022-05-23 23:00:00,2.9648,3.0082,2.9648,3.0032,15.0
2022-05-24 23:00:00,3.0365,3.0429,3.0226,3.0226,42.0
2022-05-25 23:00:00,3.0445,3.0792,3.04,3.0627,11.0
2022-05-26 23:00:00,3.0923,3.1065,3.092,3.1047,23.0
2022-05-27 23:00:00,3.101,3.1141,3.0915,3.1141,30.0
2022-05-31 23:00:00,3.1805,3.1805,3.0809,3.0809,14.0
2022-06-01 23:00:00,3.151,3.2124,3.151,3.1925,23.0
2022-06-02 23:00:00,3.1901,3.2471,3.1901,3.2471,3.0
2022-06-03 23:00:00,3.2406,3.292,3.2406,3.2889,27.0
2022-06-06 23:00:00,3.2825,3.335,3.2825,3.3247,18.0
2022-06-07 23:00:00,3.3481,3.3747,3.32,3.3747,4.0
2022-06-08 23:00:00,3.4003,3.4704,3.3958,3.4461,10.0
2022-06-09 23:00:00,3.471,3.51,3.471,3.51,8.0
2022-06-10 23:00:00,3.4859,3.4915,3.4134,3.4902,15.0
2022-06-13 23:00:00,3.455,3.49,3.4117,3.4456,13.0
2022-06-14 23:00:00,3.5185,3.5352,3.4475,3.4581,75.0
2022-06-15 23:00:00,3.4503,3.4997,3.4503,3.4775,21.0
2022-06-16 23:00:00,3.4489,3.484,3.4265,3.4822,19.0
2022-06-17 23:00:00,3.3762,3.3762,3.3431,3.3534,4.0
2022-06-21 23:00:00,3.4339,3.464,3.3488,3.3643,39.0
2022-06-22 23:00:00,3.2556,3.3339,3.2556,3.318,17.0
2022-06-23 23:00:00,3.29,3.2999,3.2319,3.263,35.0
2022-06-24 23:00:00,3.268,3.3028,3.268,3.2941,8.0
2022-06-27 23:00:00,3.2881,3.31,3.2417,3.2417,21.0
2022-06-28 23:00:00,3.2012,3.309,3.2002,3.309,17.0
2022-06-29 23:00:00,3.3319,3.3319,3.2545,3.2545,8.0
2022-06-30 23:00:00,3.2329,3.2335,3.1378,3.1932,42.0
2022-07-01 23:00:00,3.2571,3.2571,3.2349,3.2487,2.0
2022-07-05 23:00:00,3.12,3.1585,3.0333,3.0555,44.0
2022-07-06 23:00:00,3.0353,3.0398,2.9339,2.9698,59.0
2022-07-07 23:00:00,3.0866,3.142,3.0725,3.142,35.0
2022-07-08 23:00:00,3.075,3.1607,3.075,3.1607,6.0
2022-07-11 23:00:00,3.1595,3.206,3.1512,3.206,7.0
2022-07-12 23:00:00,3.063,3.0806,3.047,3.047,62.0
2022-07-13 23:00:00,3.0755,3.0844,3.0395,3.0775,6.0
2022-07-14 23:00:00,2.9837,3.0662,2.9836,3.0616,9.0
2022-07-15 23:00:00,3.08,3.0948,3.0711,3.081,25.0
2022-07-18 23:00:00,3.1296,3.1311,3.1236,3.1236,5.0
2022-07-19 23:00:00,3.0782,3.1156,3.0782,3.1147,31.0
2022-07-20 23:00:00,3.086,3.1238,3.086,3.1227,14.0
2022-07-21 23:00:00,3.0482,3.0741,3.0094,3.0649,107.0
2022-07-22 23:00:00,3.0691,3.0725,2.9907,2.9984,17.0
2022-07-25 23:00:00,3.0294,3.0633,3.0294,3.0407,20.0
2022-07-26 23:00:00,3.1071,3.1083,3.0685,3.0875,26.0
2022-07-27 23:00:00,3.1229,3.1524,3.1172,3.1524,18.0
2022-07-28 23:00:00,3.1225,3.1347,3.1161,3.1317,10.0
2022-07-29 23:00:00,3.1743,3.2125,3.1133,3.1235,29.0
2022-08-01 23:00:00,3.0525,3.0898,3.029,3.0781,74.0
2022-08-02 23:00:00,3.085,3.0932,3.0542,3.0684,69.0
2022-08-03 23:00:00,3.0981,3.0981,3.0394,3.0514,43.0
2022-08-04 23:00:00,3.0144,3.0255,2.9554,2.9863,34.0
2022-08-05 23:00:00,2.9015,2.9923,2.9015,2.905,106.0
