DATETIME,FINAL,HIGH,LOW,OPEN,VOLUME
2022-12-01 23:00:00,2.4526,2.4526,2.4526,2.4526,0.0
2022-12-02 23:00:00,2.4299,2.4299,2.4299,2.4299,0.0
2022-12-05 23:00:00,2.3945,2.3945,2.3945,2.3945,0.0
2022-12-06 23:00:00,2.3792,2.3792,2.3792,2.3792,0.0
2022-12-07 23:00:00,2.3614,2.3614,2.3614,2.3614,0.0
2022-12-08 23:00:00,2.3677,2.3677,2.3677,2.3677,0.0
2022-12-09 23:00:00,2.3628,2.3628,2.3628,2.3628,0.0
2022-12-12 23:00:00,2.4197,2.4197,2.4197,2.4197,0.0
2022-12-13 23:00:00,2.4515,2.4515,2.4515,2.4515,0.0
2022-12-14 23:00:00,2.4847,2.4847,2.4847,2.4847,0.0
2022-12-15 23:00:00,2.4504,2.4504,2.4504,2.4504,0.0
2022-12-16 23:00:00,2.3883,2.3883,2.3883,2.3883,0.0
2022-12-19 23:00:00,2.3904,2.3904,2.3904,2.3904,0.0
2022-12-20 23:00:00,2.4297,2.4297,2.4297,2.4297,0.0
2022-12-21 23:00:00,2.4801,2.4801,2.4801,2.4801,0.0
2022-12-22 23:00:00,2.4303,2.4303,2.4303,2.4303,0.0
2022-12-23 23:00:00,2.5127,2.5127,2.5127,2.5127,0.0
2022-12-27 23:00:00,2.5494,2.5494,2.5494,2.5494,0.0
2022-12-28 23:00:00,2.5111,2.5111,2.5111,2.5111,0.0
2022-12-29 23:00:00,2.4766,2.4766,2.4766,2.4766,0.0
2022-12-30 23:00:00,2.5009,2.5009,2.5009,2.5009,0.0
2023-01-03 23:00:00,2.4032,2.4032,2.4032,2.4032,0.0
2023-01-04 23:00:00,2.362,2.362,2.362,2.362,0.0
2023-01-05 23:00:00,2.3575,2.3575,2.3575,2.3575,0.0
2023-01-06 23:00:00,2.3702,2.3702,2.3702,2.3702,0.0
2023-01-09 23:00:00,2.4116,2.4116,2.4116,2.4116,0.0
2023-01-10 23:00:00,2.4192,2.4192,2.4192,2.4192,0.0
2023-01-11 23:00:00,2.4526,2.4526,2.4526,2.4526,0.0
2023-01-12 23:00:00,2.4696,2.4696,2.4696,2.4696,0.0
2023-01-13 23:00:00,2.4856,2.4856,2.4856,2.4856,0.0
2023-01-17 23:00:00,2.4855,2.4855,2.4855,2.4855,0.0
2023-01-18 23:00:00,2.483,2.483,2.483,2.483,0.0
2023-01-19 23:00:00,2.5038,2.5038,2.5038,2.5038,0.0
2023-01-20 23:00:00,2.5278,2.5278,2.5278,2.5278,0.0
2023-01-23 23:00:00,2.5507,2.5507,2.5507,2.5507,0.0
2023-01-24 23:00:00,2.5084,2.5084,2.5084,2.5084,0.0
2023-01-25 23:00:00,2.4832,2.4832,2.4832,2.4832,0.0
2023-01-26 23:00:00,2.4958,2.4958,2.4958,2.4958,0.0
2023-01-27 23:00:00,2.4664,2.4664,2.4664,2.4664,0.0
2023-01-30 23:00:00,2.4472,2.4472,2.4472,2.4472,0.0
2023-01-31 23:00:00,2.4824,2.4824,2.4824,2.4824,0.0
2023-02-01 23:00:00,2.4217,2.4217,2.4217,2.4217,0.0
2023-02-02 23:00:00,2.4017,2.4017,2.4017,2.4017,0.0
2023-02-03 23:00:00,2.3441,2.3441,2.3441,2.3441,0.0
2023-02-10 23:00:00,2.3892,2.3892,2.3892,2.3892,0.0
2023-02-13 23:00:00,2.4068,2.4068,2.4068,2.4068,0.0
2023-02-14 23:00:00,2.3945,2.3945,2.3945,2.3945,0.0
2023-02-15 23:00:00,2.3836,2.3836,2.3836,2.3836,0.0
2023-02-16 23:00:00,2.378,2.378,2.378,2.378,0.0
2023-02-17 23:00:00,2.3454,2.3454,2.3454,2.3454,0.0
2023-02-21 23:00:00,2.3496,2.3496,2.3496,2.3496,0.0
