DATETIME,FINAL,HIGH,LOW,OPEN,VOLUME
2022-05-07 23:00:00,149.04,149.16,148.97,149.15,977.0
2022-05-09 23:00:00,149.01,149.14,148.99,149.0,997.0
2022-05-10 23:00:00,149.21,149.25,148.96,149.01,4075.0
2022-05-11 23:00:00,149.41,149.41,149.2,149.21,1591.0
2022-05-12 23:00:00,149.52,149.54,149.18,149.4,2257.0
2022-05-13 23:00:00,149.49,149.65,149.44,149.53,1221.0
2022-05-14 23:00:00,149.51,149.52,149.44,149.5,507.0
2022-05-16 23:00:00,149.46,149.57,149.44,149.52,749.0
2022-05-17 23:00:00,149.48,149.56,149.44,149.48,898.0
2022-05-18 23:00:00,149.51,149.55,149.35,149.49,871.0
2022-05-19 23:00:00,149.65,149.66,149.47,149.52,944.0
2022-05-20 23:00:00,149.74,149.84,149.56,149.67,1353.0
2022-05-21 23:00:00,149.76,149.84,149.72,149.74,169.0
2022-05-23 23:00:00,149.75,149.86,149.72,149.85,554.0
2022-05-24 23:00:00,149.92,149.92,149.68,149.74,930.0
2022-05-25 23:00:00,150.12,150.15,149.9,149.94,1196.0
2022-05-26 23:00:00,149.88,150.17,149.8,150.11,1485.0
2022-05-27 23:00:00,149.92,149.99,149.78,149.88,778.0
2022-05-28 23:00:00,149.96,150.02,149.94,149.95,307.0
2022-05-30 23:00:00,149.85,150.04,149.83,150.04,496.0
2022-05-31 23:00:00,149.67,149.95,149.64,149.85,951.0
2022-06-01 23:00:00,149.72,149.78,149.57,149.67,1827.0
2022-06-02 23:00:00,149.72,149.78,149.64,149.76,1899.0
2022-06-03 23:00:00,149.82,149.88,149.67,149.71,1997.0
2022-06-04 23:00:00,149.77,149.88,149.72,149.83,1383.0
2022-06-06 23:00:00,149.66,149.8,149.66,149.72,2391.0
2022-06-07 23:00:00,149.59,149.7,149.44,149.69,6917.0
2022-06-08 23:00:00,149.56,149.7,149.5,149.61,8391.0
2022-06-09 23:00:00,149.67,149.67,149.46,149.52,2688.0
2022-06-10 23:00:00,149.64,149.65,149.48,149.65,639.0
