DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2022-12-15 23:00:00,147.32,147.32,147.32,147.32,0.0
2022-12-16 23:00:00,147.25,147.25,147.25,147.25,0.0
2022-12-17 23:00:00,147.13,147.13,147.13,147.13,0.0
2022-12-19 23:00:00,147.13,147.13,147.13,147.13,0.0
2022-12-20 23:00:00,145.36,145.36,145.36,145.36,0.0
2022-12-21 23:00:00,145.04,145.04,145.04,145.04,0.0
2022-12-22 23:00:00,145.45,145.45,145.45,145.45,0.0
2022-12-23 23:00:00,145.42,145.42,145.42,145.42,0.0
2022-12-24 23:00:00,145.17,145.17,145.17,145.17,0.0
2022-12-26 23:00:00,145.17,145.17,145.17,145.17,0.0
2022-12-27 23:00:00,144.98,144.98,144.98,144.98,0.0
2022-12-28 23:00:00,144.85,144.85,144.85,144.85,0.0
2022-12-29 23:00:00,144.72,144.72,144.72,144.72,0.0
2022-12-30 23:00:00,144.65,144.65,144.65,144.65,0.0
2022-12-31 23:00:00,144.6,144.6,144.6,144.6,0.0
2023-01-04 23:00:00,144.6,144.6,144.6,144.6,0.0
2023-01-05 23:00:00,144.79,144.79,144.79,144.79,0.0
2023-01-06 23:00:00,145.03,145.03,145.03,145.03,0.0
2023-01-07 23:00:00,144.76,144.76,144.76,144.76,0.0
2023-01-10 23:00:00,144.76,144.76,144.76,144.76,0.0
2023-01-11 23:00:00,144.65,144.65,144.65,144.65,0.0
2023-01-12 23:00:00,144.19,144.19,144.19,144.19,0.0
2023-01-13 23:00:00,143.2,143.2,143.2,143.2,0.0
2023-01-14 23:00:00,143.14,143.14,143.14,143.14,0.0
2023-01-16 23:00:00,143.14,143.14,143.14,143.14,0.0
2023-01-17 23:00:00,143.48,143.48,143.48,143.48,0.0
2023-01-18 23:00:00,144.77,144.77,144.77,144.77,0.0
2023-01-19 23:00:00,145.14,145.14,145.14,145.14,0.0
2023-01-20 23:00:00,145.71,145.71,145.71,145.71,0.0
2023-01-21 23:00:00,146.44,146.44,146.44,146.44,0.0
2023-01-23 23:00:00,146.44,146.44,146.44,146.44,0.0
2023-01-24 23:00:00,146.27,146.27,146.27,146.27,0.0
2023-01-25 23:00:00,146.29,146.29,146.29,146.29,0.0
2023-01-26 23:00:00,146.11,146.11,146.11,146.11,0.0
2023-01-27 23:00:00,145.36,145.36,145.36,145.36,0.0
2023-01-28 23:00:00,145.55,145.55,145.55,145.55,0.0
2023-01-30 23:00:00,145.55,145.55,145.55,145.55,0.0
2023-01-31 23:00:00,145.38,145.38,145.38,145.38,0.0
2023-02-01 23:00:00,145.46,145.46,145.46,145.46,0.0
2023-02-02 23:00:00,145.59,145.59,145.59,145.59,0.0
2023-02-03 23:00:00,146.01,146.01,146.01,146.01,0.0
2023-02-04 23:00:00,145.86,145.86,145.86,145.86,0.0
2023-02-06 23:00:00,145.86,145.86,145.86,145.86,0.0
2023-02-07 23:00:00,145.7,145.7,145.7,145.7,0.0
2023-02-08 23:00:00,145.69,145.69,145.69,145.69,0.0
2023-02-09 23:00:00,145.53,145.53,145.53,145.53,0.0
2023-02-10 23:00:00,145.4,145.4,145.4,145.4,0.0
2023-02-11 23:00:00,145.42,145.42,145.42,145.42,0.0
2023-02-13 23:00:00,145.42,145.42,145.42,145.42,0.0
2023-02-14 23:00:00,145.57,145.57,145.57,145.57,0.0
2023-02-15 23:00:00,145.59,145.59,145.59,145.59,0.0
2023-02-16 23:00:00,145.55,145.55,145.55,145.55,0.0
2023-02-17 23:00:00,145.47,145.47,145.47,145.47,0.0
2023-02-18 23:00:00,145.49,145.49,145.49,145.49,0.0
2023-02-20 23:00:00,145.49,145.49,145.49,145.49,0.0
2023-02-21 23:00:00,145.27,145.27,145.27,145.27,0.0
2023-02-22 23:00:00,145.14,145.14,145.14,145.14,0.0
2023-02-23 23:00:00,145.14,145.14,145.14,145.14,0.0
2023-02-24 23:00:00,145.48,145.48,145.48,145.48,0.0
2023-02-25 23:00:00,145.37,145.37,145.37,145.37,0.0
2023-02-27 23:00:00,145.37,145.37,145.37,145.37,0.0
2023-02-28 23:00:00,145.59,145.59,145.59,145.59,0.0
2023-03-01 23:00:00,145.59,145.59,145.59,145.59,0.0
2023-03-02 23:00:00,145.52,145.52,145.52,145.52,0.0
2023-03-03 23:00:00,145.72,145.72,145.72,145.72,0.0
2023-03-04 23:00:00,145.57,145.57,145.57,145.57,0.0
2023-03-06 23:00:00,145.57,145.57,145.57,145.57,0.0
2023-03-07 23:00:00,145.5,145.5,145.5,145.5,0.0
2023-03-08 23:00:00,145.47,145.47,145.47,145.47,0.0
2023-03-09 23:00:00,145.19,145.19,145.19,145.19,0.0
2023-03-10 23:00:00,145.49,145.49,145.49,145.49,0.0
2023-03-11 23:00:00,146.15,146.15,146.15,146.15,0.0
2023-03-13 23:00:00,146.15,146.15,146.15,146.15,0.0
2023-03-14 23:00:00,147.6,147.6,147.6,147.6,0.0
2023-03-15 23:00:00,146.22,146.22,146.22,146.22,0.0
2023-03-16 23:00:00,147.97,147.97,147.97,147.97,0.0
2023-03-17 23:00:00,147.85,147.85,147.85,147.85,0.0
2023-03-18 23:00:00,147.99,147.99,147.99,147.99,0.0
2023-03-20 23:00:00,147.99,147.99,147.99,147.99,0.0
2023-03-21 23:00:00,147.99,147.99,147.99,147.99,0.0
2023-03-22 23:00:00,147.86,147.86,147.86,147.86,0.0
2023-03-23 23:00:00,148.06,148.06,148.06,148.06,0.0
2023-03-24 23:00:00,148.24,148.24,148.24,148.24,0.0
2023-03-25 23:00:00,147.64,147.64,147.64,147.64,0.0
2023-03-27 23:00:00,147.64,147.64,147.64,147.64,0.0
2023-03-28 23:00:00,147.51,147.51,147.51,147.51,0.0
2023-03-29 23:00:00,147.62,147.62,147.62,147.62,0.0
2023-03-30 23:00:00,147.31,147.31,147.31,147.31,0.0
2023-03-31 23:00:00,147.12,147.12,147.12,147.12,0.0
2023-04-01 23:00:00,146.71,146.71,146.71,146.71,0.0
2023-04-03 23:00:00,146.71,146.71,146.71,146.71,0.0
2023-04-04 23:00:00,146.48,146.48,146.48,146.48,0.0
2023-04-05 23:00:00,146.51,146.51,146.51,146.51,0.0
2023-04-06 23:00:00,146.66,146.66,146.66,146.66,0.0
2023-04-07 23:00:00,146.66,146.66,146.66,146.66,0.0
2023-04-08 23:00:00,146.57,146.57,146.57,146.57,0.0
2023-04-10 23:00:00,146.57,146.57,146.57,146.57,0.0
2023-04-11 23:00:00,146.91,146.91,146.91,146.91,0.0
2023-04-12 23:00:00,146.78,146.78,146.78,146.78,0.0
2023-04-13 23:00:00,146.91,146.91,146.91,146.91,0.0
2023-04-14 23:00:00,146.86,146.86,146.86,146.86,0.0
2023-04-15 23:00:00,146.52,146.52,146.52,146.52,0.0
2023-04-17 23:00:00,146.52,146.52,146.52,146.52,0.0
