DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2022-07-25 23:00:00,0.77,0.77,0.77,0.77,0.0
2022-08-01 23:00:00,0.774,0.774,0.774,0.774,0.0
2022-08-08 23:00:00,0.774,0.774,0.774,0.774,0.0
2022-08-15 23:00:00,0.77,0.77,0.77,0.77,0.0
2022-08-22 23:00:00,0.751,0.751,0.751,0.751,0.0
2022-08-29 23:00:00,0.748,0.748,0.748,0.748,0.0
2022-09-05 23:00:00,0.736,0.736,0.736,0.736,0.0
2022-09-12 23:00:00,0.733,0.733,0.733,0.733,0.0
2022-09-19 23:00:00,0.727,0.727,0.727,0.727,0.0
2022-09-26 23:00:00,0.708,0.708,0.708,0.708,0.0
2022-10-03 23:00:00,0.702,0.702,0.702,0.702,0.0
2022-10-10 23:00:00,0.709,0.709,0.709,0.709,0.0
2022-10-17 23:00:00,0.704,0.704,0.704,0.704,0.0
2022-10-24 23:00:00,0.7,0.7,0.7,0.7,0.0
2022-10-31 23:00:00,0.707,0.707,0.707,0.707,0.0
2022-11-07 23:00:00,0.728,0.728,0.728,0.728,0.0
2022-11-14 23:00:00,0.762,0.762,0.762,0.762,0.0
2022-11-21 23:00:00,0.744,0.744,0.744,0.744,0.0
2022-11-28 23:00:00,0.76,0.76,0.76,0.76,0.0
2022-12-05 23:00:00,0.778,0.778,0.778,0.778,0.0
2022-12-12 23:00:00,0.774,0.774,0.774,0.774,0.0
2022-12-19 23:00:00,0.775,0.775,0.775,0.775,0.0
2022-12-26 23:00:00,0.79,0.79,0.79,0.79,0.0
2023-01-03 23:00:00,0.789,0.789,0.789,0.789,0.0
2023-01-09 23:00:00,0.808,0.808,0.808,0.808,0.0
2023-01-16 23:00:00,0.814,0.814,0.814,0.814,0.0
2023-01-23 23:00:00,0.82,0.82,0.82,0.82,0.0
2023-01-30 23:00:00,0.82,0.82,0.82,0.82,0.0
2023-02-06 23:00:00,0.8,0.8,0.8,0.8,0.0
2023-02-13 23:00:00,0.787,0.787,0.787,0.787,0.0
2023-02-20 23:00:00,0.776,0.776,0.776,0.776,0.0
2023-02-27 23:00:00,0.762,0.762,0.762,0.762,0.0
2023-03-06 23:00:00,0.774,0.774,0.774,0.774,0.0
2023-03-13 23:00:00,0.771,0.771,0.771,0.771,0.0
2023-03-20 23:00:00,0.77,0.77,0.77,0.77,0.0
2023-03-27 23:00:00,0.774,0.774,0.774,0.774,0.0
2023-04-03 23:00:00,0.765,0.765,0.765,0.765,0.0
2023-04-10 23:00:00,0.763,0.763,0.763,0.763,0.0
2023-04-17 23:00:00,0.765,0.765,0.765,0.765,0.0
2023-04-24 20:00:00,0.7549,0.7549,0.7549,0.7549,1.0
2023-04-24 21:00:00,0.7549,0.7549,0.7549,0.7549,0.0
2023-04-24 22:00:00,0.7519,0.7519,0.7519,0.7519,1.0
2023-04-24 23:00:00,0.7519,0.7519,0.7519,0.7519,0.0
2023-04-25 01:00:00,0.7519,0.7519,0.7519,0.7519,0.0
2023-04-25 02:00:00,0.7519,0.7519,0.7519,0.7519,0.0
2023-04-25 03:00:00,0.7519,0.7519,0.7519,0.7519,0.0
2023-04-25 04:00:00,0.7519,0.7519,0.7519,0.7519,0.0
2023-04-25 05:00:00,0.7519,0.7519,0.7519,0.7519,0.0
2023-04-25 06:00:00,0.7519,0.7519,0.7519,0.7519,0.0
2023-04-25 07:00:00,0.7519,0.7519,0.7519,0.7519,0.0
2023-04-25 23:00:00,0.7549,0.7549,0.7519,0.7519,2.0
2023-05-01 23:00:00,0.749,0.749,0.749,0.749,0.0
2023-05-04 23:00:00,0.759,0.759,0.759,0.759,0.0
2023-05-08 02:00:00,0.7599,0.7599,0.7599,0.7599,1.0
2023-05-08 23:00:00,0.7599,0.7599,0.759,0.759,1.0
2023-05-09 01:00:00,0.7599,0.7599,0.7599,0.7599,1.0
2023-05-09 08:00:00,0.7572,0.7572,0.7572,0.7572,3.0
2023-05-09 23:00:00,0.7599,0.7599,0.7599,0.7599,1.0
2023-05-10 23:00:00,0.7572,0.7572,0.7572,0.7572,3.0
2023-05-11 10:00:00,0.7545,0.7545,0.7545,0.7545,1.0
2023-05-11 20:00:00,0.7525,0.7525,0.7525,0.7525,1.0
2023-05-11 23:00:00,0.758,0.758,0.758,0.758,1.0
2023-05-12 12:00:00,0.7479,0.7479,0.7479,0.7479,1.0
2023-05-12 23:00:00,0.7545,0.7545,0.7518,0.7518,3.0
2023-05-13 23:00:00,0.7479,0.7479,0.7479,0.7479,1.0
2023-05-14 20:00:00,0.7496,0.7501,0.7496,0.7501,2.0
2023-05-14 21:00:00,0.7487,0.75,0.7487,0.75,2.0
2023-05-14 22:00:00,0.7498,0.7498,0.7498,0.7498,1.0
2023-05-15 01:00:00,0.752,0.752,0.752,0.752,1.0
