DATETIME,FINAL,HIGH,LOW,OPEN,VOLUME
2022-12-26 23:00:00,0.795,0.795,0.795,0.795,0.0
2023-01-03 23:00:00,0.794,0.794,0.794,0.794,0.0
2023-01-09 23:00:00,0.815,0.815,0.815,0.815,0.0
2023-01-16 23:00:00,0.82,0.82,0.82,0.82,0.0
2023-01-23 23:00:00,0.826,0.826,0.826,0.826,0.0
2023-01-30 23:00:00,0.826,0.826,0.826,0.826,0.0
2023-02-06 23:00:00,0.806,0.806,0.806,0.806,0.0
2023-02-13 23:00:00,0.794,0.794,0.794,0.794,0.0
2023-02-20 23:00:00,0.783,0.783,0.783,0.783,0.0
2023-02-27 23:00:00,0.769,0.769,0.769,0.769,0.0
2023-03-06 23:00:00,0.781,0.781,0.781,0.781,0.0
2023-03-13 23:00:00,0.778,0.778,0.778,0.778,0.0
2023-03-20 23:00:00,0.776,0.776,0.776,0.776,0.0
2023-03-27 23:00:00,0.781,0.781,0.781,0.781,0.0
2023-04-03 23:00:00,0.771,0.771,0.771,0.771,0.0
2023-04-10 23:00:00,0.77,0.77,0.77,0.77,0.0
2023-04-17 23:00:00,0.772,0.772,0.772,0.772,0.0
2023-04-24 23:00:00,0.76,0.76,0.76,0.76,0.0
2023-05-01 23:00:00,0.757,0.757,0.757,0.757,0.0
