DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2022-04-26 23:00:00,95.25,95.85,94.325,94.55,55.0
2022-04-27 23:00:00,94.55,95.35,94.55,95.0,67.0
2022-04-28 23:00:00,95.0,95.8,94.75,95.675,79.0
2022-04-29 23:00:00,95.675,95.675,92.45,92.775,119.0
2022-05-02 23:00:00,92.775,93.575,89.575,91.675,172.0
2022-05-03 23:00:00,92.075,92.125,90.2,90.85,186.0
2022-05-04 23:00:00,91.15,93.925,90.95,93.575,155.0
2022-05-05 23:00:00,93.575,95.15,93.15,95.0,138.0
2022-05-06 23:00:00,95.0,95.0,93.8,94.4,165.0
2022-05-09 23:00:00,94.0,94.0,92.4,93.125,87.0
2022-05-10 23:00:00,93.125,93.125,92.325,92.325,44.0
2022-05-11 23:00:00,92.0,92.325,91.125,91.675,178.0
2022-05-12 23:00:00,91.675,91.675,90.35,90.725,141.0
2022-05-13 23:00:00,90.725,91.125,90.0,91.025,73.0
2022-05-16 23:00:00,91.35,92.75,91.3,92.6,34.0
2022-05-17 23:00:00,92.6,92.6,91.125,91.425,105.0
2022-05-18 23:00:00,91.525,92.05,89.45,91.825,154.0
2022-05-19 23:00:00,91.825,92.225,90.85,92.0,92.0
2022-05-20 23:00:00,92.0,92.95,91.2,92.85,175.0
2022-05-23 23:00:00,92.95,93.95,92.95,93.875,115.0
2022-05-24 23:00:00,93.425,94.0,93.2,93.875,150.0
2022-05-25 23:00:00,93.9,93.95,93.075,93.725,255.0
2022-05-26 23:00:00,93.725,93.85,93.025,93.65,227.0
2022-05-27 23:00:00,93.65,93.7,93.35,93.625,191.0
2022-05-31 23:00:00,93.275,93.9,91.75,93.8,386.0
2022-06-01 23:00:00,93.8,93.95,93.275,93.45,509.0
2022-06-02 23:00:00,93.4,93.9,93.4,93.875,318.0
2022-06-03 23:00:00,93.4,93.8,93.075,93.625,229.0
2022-06-06 23:00:00,93.225,93.75,92.5,93.7,269.0
2022-06-07 23:00:00,93.3,93.725,92.65,93.475,439.0
