DATETIME,FINAL,HIGH,LOW,OPEN,VOLUME
2022-05-06 23:00:00,21.53,21.53,21.53,21.53,0.0
2022-05-09 23:00:00,21.5,21.5,21.5,21.5,0.0
2022-05-10 23:00:00,21.45,21.45,21.45,21.45,0.0
2022-05-11 23:00:00,21.45,21.45,21.45,21.45,0.0
2022-05-12 23:00:00,21.65,21.65,21.5,21.5,2.0
2022-05-13 23:00:00,21.71,21.71,21.71,21.71,0.0
2022-05-16 23:00:00,21.8,21.99,21.65,21.65,10.0
2022-05-17 23:00:00,21.8,21.8,21.8,21.8,0.0
2022-05-18 23:00:00,21.8,21.8,21.8,21.8,0.0
2022-05-19 23:00:00,22.19,22.19,21.9,21.9,14.0
2022-05-20 23:00:00,22.19,22.19,22.19,22.19,0.0
2022-05-23 23:00:00,22.36,22.36,22.3,22.3,6.0
2022-05-24 23:00:00,22.47,22.47,22.47,22.47,5.0
2022-05-25 23:00:00,22.75,22.75,22.7,22.7,7.0
2022-05-26 23:00:00,22.77,22.79,22.77,22.79,4.0
2022-05-27 23:00:00,22.77,22.77,22.77,22.77,0.0
2022-05-31 23:00:00,22.88,23.07,22.88,23.05,5.0
2022-06-01 23:00:00,23.09,23.09,23.09,23.09,0.0
2022-06-02 23:00:00,23.15,23.2,23.15,23.15,7.0
2022-06-03 23:00:00,23.14,23.14,23.05,23.05,2.0
2022-06-06 23:00:00,23.25,23.25,23.25,23.25,1.0
2022-06-07 23:00:00,23.59,23.59,23.45,23.45,26.0
2022-06-08 23:00:00,23.59,23.59,23.59,23.59,0.0
2022-06-09 23:00:00,23.49,23.49,23.49,23.49,0.0
2022-06-10 23:00:00,23.48,23.48,23.48,23.48,0.0
2022-06-13 23:00:00,23.29,23.29,23.29,23.29,0.0
2022-06-14 23:00:00,23.29,23.29,23.29,23.29,0.0
2022-06-15 23:00:00,23.09,23.09,23.09,23.09,0.0
2022-06-16 23:00:00,22.9,22.9,22.9,22.9,4.0
2022-06-17 23:00:00,22.68,22.68,22.68,22.68,0.0
2022-06-21 23:00:00,22.74,22.77,22.73,22.73,5.0
2022-06-22 23:00:00,22.82,22.85,22.82,22.85,6.0
2022-06-23 23:00:00,22.82,22.82,22.69,22.69,5.0
2022-06-24 23:00:00,22.82,22.82,22.82,22.82,0.0
2022-06-27 23:00:00,22.75,22.87,22.74,22.8,14.0
2022-06-28 23:00:00,22.88,22.88,22.82,22.82,2.0
2022-06-29 23:00:00,23.0,23.0,22.9,22.9,6.0
2022-06-30 23:00:00,22.74,22.74,22.67,22.67,5.0
2022-07-01 23:00:00,22.74,22.74,22.74,22.74,0.0
2022-07-05 23:00:00,22.33,22.33,22.0,22.0,3.0
2022-07-06 23:00:00,21.85,22.05,21.78,21.78,21.0
2022-07-07 23:00:00,22.15,22.15,22.07,22.07,2.0
2022-07-08 23:00:00,22.09,22.14,22.09,22.12,5.0
2022-07-11 23:00:00,21.98,22.1,21.8,22.1,26.0
2022-07-12 23:00:00,21.9,21.9,21.7,21.74,4.0
2022-07-13 23:00:00,21.21,21.6,21.21,21.6,3.0
2022-07-14 23:00:00,21.21,21.21,21.21,21.21,0.0
2022-07-15 23:00:00,20.81,20.81,20.71,20.71,1.0
2022-07-18 23:00:00,21.0,21.0,20.93,21.0,5.0
2022-07-19 23:00:00,20.81,20.81,20.81,20.81,0.0
2022-07-20 23:00:00,20.81,20.81,20.81,20.81,0.0
2022-07-21 23:00:00,20.79,20.79,20.7,20.72,10.0
2022-07-22 23:00:00,20.72,20.72,20.72,20.72,0.0
2022-07-25 23:00:00,20.75,20.75,20.75,20.75,2.0
2022-07-26 23:00:00,20.94,20.94,20.94,20.94,1.0
2022-07-27 23:00:00,21.06,21.06,21.04,21.04,1.0
2022-07-28 23:00:00,20.74,21.02,20.74,21.02,27.0
2022-07-29 23:00:00,20.74,20.74,20.74,20.74,0.0
2022-08-01 23:00:00,20.81,20.81,20.81,20.81,0.0
2022-08-02 23:00:00,20.81,20.81,20.81,20.81,0.0
2022-08-03 23:00:00,20.81,20.81,20.81,20.81,0.0
2022-08-04 23:00:00,20.4,20.4,20.4,20.4,1.0
2022-08-05 23:00:00,20.25,20.25,20.25,20.25,0.0
2022-08-08 23:00:00,19.85,19.85,19.85,19.85,0.0
2022-08-09 23:00:00,19.75,19.85,19.75,19.75,2.0
2022-08-10 23:00:00,20.12,20.25,19.88,19.9,3.0
2022-08-11 23:00:00,20.25,20.25,20.25,20.25,2.0
2022-08-12 23:00:00,20.25,20.25,20.25,20.25,0.0
2022-08-15 23:00:00,20.25,20.25,20.25,20.25,0.0
2022-08-16 23:00:00,20.45,20.45,20.35,20.35,5.0
2022-08-17 23:00:00,20.8,20.8,20.55,20.55,5.0
2022-08-18 23:00:00,20.8,20.8,20.8,20.8,0.0
2022-08-19 23:00:00,20.86,20.86,20.76,20.76,4.0
2022-08-22 23:00:00,21.21,21.21,20.94,20.94,6.0
2022-08-23 23:00:00,21.9,21.9,21.48,21.48,11.0
2022-08-24 23:00:00,21.71,21.73,21.71,21.71,2.0
2022-08-25 23:00:00,22.15,22.15,21.93,21.93,12.0
2022-08-26 23:00:00,22.6,22.6,22.16,22.4,9.0
2022-08-29 23:00:00,22.58,22.58,22.58,22.58,0.0
2022-08-30 23:00:00,21.96,22.1,21.96,22.1,3.0
2022-08-31 23:00:00,21.8,21.85,21.8,21.85,4.0
2022-09-01 23:00:00,21.56,21.56,21.5,21.5,2.0
2022-09-02 23:00:00,21.75,21.75,21.75,21.75,0.0
2022-09-06 23:00:00,22.2,22.23,22.2,22.23,18.0
2022-09-07 23:00:00,22.36,22.36,22.23,22.23,9.0
2022-09-08 23:00:00,22.48,22.6,22.39,22.39,21.0
2022-09-09 23:00:00,22.63,22.63,22.52,22.52,3.0
2022-09-12 23:00:00,22.93,22.93,22.9,22.9,1.0
2022-09-13 23:00:00,22.93,22.93,22.93,22.93,0.0
2022-09-14 23:00:00,22.71,22.71,22.55,22.55,3.0
2022-09-15 23:00:00,22.65,22.65,22.29,22.65,2.0
2022-09-16 23:00:00,22.35,22.35,22.35,22.35,2.0
2022-09-19 23:00:00,22.35,22.4,22.35,22.4,2.0
2022-09-20 23:00:00,22.35,22.35,22.35,22.35,0.0
2022-09-21 23:00:00,22.35,22.35,22.08,22.08,3.0
2022-09-22 23:00:00,22.35,22.4,22.35,22.4,3.0
2022-09-23 23:00:00,22.1,22.35,22.0,22.35,12.0
2022-09-26 23:00:00,21.85,21.86,21.84,21.84,11.0
2022-09-27 23:00:00,21.9,21.9,21.73,21.73,4.0
2022-09-28 23:00:00,21.83,21.85,21.77,21.77,6.0
2022-09-29 23:00:00,21.83,21.83,21.83,21.83,0.0
2022-09-30 23:00:00,21.83,21.83,21.83,21.83,0.0
2022-10-03 23:00:00,21.89,21.89,21.89,21.89,0.0
2022-10-04 23:00:00,21.89,21.89,21.89,21.89,0.0
2022-10-05 23:00:00,21.89,21.89,21.87,21.87,3.0
2022-10-06 23:00:00,22.02,22.02,21.81,21.81,2.0
2022-10-07 23:00:00,22.07,22.08,22.07,22.08,2.0
2022-10-10 23:00:00,22.07,22.07,22.07,22.07,0.0
