DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2022-05-06 23:00:00,19.69,19.69,19.69,19.69,0.0
2022-05-09 23:00:00,19.47,19.47,19.47,19.47,0.0
2022-05-10 23:00:00,19.4,19.4,19.4,19.4,3.0
2022-05-11 23:00:00,19.3,19.3,19.3,19.3,0.0
2022-05-12 23:00:00,19.3,19.3,19.3,19.3,3.0
2022-05-13 23:00:00,19.4,19.5,19.23,19.5,5.0
2022-05-16 23:00:00,19.5,19.62,19.5,19.51,5.0
2022-05-17 23:00:00,19.64,19.64,19.64,19.64,2.0
2022-05-18 23:00:00,19.6,19.6,19.57,19.57,2.0
2022-05-19 23:00:00,19.74,19.9,19.74,19.9,17.0
2022-05-20 23:00:00,19.95,20.0,19.89,19.95,33.0
2022-05-23 23:00:00,19.95,19.95,19.95,19.95,0.0
2022-05-24 23:00:00,20.0,20.0,19.95,19.95,39.0
2022-05-25 23:00:00,19.93,20.1,19.93,20.1,6.0
2022-05-26 23:00:00,20.2,20.2,20.2,20.2,5.0
2022-05-27 23:00:00,20.18,20.18,20.18,20.18,1.0
2022-05-31 23:00:00,20.19,20.19,20.18,20.18,1.0
2022-06-01 23:00:00,20.47,20.5,20.47,20.5,4.0
2022-06-02 23:00:00,20.58,20.58,20.5,20.5,2.0
2022-06-03 23:00:00,20.67,20.7,20.6,20.7,14.0
2022-06-06 23:00:00,20.75,20.83,20.75,20.83,8.0
2022-06-07 23:00:00,20.89,21.0,20.89,21.0,12.0
2022-06-08 23:00:00,21.05,21.05,21.05,21.05,4.0
2022-06-09 23:00:00,21.05,21.05,21.05,21.05,0.0
2022-06-10 23:00:00,21.05,21.05,21.05,21.05,0.0
2022-06-13 23:00:00,21.05,21.05,21.05,21.05,0.0
2022-06-14 23:00:00,21.05,21.05,21.05,21.05,0.0
2022-06-15 23:00:00,21.02,21.02,21.02,21.02,0.0
2022-06-16 23:00:00,20.75,20.87,20.75,20.87,6.0
2022-06-17 23:00:00,20.72,20.72,20.72,20.72,0.0
2022-06-21 23:00:00,20.53,20.54,20.53,20.54,1.0
2022-06-22 23:00:00,20.74,20.8,20.74,20.74,2.0
2022-06-23 23:00:00,20.66,20.66,20.59,20.65,4.0
2022-06-24 23:00:00,20.5,20.5,20.4,20.4,9.0
2022-06-27 23:00:00,20.54,20.54,20.31,20.34,4.0
2022-06-28 23:00:00,20.39,20.6,20.39,20.4,20.0
2022-06-29 23:00:00,20.48,20.48,20.48,20.48,0.0
2022-06-30 23:00:00,20.4,20.55,20.4,20.4,11.0
2022-07-01 23:00:00,20.08,20.2,20.08,20.2,6.0
2022-07-05 23:00:00,19.9,20.2,19.9,20.15,17.0
2022-07-06 23:00:00,19.95,19.98,19.49,19.74,18.0
2022-07-07 23:00:00,19.78,19.78,19.75,19.75,14.0
2022-07-08 23:00:00,19.72,19.75,19.7,19.73,33.0
2022-07-11 23:00:00,19.65,19.73,19.65,19.73,1.0
2022-07-12 23:00:00,19.7,19.7,19.7,19.7,0.0
2022-07-13 23:00:00,19.4,19.4,19.4,19.4,3.0
2022-07-14 23:00:00,19.4,19.4,19.4,19.4,0.0
2022-07-15 23:00:00,19.1,19.1,19.1,19.1,0.0
2022-07-18 23:00:00,19.18,19.21,19.1,19.1,4.0
2022-07-19 23:00:00,19.1,19.1,19.1,19.1,0.0
2022-07-20 23:00:00,19.0,19.0,19.0,19.0,0.0
2022-07-21 23:00:00,18.68,18.9,18.62,18.9,20.0
2022-07-22 23:00:00,18.85,18.85,18.85,18.85,6.0
2022-07-25 23:00:00,18.95,18.95,18.95,18.95,2.0
2022-07-26 23:00:00,19.05,19.05,19.05,19.05,0.0
2022-07-27 23:00:00,19.02,19.02,19.02,19.02,1.0
2022-07-28 23:00:00,19.02,19.02,19.02,19.02,0.0
2022-07-29 23:00:00,19.28,19.28,19.28,19.28,0.0
2022-08-01 23:00:00,19.25,19.3,19.25,19.3,2.0
2022-08-02 23:00:00,19.3,19.3,19.3,19.3,0.0
2022-08-03 23:00:00,19.35,19.35,19.35,19.35,1.0
2022-08-04 23:00:00,19.35,19.35,19.35,19.35,0.0
2022-08-05 23:00:00,19.15,19.15,19.15,19.15,0.0
2022-08-08 23:00:00,19.05,19.05,19.05,19.05,3.0
2022-08-09 23:00:00,19.15,19.35,19.15,19.25,12.0
2022-08-10 23:00:00,19.4,19.52,19.37,19.37,23.0
2022-08-11 23:00:00,19.7,19.7,19.7,19.7,5.0
2022-08-12 23:00:00,19.55,19.55,19.55,19.55,0.0
2022-08-15 23:00:00,19.7,19.7,19.7,19.7,1.0
2022-08-16 23:00:00,19.83,20.0,19.78,19.9,13.0
2022-08-17 23:00:00,20.0,20.0,20.0,20.0,1.0
2022-08-18 23:00:00,19.9,19.9,19.9,19.9,0.0
2022-08-19 23:00:00,19.82,19.82,19.82,19.82,0.0
2022-08-22 23:00:00,19.5,19.85,19.5,19.69,5.0
2022-08-23 23:00:00,20.0,20.12,20.0,20.12,36.0
2022-08-24 23:00:00,20.34,20.34,20.16,20.16,6.0
2022-08-25 23:00:00,20.3,20.3,20.3,20.3,4.0
2022-08-26 23:00:00,20.5,20.62,20.5,20.62,9.0
2022-08-29 23:00:00,20.58,20.58,20.46,20.58,3.0
2022-08-30 23:00:00,20.4,20.4,20.4,20.4,0.0
2022-08-31 23:00:00,20.35,20.37,20.35,20.37,5.0
2022-09-01 23:00:00,20.25,20.25,20.23,20.25,5.0
2022-09-02 23:00:00,20.13,20.29,20.13,20.29,6.0
2022-09-06 23:00:00,20.4,20.4,20.4,20.4,1.0
2022-09-07 23:00:00,20.42,20.42,20.37,20.39,7.0
2022-09-08 23:00:00,20.5,20.61,20.46,20.61,14.0
2022-09-09 23:00:00,20.75,20.75,20.5,20.6,8.0
2022-09-12 23:00:00,20.6,20.82,20.55,20.81,14.0
2022-09-13 23:00:00,20.9,20.95,20.9,20.95,5.0
2022-09-14 23:00:00,20.73,20.73,20.73,20.73,1.0
2022-09-15 23:00:00,20.71,20.71,20.6,20.68,2.0
2022-09-16 23:00:00,20.68,20.68,20.68,20.68,0.0
