DATETIME,FINAL,HIGH,LOW,OPEN,VOLUME
2022-05-16 23:00:00,291.3,291.3,291.3,291.3,0.0
2022-05-23 23:00:00,295.75,295.75,295.75,295.75,0.0
2022-05-30 23:00:00,297.1,297.1,297.1,297.1,0.0
2022-06-06 23:00:00,294.5,294.5,294.5,294.5,0.0
2022-06-13 23:00:00,283.55,283.55,283.55,283.55,0.0
2022-06-20 23:00:00,279.9,279.9,279.9,279.9,0.0
2022-06-27 23:00:00,290.1,290.1,290.1,290.1,0.0
2022-07-04 23:00:00,280.05,280.05,280.05,280.05,0.0
2022-07-11 23:00:00,287.95,287.95,287.95,287.95,0.0
2022-07-18 23:00:00,283.2,283.2,283.2,283.2,0.0
2022-07-25 23:00:00,291.9,291.9,291.9,291.9,0.0
2022-07-28 23:00:00,295.0,295.0,295.0,295.0,3.0
2022-07-29 23:00:00,294.05,294.05,294.05,294.05,1.0
2022-08-01 23:00:00,296.7,297.0,295.65,295.65,4.0
2022-08-02 23:00:00,294.55,294.55,294.55,294.55,1.0
2022-08-03 23:00:00,297.85,298.0,296.8,296.8,7.0
2022-08-04 23:00:00,301.95,302.0,298.5,298.5,4.0
2022-08-05 23:00:00,305.8,305.95,303.05,303.05,4.0
2022-08-06 23:00:00,305.1,305.95,304.8,304.8,4.0
2022-08-08 23:00:00,306.8,306.8,305.25,305.25,5.0
2022-08-09 23:00:00,304.9,307.75,304.9,306.9,6.0
2022-08-10 23:00:00,301.2,301.2,301.2,301.2,11.0
2022-08-11 23:00:00,308.2,308.5,305.8,305.8,4.0
2022-08-12 23:00:00,308.75,310.5,308.15,310.5,8.0
2022-08-13 23:00:00,309.2,309.2,308.15,308.15,2.0
2022-08-15 23:00:00,308.3,309.65,307.75,309.65,71.0
2022-08-16 23:00:00,307.0,308.9,306.95,307.5,187.0
2022-08-17 23:00:00,302.7,307.7,301.3,307.55,428.0
2022-08-18 23:00:00,301.4,301.4,298.2,300.0,145.0
2022-08-19 23:00:00,295.05,299.8,295.05,299.35,428.0
2022-08-20 23:00:00,294.15,295.75,293.45,295.6,177.0
2022-08-22 23:00:00,295.8,296.7,292.5,293.7,241.0
2022-08-23 23:00:00,293.3,296.0,290.75,296.0,1424.0
2022-08-24 23:00:00,292.3,293.55,290.85,293.2,7246.0
2022-08-25 23:00:00,295.9,296.25,291.75,292.35,38834.0
2022-08-26 23:00:00,294.6,296.75,294.35,295.3,63808.0
2022-08-27 23:00:00,290.65,296.65,290.4,294.45,10657.0
2022-08-29 23:00:00,289.6,290.55,287.85,289.2,53112.0
2022-08-30 23:00:00,292.3,293.15,288.75,289.6,34347.0
2022-08-31 23:00:00,288.7,292.8,288.15,292.6,40655.0
2022-09-01 23:00:00,288.6,291.6,286.8,288.25,31283.0
2022-09-02 23:00:00,287.15,290.0,286.3,289.0,31187.0
2022-09-03 23:00:00,287.35,289.45,286.0,287.4,4867.0
2022-09-05 23:00:00,288.75,288.85,286.1,286.4,14064.0
2022-09-06 23:00:00,288.4,289.8,287.7,288.95,18989.0
2022-09-07 23:00:00,286.2,288.95,282.75,288.35,35813.0
2022-09-08 23:00:00,288.7,289.95,284.85,286.15,23876.0
2022-09-09 23:00:00,293.0,293.8,287.55,289.0,26376.0
2022-09-10 23:00:00,294.95,295.15,291.85,292.7,5424.0
2022-09-12 23:00:00,296.55,296.85,294.1,295.2,18398.0
2022-09-13 23:00:00,299.25,299.85,296.05,296.35,24985.0
2022-09-14 23:00:00,293.2,300.15,288.35,299.0,34376.0
2022-09-15 23:00:00,293.1,294.5,291.5,293.2,26176.0
2022-09-16 23:00:00,291.05,293.65,290.0,293.35,30033.0
2022-09-17 23:00:00,291.8,291.8,289.7,291.15,4609.0
2022-09-19 23:00:00,289.2,291.85,289.2,291.5,18727.0
2022-09-20 23:00:00,292.25,294.95,289.2,289.25,22681.0
2022-09-21 23:00:00,290.05,292.0,288.95,291.85,25091.0
2022-09-22 23:00:00,289.65,291.8,287.4,290.55,24484.0
2022-09-23 23:00:00,284.2,289.8,283.95,289.35,34719.0
2022-09-24 23:00:00,281.7,284.2,281.25,284.2,5907.0
2022-09-26 23:00:00,281.25,283.75,279.9,281.55,57202.0
2022-09-27 23:00:00,282.15,283.5,280.55,280.75,95596.0
2022-09-28 23:00:00,276.85,283.45,276.85,282.05,52736.0
2022-09-29 23:00:00,279.85,283.25,276.6,277.05,6953.0
2022-09-30 23:00:00,278.425,278.425,278.425,278.425,0.0
