DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2023-02-06 23:00:00,307.8,307.8,307.8,307.8,0.0
2023-02-13 23:00:00,300.85,300.85,300.85,300.85,0.0
2023-02-20 23:00:00,299.15,299.15,299.15,299.15,0.0
2023-02-27 23:00:00,293.75,293.75,293.75,293.75,0.0
2023-02-28 23:00:00,294.6,295.3,294.0,294.0,6.0
2023-03-01 23:00:00,294.3,296.15,294.3,296.15,5.0
2023-03-02 23:00:00,290.55,290.55,289.95,289.95,3.0
2023-03-03 23:00:00,291.6,294.7,291.6,291.95,15.0
2023-03-04 23:00:00,292.85,294.1,292.85,294.1,6.0
2023-03-06 23:00:00,294.8,295.55,292.95,294.8,228.0
2023-03-07 23:00:00,294.65,296.75,294.65,295.65,74.0
2023-03-08 23:00:00,296.8,301.15,296.2,301.15,60.0
2023-03-09 23:00:00,301.4,301.75,297.7,298.05,67.0
2023-03-10 23:00:00,299.05,299.35,292.75,293.1,67.0
2023-03-11 23:00:00,293.35,294.05,292.1,292.6,20.0
2023-03-13 23:00:00,290.3,290.4,286.25,286.25,62.0
2023-03-14 23:00:00,286.6,288.65,285.05,287.3,58.0
2023-03-15 23:00:00,287.55,294.7,287.55,292.4,73.0
2023-03-16 23:00:00,289.2,291.9,286.45,289.9,439.0
2023-03-17 23:00:00,290.3,296.0,290.3,296.0,168.0
2023-03-18 23:00:00,296.0,296.0,292.5,293.0,22.0
2023-03-20 23:00:00,294.8,294.8,288.95,290.6,127.0
2023-03-21 23:00:00,291.25,294.5,285.5,294.35,244.0
2023-03-22 23:00:00,294.9,300.1,294.85,299.85,414.0
2023-03-23 23:00:00,300.2,300.95,295.0,298.0,1000.0
2023-03-24 23:00:00,297.8,301.45,297.45,298.95,9705.0
2023-03-25 23:00:00,298.0,299.3,297.1,298.75,1566.0
2023-03-27 23:00:00,299.45,302.25,299.15,301.3,31779.0
2023-03-28 23:00:00,301.1,304.55,301.05,303.8,79327.0
2023-03-29 23:00:00,303.5,304.75,302.3,304.1,49300.0
2023-03-30 23:00:00,304.3,306.05,302.8,305.5,35706.0
2023-03-31 23:00:00,305.35,307.3,305.15,306.25,28716.0
2023-04-01 23:00:00,306.25,307.1,306.05,306.25,3398.0
2023-04-03 23:00:00,306.2,308.75,305.6,308.3,28454.0
2023-04-04 23:00:00,308.35,312.35,307.75,312.15,33251.0
2023-04-05 23:00:00,312.4,313.25,311.1,311.6,33007.0
2023-04-06 05:50:00,308.7,308.85,308.6,308.7,112.0
2023-04-06 06:00:00,308.7,308.95,308.5,308.95,97.0
2023-04-06 07:00:00,309.0,309.1,308.55,308.9,206.0
2023-04-06 08:00:00,309.1,309.1,308.6,308.65,103.0
2023-04-06 09:00:00,308.65,308.85,306.95,307.2,612.0
2023-04-06 10:00:00,307.35,308.45,307.3,308.1,365.0
2023-04-06 11:00:00,308.1,308.7,308.0,308.65,219.0
2023-04-06 12:00:00,308.7,309.3,308.7,308.85,373.0
2023-04-06 13:00:00,308.8,309.0,308.75,308.95,194.0
2023-04-06 14:00:00,308.95,309.4,308.75,309.0,245.0
2023-04-06 15:00:00,309.05,309.25,308.75,308.85,74.0
2023-04-06 16:00:00,308.95,308.95,308.6,308.6,45.0
2023-04-06 17:00:00,308.5,308.5,308.5,308.5,1.0
2023-04-06 20:30:00,308.95,309.2,308.65,309.1,313.0
2023-04-06 21:00:00,309.1,309.4,308.95,309.3,479.0
2023-04-06 22:00:00,309.3,309.95,309.25,309.8,615.0
2023-04-06 23:00:00,309.75,309.95,309.7,309.95,470.0
2023-04-07 01:00:00,309.45,309.65,309.35,309.5,195.0
2023-04-07 02:00:00,309.5,309.9,309.5,309.85,432.0
