DATETIME,FINAL,HIGH,LOW,OPEN,VOLUME
2022-05-06 23:00:00,570.75,591.0,570.75,589.75,12.0
2022-05-09 23:00:00,559.0,570.5,546.0,570.5,45.0
2022-05-10 23:00:00,550.75,561.5,544.0,561.5,7.0
2022-05-11 23:00:00,561.75,564.0,551.25,555.0,13.0
2022-05-12 23:00:00,590.0,590.0,563.0,566.5,11.0
2022-05-13 23:00:00,586.0,587.0,586.0,587.0,1.0
2022-05-16 23:00:00,594.5,601.0,594.5,597.5,10.0
2022-05-17 23:00:00,607.75,608.0,601.75,601.75,2.0
2022-05-18 23:00:00,598.0,606.0,588.25,606.0,10.0
2022-05-19 23:00:00,588.5,592.5,585.25,585.25,14.0
2022-05-20 23:00:00,584.25,585.25,576.5,585.25,41.0
2022-05-23 23:00:00,599.25,605.0,598.75,605.0,10.0
2022-05-24 23:00:00,621.5,632.5,607.75,632.5,16.0
2022-05-25 23:00:00,626.25,627.75,619.75,620.25,12.0
2022-05-26 23:00:00,633.0,635.25,626.0,626.0,27.0
2022-05-27 23:00:00,646.5,647.5,633.0,633.0,18.0
2022-05-31 23:00:00,641.5,657.25,630.5,637.0,79.0
2022-06-01 23:00:00,626.0,633.5,625.0,633.5,30.0
2022-06-02 23:00:00,631.25,640.75,629.0,640.0,45.0
2022-06-03 23:00:00,636.75,640.5,627.25,631.5,43.0
2022-06-06 23:00:00,637.25,645.0,632.5,639.75,25.0
2022-06-07 23:00:00,632.75,644.25,625.5,640.0,51.0
2022-06-08 23:00:00,624.75,629.5,620.0,629.5,52.0
2022-06-09 23:00:00,633.5,633.5,622.25,622.25,27.0
2022-06-10 23:00:00,617.25,632.5,610.0,632.5,87.0
2022-06-13 23:00:00,623.25,623.25,599.75,615.0,48.0
2022-06-14 23:00:00,629.25,634.5,621.0,622.75,59.0
2022-06-15 23:00:00,627.25,639.5,627.25,630.0,15.0
2022-06-16 23:00:00,623.5,624.75,621.25,624.0,19.0
2022-06-17 23:00:00,623.5,629.5,621.25,625.75,58.0
2022-06-21 23:00:00,604.0,623.5,599.0,622.0,70.0
2022-06-22 23:00:00,584.5,587.5,575.0,584.5,72.0
2022-06-23 23:00:00,550.5,570.75,545.25,569.5,114.0
2022-06-24 23:00:00,533.0,556.0,525.75,545.75,117.0
2022-06-27 23:00:00,508.75,540.0,499.5,540.0,150.0
2022-06-28 23:00:00,509.5,522.5,508.0,515.25,126.0
2022-06-29 23:00:00,515.5,518.75,508.75,515.0,123.0
2022-06-30 23:00:00,515.5,518.5,492.75,512.0,127.0
2022-07-01 23:00:00,505.0,516.5,500.5,514.25,79.0
2022-07-05 23:00:00,463.5,505.75,462.0,505.75,156.0
2022-07-06 23:00:00,462.25,473.5,457.0,472.0,98.0
2022-07-07 23:00:00,466.25,471.75,457.25,467.75,39.0
2022-07-08 23:00:00,492.75,492.75,470.0,472.0,161.0
2022-07-11 23:00:00,491.25,498.0,485.0,497.75,23.0
2022-07-12 23:00:00,463.25,487.0,453.0,487.0,40.0
2022-07-13 23:00:00,462.0,480.0,458.25,467.0,39.0
2022-07-14 23:00:00,467.0,470.0,457.0,458.25,23.0
2022-07-15 23:00:00,464.75,473.5,463.0,469.0,18.0
2022-07-18 23:00:00,480.0,497.5,473.75,473.75,41.0
2022-07-19 23:00:00,479.25,486.0,477.0,486.0,55.0
2022-07-20 23:00:00,477.5,481.25,477.0,480.5,10.0
2022-07-21 23:00:00,473.5,481.0,467.0,481.0,39.0
2022-07-22 23:00:00,452.5,469.5,436.25,465.0,64.0
2022-07-25 23:00:00,442.5,452.5,438.0,452.5,55.0
2022-07-26 23:00:00,451.5,459.75,450.25,455.25,22.0
2022-07-27 23:00:00,440.5,460.0,436.5,460.0,61.0
2022-07-28 23:00:00,448.0,453.5,442.5,453.5,14.0
2022-07-29 23:00:00,448.0,456.25,440.5,454.5,61.0
2022-08-01 23:00:00,440.5,446.25,435.25,439.0,68.0
2022-08-02 23:00:00,421.0,430.5,410.75,429.25,27.0
2022-08-03 23:00:00,410.5,431.5,410.0,430.75,58.0
2022-08-04 23:00:00,416.0,419.25,411.0,413.25,29.0
2022-08-05 23:00:00,422.5,430.0,411.0,416.0,25.0
2022-08-08 23:00:00,461.0,464.75,422.25,422.25,80.0
2022-08-09 23:00:00,440.0,474.75,438.0,467.5,105.0
2022-08-10 23:00:00,428.25,449.0,426.25,437.5,26.0
2022-08-11 23:00:00,454.75,458.5,428.75,444.0,38.0
2022-08-12 23:00:00,458.25,474.5,450.0,466.75,31.0
2022-08-15 23:00:00,460.25,467.25,449.75,453.0,11.0
2022-08-16 23:00:00,441.75,454.75,441.75,454.5,5.0
2022-08-17 23:00:00,431.75,433.75,431.75,433.25,2.0
2022-08-18 23:00:00,412.75,426.75,403.75,425.25,43.0
2022-08-19 23:00:00,418.75,419.75,414.25,414.25,4.0
2022-08-22 23:00:00,412.75,419.5,410.0,419.5,13.0
2022-08-23 23:00:00,412.75,422.5,411.0,411.0,33.0
2022-08-24 23:00:00,424.0,424.5,419.75,423.5,31.0
2022-08-25 23:00:00,415.0,430.25,409.5,430.25,15.0
2022-08-26 23:00:00,417.75,418.75,403.5,411.25,38.0
2022-08-29 23:00:00,416.25,426.0,408.25,417.0,41.0
2022-08-30 23:00:00,402.5,417.0,397.0,408.75,26.0
2022-08-31 23:00:00,404.75,404.75,402.5,402.5,1.0
2022-09-01 23:00:00,386.0,404.5,354.5,404.5,4.0
2022-09-02 23:00:00,394.25,394.25,394.25,394.25,0.0
2022-09-06 23:00:00,398.25,408.0,398.25,408.0,2.0
2022-09-07 23:00:00,391.0,391.0,391.0,391.0,0.0
2022-09-08 23:00:00,390.75,390.75,390.75,390.75,0.0
2022-09-09 23:00:00,407.75,407.75,407.75,407.75,0.0
2022-09-12 23:00:00,424.5,424.5,424.5,424.5,0.0
2022-09-13 23:00:00,416.5,416.5,416.5,416.5,0.0
2022-09-14 23:00:00,416.25,416.25,416.25,416.25,0.0
