DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2022-05-06 23:00:00,565.5,565.5,565.5,565.5,0.0
2022-05-09 23:00:00,559.0,559.0,559.0,559.0,0.0
2022-05-10 23:00:00,553.0,553.0,553.0,553.0,0.0
2022-05-11 23:00:00,561.75,561.75,561.75,561.75,0.0
2022-05-12 23:00:00,588.75,588.75,588.75,588.75,0.0
2022-05-13 23:00:00,582.5,582.5,582.5,582.5,0.0
2022-05-16 23:00:00,586.75,586.75,586.75,586.75,0.0
2022-05-17 23:00:00,597.0,597.0,597.0,597.0,0.0
2022-05-18 23:00:00,587.0,587.0,587.0,587.0,0.0
2022-05-19 23:00:00,578.75,578.75,578.75,578.75,0.0
2022-05-20 23:00:00,576.5,576.5,576.5,576.5,0.0
2022-05-23 23:00:00,591.5,591.5,591.5,591.5,0.0
2022-05-24 23:00:00,608.5,608.5,608.5,608.5,0.0
2022-05-25 23:00:00,610.75,610.75,610.75,610.75,0.0
2022-05-26 23:00:00,613.75,613.75,613.75,613.75,0.0
2022-05-27 23:00:00,625.0,625.0,625.0,625.0,0.0
2022-05-31 23:00:00,619.5,619.5,619.5,619.5,0.0
2022-06-01 23:00:00,621.0,621.0,621.0,621.0,0.0
2022-06-02 23:00:00,621.75,621.75,621.75,621.75,0.0
2022-06-03 23:00:00,624.25,624.25,624.25,624.25,0.0
2022-06-06 23:00:00,624.5,624.5,624.5,624.5,0.0
2022-06-07 23:00:00,624.5,624.5,624.5,624.5,0.0
2022-06-08 23:00:00,617.0,617.0,617.0,617.0,0.0
2022-06-09 23:00:00,625.25,625.25,625.25,625.25,0.0
2022-06-10 23:00:00,608.0,608.0,608.0,608.0,0.0
2022-06-13 23:00:00,616.75,616.75,616.75,616.75,0.0
2022-06-14 23:00:00,616.75,616.75,616.75,616.75,0.0
2022-06-15 23:00:00,611.0,611.0,611.0,611.0,0.0
2022-06-16 23:00:00,610.75,610.75,610.75,610.75,0.0
2022-06-17 23:00:00,611.25,611.25,611.25,611.25,0.0
2022-06-21 23:00:00,589.5,589.5,589.5,589.5,0.0
2022-06-22 23:00:00,575.25,575.25,575.25,575.25,0.0
2022-06-23 23:00:00,555.25,555.25,531.25,531.25,1.0
2022-06-24 23:00:00,501.75,501.75,501.75,501.75,0.0
2022-06-27 23:00:00,483.75,483.75,483.75,483.75,0.0
2022-06-28 23:00:00,490.25,490.25,490.25,490.25,0.0
2022-06-29 23:00:00,491.5,491.5,491.5,491.5,0.0
2022-06-30 23:00:00,489.0,489.5,489.0,489.5,3.0
2022-07-01 23:00:00,485.0,485.0,471.5,471.5,6.0
2022-07-05 23:00:00,455.0,455.0,426.5,426.5,6.0
2022-07-06 23:00:00,427.0,427.0,412.25,412.25,1.0
2022-07-07 23:00:00,420.75,420.75,420.75,420.75,0.0
2022-07-08 23:00:00,445.5,445.5,445.5,445.5,0.0
2022-07-11 23:00:00,447.5,447.5,447.5,447.5,0.0
2022-07-12 23:00:00,421.75,421.75,414.25,414.25,1.0
2022-07-13 23:00:00,414.0,414.0,414.0,414.0,0.0
2022-07-14 23:00:00,421.0,421.0,421.0,421.0,0.0
2022-07-15 23:00:00,422.0,422.0,422.0,422.0,0.0
2022-07-18 23:00:00,442.75,442.75,442.75,442.75,0.0
2022-07-19 23:00:00,439.25,439.25,439.25,439.25,0.0
2022-07-20 23:00:00,432.25,432.25,432.25,432.25,0.0
2022-07-21 23:00:00,438.5,438.5,438.5,438.5,0.0
2022-07-22 23:00:00,415.0,415.0,415.0,415.0,0.0
2022-07-25 23:00:00,402.5,402.5,402.5,402.5,0.0
2022-07-26 23:00:00,412.5,412.5,412.5,412.5,0.0
2022-07-27 23:00:00,413.25,413.25,413.25,413.25,0.0
2022-07-28 23:00:00,420.25,420.25,420.25,420.25,0.0
2022-07-29 23:00:00,427.25,427.25,427.25,427.25,0.0
2022-08-01 23:00:00,421.75,421.75,421.75,421.75,0.0
2022-08-02 23:00:00,406.75,406.75,406.75,406.75,0.0
2022-08-03 23:00:00,389.0,389.0,389.0,389.0,0.0
2022-08-04 23:00:00,394.0,394.0,394.0,394.0,0.0
2022-08-05 23:00:00,401.25,401.25,401.25,401.25,0.0
2022-08-08 23:00:00,419.25,419.25,419.25,419.25,0.0
2022-08-09 23:00:00,415.0,415.0,415.0,415.0,0.0
2022-08-10 23:00:00,404.5,404.5,404.5,404.5,0.0
2022-08-11 23:00:00,422.75,422.75,422.75,422.75,0.0
2022-08-12 23:00:00,425.5,425.5,425.5,425.5,0.0
2022-08-15 23:00:00,425.5,425.5,425.5,425.5,0.0
2022-08-16 23:00:00,406.75,406.75,406.75,406.75,0.0
2022-08-17 23:00:00,404.25,404.25,404.25,404.25,0.0
2022-08-18 23:00:00,384.5,384.5,384.5,384.5,0.0
2022-08-19 23:00:00,392.0,392.0,392.0,392.0,0.0
2022-08-22 23:00:00,393.25,393.25,393.25,393.25,0.0
2022-08-23 23:00:00,410.0,410.0,410.0,410.0,0.0
2022-08-24 23:00:00,420.0,420.0,420.0,420.0,0.0
2022-08-25 23:00:00,409.75,409.75,409.75,409.75,0.0
2022-08-26 23:00:00,405.0,405.0,405.0,405.0,0.0
2022-08-29 23:00:00,413.75,413.75,413.75,413.75,0.0
2022-08-30 23:00:00,405.0,405.0,405.0,405.0,0.0
2022-08-31 23:00:00,401.25,401.25,401.25,401.25,0.0
2022-09-01 23:00:00,385.0,385.0,385.0,385.0,0.0
2022-09-02 23:00:00,390.0,390.0,388.25,388.25,1.0
2022-09-06 23:00:00,391.25,391.25,391.25,391.25,0.0
2022-09-07 23:00:00,384.25,384.25,384.25,384.25,0.0
2022-09-08 23:00:00,383.75,383.75,383.75,383.75,0.0
2022-09-09 23:00:00,398.75,398.75,398.75,398.75,0.0
2022-09-12 23:00:00,405.0,416.0,405.0,416.0,1.0
2022-09-13 23:00:00,410.0,410.0,410.0,410.0,0.0
2022-09-14 23:00:00,406.25,406.25,406.25,406.25,0.0
2022-09-15 23:00:00,402.5,402.5,402.5,402.5,0.0
2022-09-16 23:00:00,402.0,403.5,402.0,403.5,1.0
2022-09-19 23:00:00,408.75,408.75,408.75,408.75,0.0
2022-09-20 23:00:00,419.5,419.5,419.5,419.5,0.0
2022-09-21 23:00:00,423.5,423.5,423.5,423.5,0.0
2022-09-22 23:00:00,422.5,423.5,422.0,423.5,4.0
2022-09-23 23:00:00,401.5,401.5,401.5,401.5,0.0
2022-09-26 23:00:00,387.0,387.0,387.0,387.0,0.0
2022-09-27 23:00:00,378.25,378.25,378.25,378.25,0.0
2022-09-28 23:00:00,385.25,385.25,385.25,385.25,0.0
2022-09-29 23:00:00,390.25,390.25,390.25,390.25,0.0
2022-09-30 23:00:00,397.25,397.25,397.25,397.25,0.0
2022-10-03 23:00:00,407.25,407.25,407.25,407.25,0.0
2022-10-04 23:00:00,410.25,410.25,410.25,410.25,0.0
2022-10-05 23:00:00,409.25,409.25,409.25,409.25,0.0
2022-10-06 23:00:00,403.75,403.75,403.75,403.75,0.0
2022-10-07 23:00:00,387.5,387.5,387.5,387.5,0.0
2022-10-10 23:00:00,393.0,393.0,393.0,393.0,0.0
2022-10-11 23:00:00,399.75,399.75,399.75,399.75,0.0
2022-10-12 23:00:00,409.5,409.5,409.5,409.5,0.0
2022-10-13 23:00:00,413.0,413.0,413.0,413.0,0.0
2022-10-14 23:00:00,402.0,402.0,402.0,402.0,0.0
2022-10-17 23:00:00,396.0,397.75,396.0,397.75,1.0
2022-10-18 23:00:00,395.75,395.75,395.75,395.75,0.0
2022-10-19 23:00:00,390.0,390.0,390.0,390.0,0.0
2022-10-20 23:00:00,392.75,392.75,392.75,392.75,0.0
2022-10-21 23:00:00,392.0,392.0,392.0,392.0,0.0
2022-10-24 23:00:00,379.5,379.5,379.5,379.5,0.0
2022-10-25 23:00:00,376.5,377.0,376.5,377.0,8.0
2022-10-26 23:00:00,375.25,375.25,375.25,375.25,0.0
2022-10-27 23:00:00,375.5,375.5,375.0,375.0,1.0
2022-10-28 23:00:00,375.5,383.25,375.5,383.25,9.0
2022-10-31 23:00:00,394.0,398.75,394.0,398.75,3.0
2022-11-01 23:00:00,399.0,403.75,396.0,403.75,2.0
2022-11-02 23:00:00,400.25,400.25,400.25,400.25,0.0
2022-11-03 23:00:00,392.5,392.5,392.5,392.5,0.0
2022-11-04 23:00:00,397.75,397.75,397.75,397.75,0.0
2022-11-07 23:00:00,387.75,387.75,387.75,387.75,0.0
2022-11-08 23:00:00,387.5,387.5,387.5,387.5,0.0
2022-11-09 23:00:00,386.75,386.75,386.75,386.75,0.0
2022-11-10 23:00:00,383.75,383.75,383.75,383.75,0.0
2022-11-14 23:00:00,398.0,401.0,398.0,401.0,1.0
2022-11-15 23:00:00,404.25,404.25,399.75,399.75,2.0
2022-11-16 23:00:00,397.25,397.25,397.25,397.25,0.0
2022-11-17 23:00:00,397.0,397.0,397.0,397.0,0.0
2022-11-18 23:00:00,392.25,393.0,392.25,393.0,1.0
2022-11-21 23:00:00,397.0,397.0,397.0,397.0,0.0
2022-11-22 23:00:00,397.75,397.75,397.75,397.75,0.0
2022-11-23 23:00:00,391.25,391.25,391.25,391.25,0.0
