DATETIME,FINAL,HIGH,LOW,OPEN,VOLUME
2022-05-06 23:00:00,17.25,17.25,17.25,17.25,0.0
2022-05-13 23:00:00,17.5,17.505,17.5,17.5,7.0
2022-05-17 23:00:00,17.75,17.75,17.75,17.75,4.0
2022-05-18 23:00:00,17.175,17.175,17.175,17.175,1.0
2022-05-20 23:00:00,17.545,17.545,17.545,17.545,0.0
2022-05-27 23:00:00,17.9,17.9,17.9,17.9,0.0
2022-06-03 23:00:00,17.32,17.32,17.32,17.32,0.0
2022-06-06 23:00:00,17.54,17.54,17.54,17.54,1.0
2022-06-07 23:00:00,17.6,17.6,17.6,17.6,1.0
2022-06-09 23:00:00,17.25,17.365,17.25,17.35,3.0
2022-06-10 23:00:00,16.93,17.2,16.93,17.2,2.0
2022-06-13 23:00:00,17.175,17.175,17.135,17.135,2.0
2022-06-17 23:00:00,16.915,16.915,16.915,16.915,0.0
2022-06-23 23:00:00,16.7,16.7,16.7,16.7,4.0
2022-06-24 23:00:00,16.64,16.89,16.64,16.89,1.0
2022-07-01 23:00:00,16.795,16.795,16.795,16.795,0.0
2022-07-05 23:00:00,16.75,16.75,16.75,16.75,1.0
2022-07-07 23:00:00,16.6,16.6,16.6,16.6,1.0
2022-07-08 23:00:00,16.82,16.82,16.82,16.82,0.0
2022-07-14 23:00:00,16.695,16.705,16.695,16.705,4.0
2022-07-15 23:00:00,16.925,16.925,16.925,16.925,0.0
2022-07-18 23:00:00,17.0,17.0,17.0,17.0,2.0
2022-07-21 23:00:00,17.25,17.25,17.25,17.25,2.0
2022-07-22 23:00:00,17.205,17.205,17.205,17.205,0.0
2022-07-29 23:00:00,17.29,17.45,17.29,17.45,2.0
2022-08-04 23:00:00,17.665,17.665,17.665,17.665,6.0
2022-08-05 23:00:00,17.675,17.675,17.675,17.675,0.0
2022-08-09 23:00:00,17.5,17.5,17.5,17.5,5.0
2022-08-11 23:00:00,17.55,17.58,17.55,17.58,2.0
2022-08-12 23:00:00,17.6,17.62,17.5,17.5,6.0
2022-08-18 23:00:00,17.085,17.085,17.085,17.085,1.0
2022-08-19 23:00:00,17.55,17.6,17.1,17.1,10.0
2022-08-22 23:00:00,17.715,17.715,17.575,17.575,54.0
2022-08-23 23:00:00,17.78,17.78,17.74,17.74,25.0
2022-08-24 23:00:00,17.78,18.01,17.78,17.98,15.0
2022-08-25 23:00:00,17.82,17.9,17.755,17.755,52.0
2022-08-26 23:00:00,17.89,17.89,17.82,17.84,17.0
2022-08-29 23:00:00,17.75,17.855,17.695,17.695,16.0
2022-08-30 23:00:00,18.05,18.05,17.98,17.98,5.0
2022-08-31 23:00:00,18.105,18.16,17.995,18.13,22.0
2022-09-01 23:00:00,17.815,18.14,17.815,18.105,10.0
2022-09-02 23:00:00,17.885,17.95,17.885,17.95,5.0
2022-09-06 23:00:00,17.41,17.69,17.41,17.69,35.0
2022-09-07 23:00:00,17.32,17.355,17.23,17.355,102.0
2022-09-08 23:00:00,17.465,17.465,17.445,17.455,10.0
2022-09-09 23:00:00,17.85,17.9,17.645,17.645,15.0
