DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2022-11-18 23:00:00,15.815,15.815,15.815,15.815,0.0
2022-11-23 23:00:00,16.2,16.2,16.2,16.2,0.0
2022-11-25 23:00:00,15.815,15.815,15.815,15.815,0.0
2022-12-02 23:00:00,16.15,16.15,16.15,16.15,0.0
2022-12-09 23:00:00,16.61,16.61,16.61,16.61,0.0
2022-12-16 23:00:00,16.69,16.69,16.69,16.69,0.0
2022-12-23 23:00:00,16.675,16.675,16.675,16.675,0.0
2022-12-30 23:00:00,16.72,16.72,16.72,16.72,0.0
2023-01-06 23:00:00,16.505,16.505,16.505,16.505,0.0
2023-01-13 23:00:00,16.62,16.62,16.62,16.62,0.0
2023-01-20 23:00:00,17.06,17.06,17.06,17.06,0.0
2023-01-27 23:00:00,17.0,17.065,17.0,17.065,6.0
2023-01-31 23:00:00,16.805,16.805,16.805,16.805,1.0
2023-02-03 23:00:00,16.985,16.985,16.985,16.985,0.0
2023-02-06 23:00:00,16.92,16.92,16.92,16.92,2.0
2023-02-07 23:00:00,16.95,16.95,16.95,16.95,2.0
2023-02-09 23:00:00,16.955,16.955,16.955,16.955,1.0
2023-02-10 23:00:00,16.9,16.9,16.8,16.885,44.0
2023-02-13 23:00:00,16.8,16.85,16.8,16.82,42.0
2023-02-14 23:00:00,16.775,16.82,16.775,16.8,27.0
2023-02-15 23:00:00,16.7,16.7,16.7,16.7,2.0
2023-02-16 23:00:00,16.785,16.785,16.7,16.75,4.0
2023-02-17 23:00:00,16.7,16.7,16.675,16.675,2.0
2023-02-21 23:00:00,16.695,16.695,16.455,16.46,43.0
2023-02-22 23:00:00,16.57,16.57,16.48,16.545,11.0
2023-02-23 23:00:00,16.55,16.55,16.45,16.45,15.0
2023-02-24 23:00:00,16.57,16.64,16.57,16.64,7.0
2023-02-27 23:00:00,16.67,16.67,16.62,16.62,25.0
2023-02-28 23:00:00,16.67,16.67,16.56,16.56,7.0
2023-03-01 23:00:00,16.535,16.535,16.535,16.535,1.0
2023-03-03 23:00:00,16.25,16.25,16.0,16.12,7.0
2023-03-06 23:00:00,16.06,16.08,16.06,16.08,5.0
2023-03-08 23:00:00,15.68,15.68,15.52,15.52,4.0
2023-03-10 23:00:00,15.575,15.575,15.575,15.575,0.0
2023-03-17 23:00:00,15.35,15.52,15.35,15.515,2.0
2023-03-20 23:00:00,15.615,15.615,15.615,15.615,1.0
2023-03-22 23:00:00,15.455,15.66,15.455,15.66,2.0
2023-03-24 23:00:00,15.69,15.705,15.69,15.705,3.0
2023-03-27 23:00:00,15.82,16.0,15.82,16.0,15.0
2023-03-28 23:00:00,16.05,16.125,16.025,16.125,49.0
2023-03-29 23:00:00,16.15,16.15,16.125,16.125,14.0
2023-03-30 23:00:00,15.935,15.94,15.935,15.94,17.0
2023-03-31 23:00:00,15.845,15.845,15.845,15.845,0.0
2023-04-06 11:00:00,15.35,15.425,15.35,15.425,2.0
2023-04-06 12:00:00,15.425,15.425,15.425,15.425,0.0
2023-04-06 13:00:00,15.425,15.425,15.425,15.425,0.0
2023-04-06 14:00:00,15.425,15.425,15.425,15.425,0.0
2023-04-06 23:00:00,15.35,15.425,15.335,15.335,2.0
2023-04-10 13:00:00,14.8,14.8,14.8,14.8,1.0
2023-04-10 14:00:00,14.84,14.89,14.84,14.89,8.0
2023-04-10 23:00:00,14.8,14.89,14.8,14.89,9.0
2023-04-11 12:00:00,15.105,15.105,15.105,15.105,1.0
2023-04-11 13:00:00,15.105,15.105,15.105,15.105,0.0
2023-04-11 14:00:00,15.105,15.105,15.105,15.105,0.0
2023-04-11 23:00:00,15.105,15.105,15.105,15.105,1.0
2023-04-12 09:30:00,15.575,15.575,15.575,15.575,1.0
2023-04-12 10:00:00,15.575,15.575,15.575,15.575,0.0
2023-04-12 11:00:00,15.575,15.575,15.575,15.575,0.0
2023-04-12 12:00:00,15.575,15.575,15.575,15.575,0.0
2023-04-12 13:00:00,15.575,15.575,15.575,15.575,0.0
2023-04-12 14:00:00,15.575,15.575,15.575,15.575,0.0
2023-04-12 23:00:00,15.575,15.575,15.575,15.575,1.0
2023-04-14 12:00:00,15.33,15.33,15.33,15.33,1.0
2023-04-14 13:00:00,15.305,15.305,15.305,15.305,1.0
2023-04-14 14:00:00,15.29,15.29,15.29,15.29,2.0
2023-04-14 23:00:00,15.33,15.33,15.235,15.235,4.0
2023-04-17 12:00:00,15.43,15.43,15.43,15.43,1.0
2023-04-17 13:00:00,15.43,15.43,15.43,15.43,0.0
2023-04-17 14:00:00,15.43,15.43,15.43,15.43,0.0
2023-04-17 23:00:00,15.43,15.43,15.43,15.43,1.0
2023-04-19 10:00:00,15.26,15.26,15.25,15.26,5.0
2023-04-19 11:00:00,15.26,15.26,15.26,15.26,0.0
2023-04-19 12:00:00,15.25,15.25,15.19,15.19,2.0
2023-04-19 13:00:00,15.19,15.19,15.19,15.19,0.0
2023-04-19 14:00:00,15.19,15.19,15.19,15.19,0.0
2023-04-19 23:00:00,15.26,15.26,15.19,15.19,7.0
2023-04-20 10:00:00,15.34,15.34,15.34,15.34,2.0
