DATETIME,FINAL,HIGH,LOW,OPEN,VOLUME
2022-05-06 23:00:00,160.9,167.7,160.1,165.5,629.0
2022-05-09 23:00:00,155.8,161.2,153.4,160.3,1086.0
2022-05-10 23:00:00,159.7,160.0,156.5,156.6,229.0
2022-05-11 23:00:00,159.1,160.4,158.2,159.9,446.0
2022-05-12 23:00:00,158.0,159.3,156.6,159.3,186.0
2022-05-13 23:00:00,157.8,158.3,156.7,158.3,638.0
2022-05-17 23:00:00,161.1,161.7,159.5,159.6,992.0
2022-05-18 23:00:00,160.5,162.9,160.3,161.1,519.0
2022-05-19 23:00:00,161.5,162.2,158.3,158.3,994.0
2022-05-20 23:00:00,163.5,164.4,162.4,163.9,735.0
2022-05-23 23:00:00,163.5,163.8,162.0,163.5,753.0
2022-05-24 23:00:00,164.0,165.2,163.4,163.7,453.0
2022-05-25 23:00:00,164.6,164.8,163.4,164.0,384.0
2022-05-26 23:00:00,165.6,165.6,164.0,164.8,298.0
2022-05-27 23:00:00,165.0,165.9,164.7,165.0,305.0
2022-05-30 23:00:00,165.8,168.0,165.4,165.5,554.0
2022-05-31 23:00:00,167.4,167.8,165.8,165.8,1617.0
2022-06-01 23:00:00,168.1,168.7,166.2,167.8,799.0
2022-06-02 23:00:00,168.7,169.4,167.5,167.9,750.0
2022-06-03 23:00:00,169.2,169.6,168.7,169.1,269.0
2022-06-06 23:00:00,169.0,170.1,168.3,168.9,407.0
2022-06-07 23:00:00,166.4,168.9,166.2,168.9,754.0
2022-06-08 23:00:00,166.7,167.4,166.0,166.9,596.0
2022-06-09 23:00:00,168.2,170.2,167.9,169.5,1083.0
2022-06-10 23:00:00,167.5,168.5,167.5,168.2,478.0
2022-06-13 23:00:00,163.2,166.1,162.5,166.1,2017.0
2022-06-14 23:00:00,161.5,162.5,161.0,161.8,1125.0
2022-06-15 23:00:00,161.9,162.1,160.6,161.7,554.0
2022-06-16 23:00:00,162.2,162.6,161.0,162.1,1117.0
2022-06-17 23:00:00,161.7,161.8,160.4,161.5,1181.0
2022-06-20 23:00:00,161.9,162.1,160.1,160.9,974.0
2022-06-21 23:00:00,160.7,161.3,160.1,160.7,1009.0
2022-06-22 23:00:00,158.2,160.7,156.8,160.7,1639.0
2022-06-23 23:00:00,161.1,161.4,159.4,160.2,1068.0
2022-06-24 23:00:00,162.1,162.3,160.0,160.3,1414.0
2022-06-27 23:00:00,162.1,163.3,161.6,163.3,769.0
2022-06-28 23:00:00,163.3,163.5,160.9,160.9,945.0
2022-06-29 23:00:00,162.4,162.5,160.5,162.1,782.0
2022-06-30 23:00:00,161.6,162.1,159.9,161.5,824.0
